Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.51330034 Degree
Longitude: -78.24398199 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,21
10-min:, 14,17,19,22,25,27,29,30,32,34
15-min:, 18,21,24,28,31,34,36,38,40,42
30-min:, 25,29,35,40,46,51,55,60,64,69
60-min:, 31,36,44,53,62,69,76,84,92,100
2-hr:, 36,43,53,63,75,85,95,106,119,131
3-hr:, 39,47,57,68,81,92,103,114,128,141
6-hr:, 48,57,69,83,99,115,130,146,167,186
12-hr:, 58,69,85,102,124,144,165,187,219,248
24-hr:, 69,83,106,126,155,179,206,236,280,318
2-day:, 81,98,124,146,178,204,233,264,308,346
3-day:, 85,103,131,154,188,215,245,278,324,363
4-day:, 90,109,138,162,197,226,258,292,340,381
7-day:, 103,124,155,180,217,247,280,314,363,404
10-day:, 117,140,173,199,237,268,300,334,382,420
20-day:, 157,187,226,257,299,331,365,398,444,479
30-day:, 194,230,272,304,346,377,408,438,477,506
45-day:, 244,288,337,373,419,454,487,518,558,588
60-day:, 289,340,393,432,482,519,554,587,628,658

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,19,20,21,23,24
10-min:, 16,19,21,24,27,30,32,34,36,37
15-min:, 20,23,27,31,35,38,40,42,45,47
30-min:, 27,32,39,45,51,57,61,66,71,76
60-min:, 34,41,49,58,68,77,85,92,102,111
2-hr:, 41,48,59,71,84,95,106,118,133,146
3-hr:, 44,52,64,77,91,103,115,128,144,158
6-hr:, 55,65,79,94,113,130,146,164,188,209
12-hr:, 66,78,96,116,139,162,185,210,245,277
24-hr:, 77,93,119,140,172,199,229,262,310,352
2-day:, 90,108,138,162,196,225,256,291,341,383
3-day:, 94,114,145,170,206,237,270,305,357,401
4-day:, 99,120,152,178,216,248,283,320,373,419
7-day:, 113,136,169,197,236,269,304,342,396,442
10-day:, 127,152,188,216,257,290,325,362,415,458
20-day:, 169,201,243,276,320,355,391,427,477,516
30-day:, 207,245,290,324,368,401,434,466,509,541
45-day:, 259,306,357,396,445,482,517,551,595,628
60-day:, 307,360,416,457,510,549,586,622,667,700

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 13,15,17,20,22,24,25,27,28,29
15-min:, 16,19,22,25,28,30,32,34,35,37
30-min:, 22,26,31,36,41,46,49,53,56,60
60-min:, 27,33,40,47,55,62,68,74,81,87
2-hr:, 32,38,47,56,66,75,84,92,103,112
3-hr:, 35,41,51,60,71,81,90,99,110,120
6-hr:, 43,50,61,73,87,100,112,125,141,155
12-hr:, 52,61,75,90,108,125,142,159,183,204
24-hr:, 62,75,96,113,138,159,182,206,241,270
2-day:, 73,89,113,132,160,183,207,233,269,299
3-day:, 78,94,119,140,169,194,219,246,284,315
4-day:, 82,99,126,148,179,204,231,259,299,331
7-day:, 95,114,142,165,198,224,252,281,322,354
10-day:, 108,129,160,184,218,245,273,302,342,373
20-day:, 147,175,211,239,277,306,336,365,404,434
30-day:, 182,216,256,285,323,352,380,406,440,465
45-day:, 229,271,317,350,394,425,455,483,518,544
60-day:, 273,321,371,407,454,488,519,549,585,611

Date/time (GMT):  Thu Feb 29 23:08:57 2024
pyRunTime:  0.08344721794128418
