Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.58022376 Degree
Longitude: -79.40395668 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,17,18,19,20,21
10-min:, 15,18,21,23,26,28,29,31,32,33
15-min:, 19,22,27,29,33,35,37,39,40,42
30-min:, 26,31,38,43,48,53,56,60,64,68
60-min:, 32,39,49,56,65,71,78,84,92,99
2-hr:, 38,46,57,66,78,88,97,107,120,129
3-hr:, 40,49,62,71,84,94,104,114,128,139
6-hr:, 49,60,75,87,104,118,132,147,168,184
12-hr:, 59,72,91,106,129,147,167,188,219,245
24-hr:, 70,85,107,126,154,177,201,229,268,301
2-day:, 82,100,126,146,176,201,227,255,295,329
3-day:, 87,105,132,154,186,212,239,269,311,346
4-day:, 92,111,139,162,195,223,251,282,327,363
7-day:, 105,126,156,181,215,244,274,306,351,388
10-day:, 119,142,174,200,236,265,295,327,372,407
20-day:, 160,190,229,259,300,333,365,399,444,479
30-day:, 198,234,275,307,348,380,410,441,480,510
45-day:, 250,295,343,379,426,461,494,527,569,599
60-day:, 299,351,403,441,491,527,562,595,637,667

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,21,22,23
10-min:, 16,20,23,25,28,30,32,33,35,36
15-min:, 20,25,29,32,36,38,40,42,44,46
30-min:, 28,34,41,47,53,57,62,66,71,74
60-min:, 35,43,53,61,70,78,85,92,101,108
2-hr:, 41,50,63,73,86,96,106,117,131,142
3-hr:, 44,54,68,78,92,103,114,125,140,152
6-hr:, 55,66,83,96,114,129,145,161,183,201
12-hr:, 65,79,100,117,141,160,181,204,238,265
24-hr:, 75,91,116,136,165,190,216,245,288,324
2-day:, 88,107,134,157,188,215,243,274,318,355
3-day:, 93,113,142,165,199,227,257,289,335,374
4-day:, 98,119,149,174,209,239,270,304,353,393
7-day:, 112,135,167,193,230,260,292,327,377,418
10-day:, 126,151,185,212,251,282,314,349,398,437
20-day:, 169,201,242,274,317,352,387,423,473,512
30-day:, 208,246,289,322,366,399,432,465,508,541
45-day:, 263,309,360,397,446,484,520,555,600,634
60-day:, 313,367,421,462,513,552,589,625,670,703

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,16,17,18,19
10-min:, 14,16,19,21,23,25,26,27,28,29
15-min:, 17,20,24,27,30,31,33,34,36,37
30-min:, 23,28,34,39,44,47,51,54,57,59
60-min:, 29,35,44,50,58,64,70,75,82,87
2-hr:, 34,41,52,60,71,79,86,94,104,112
3-hr:, 37,45,56,65,76,85,93,101,112,120
6-hr:, 45,55,68,79,94,105,117,129,145,157
12-hr:, 54,66,83,96,116,131,147,164,187,206
24-hr:, 65,79,100,117,142,162,184,206,239,266
2-day:, 77,93,117,136,163,185,208,232,265,292
3-day:, 81,98,123,144,172,195,219,244,279,308
4-day:, 86,103,130,151,181,205,230,257,294,323
7-day:, 99,118,146,169,201,226,253,280,318,348
10-day:, 112,134,164,188,221,247,274,302,339,369
20-day:, 152,181,217,245,283,313,342,371,410,440
30-day:, 188,223,262,292,330,359,387,414,449,474
45-day:, 238,281,326,360,404,436,467,496,533,560
60-day:, 286,335,384,421,467,501,533,562,600,626

Date/time (GMT):  Thu Feb 29 23:08:59 2024
pyRunTime:  0.0488591194152832
