Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.41397293 Degree
Longitude: -76.77655524 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,23,25,26,28,30,32
15-min:, 17,20,23,26,29,31,33,35,38,40
30-min:, 23,27,33,37,42,46,50,54,59,63
60-min:, 28,34,42,48,56,62,68,75,84,91
2-hr:, 33,40,49,57,69,78,89,100,118,133
3-hr:, 36,43,54,63,76,87,99,112,132,150
6-hr:, 44,54,67,78,94,109,124,142,169,193
12-hr:, 55,66,83,97,118,137,159,183,221,255
24-hr:, 63,76,96,113,139,163,191,223,273,319
2-day:, 73,88,111,130,160,187,218,253,309,359
3-day:, 78,94,117,138,169,197,229,266,325,377
4-day:, 82,99,123,145,177,207,241,279,341,395
7-day:, 97,116,144,167,204,236,273,316,381,440
10-day:, 112,133,163,188,226,259,296,337,400,455
20-day:, 152,180,214,242,282,316,354,394,454,505
30-day:, 189,222,260,290,334,370,409,451,511,561
45-day:, 237,278,319,353,399,436,474,515,571,617
60-day:, 284,332,378,414,465,505,546,588,648,695

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,22,23
10-min:, 15,18,21,23,25,27,29,31,34,35
15-min:, 18,22,26,29,32,34,37,39,42,44
30-min:, 25,30,36,41,47,51,55,59,65,70
60-min:, 31,38,46,53,62,68,75,83,93,101
2-hr:, 36,44,55,64,76,87,99,111,131,148
3-hr:, 40,48,61,70,84,97,110,125,148,168
6-hr:, 50,60,75,87,105,121,139,158,189,216
12-hr:, 62,75,93,109,133,154,178,205,248,287
24-hr:, 71,85,107,125,154,179,209,243,298,347
2-day:, 83,100,125,146,179,208,242,281,342,398
3-day:, 87,104,130,153,187,217,252,292,356,413
4-day:, 91,109,136,159,194,226,262,304,370,429
7-day:, 106,127,157,182,222,257,296,341,412,475
10-day:, 121,144,176,203,243,278,317,361,429,488
20-day:, 162,192,228,258,300,337,376,419,483,538
30-day:, 201,236,276,308,354,393,434,478,542,596
45-day:, 250,294,337,372,420,459,499,542,602,652
60-day:, 298,349,397,435,488,530,573,618,681,731

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,14,17,18,21,22,23,25,27,28
15-min:, 15,18,21,23,26,28,29,31,33,35
30-min:, 20,24,30,33,38,41,44,48,52,55
60-min:, 25,30,38,43,50,55,61,66,73,79
2-hr:, 29,36,45,51,61,70,78,88,102,114
3-hr:, 32,39,49,56,67,77,87,98,114,127
6-hr:, 40,48,60,70,84,96,109,123,145,163
12-hr:, 49,59,74,86,104,120,137,157,186,212
24-hr:, 58,70,87,102,125,146,169,195,235,270
2-day:, 67,80,100,117,143,166,192,220,264,303
3-day:, 71,86,107,125,152,176,203,234,281,322
4-day:, 76,91,113,132,161,187,215,248,297,341
7-day:, 90,107,133,154,186,215,247,282,336,382
10-day:, 104,124,152,175,208,238,269,304,357,402
20-day:, 143,169,201,226,263,294,327,363,414,457
30-day:, 178,210,245,273,313,346,381,418,470,512
45-day:, 225,264,304,335,377,412,447,483,534,574
60-day:, 270,316,360,394,441,478,515,554,606,648

Date/time (GMT):  Thu Feb 29 23:09:01 2024
pyRunTime:  0.010987043380737305
