Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.19787259 Degree
Longitude: -74.96574114 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,12,15,18,21,24,27,32,35
10-min:, 11,13,18,21,26,30,34,38,45,50
15-min:, 12,16,21,25,31,35,40,45,53,59
30-min:, 16,21,27,33,41,47,53,60,70,79
60-min:, 21,26,34,42,51,59,66,75,88,99
2-hr:, 27,33,43,51,62,71,80,91,109,125
3-hr:, 32,38,49,58,70,79,90,103,124,143
6-hr:, 40,48,62,73,88,99,112,129,156,181
12-hr:, 49,60,77,92,111,126,142,163,197,228
24-hr:, 59,72,93,111,135,153,173,198,238,272
2-day:, 70,85,109,128,156,176,198,225,268,305
3-day:, 78,93,118,138,167,187,210,238,281,319
4-day:, 85,100,125,146,175,196,219,247,291,329
7-day:, 102,118,144,166,196,219,243,271,313,348
10-day:, 118,135,162,185,216,239,264,292,333,366
20-day:, 167,185,215,241,275,301,328,356,395,425
30-day:, 208,228,261,288,326,355,384,413,451,480
45-day:, 261,283,320,350,391,424,455,486,524,552
60-day:, 306,330,370,403,448,483,517,549,588,616

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,12,16,19,25,29,34,40,48,55
10-min:, 13,17,22,27,35,41,48,56,68,78
15-min:, 16,20,26,32,41,48,57,66,80,92
30-min:, 21,26,35,42,55,65,76,88,108,124
60-min:, 26,33,44,53,69,81,96,111,135,155
2-hr:, 34,42,54,65,84,97,116,133,166,194
3-hr:, 39,48,61,73,94,109,130,150,188,221
6-hr:, 49,60,77,91,117,136,161,186,235,278
12-hr:, 60,73,95,114,147,171,203,234,294,346
24-hr:, 72,88,114,137,177,206,244,281,351,410
2-day:, 85,103,132,157,201,233,275,317,392,456
3-day:, 94,112,143,168,214,247,290,333,410,474
4-day:, 102,121,151,177,224,258,301,345,422,487
7-day:, 122,141,173,200,248,284,329,375,450,512
10-day:, 140,160,193,222,271,308,354,402,476,537
20-day:, 196,218,255,286,341,382,432,486,560,618
30-day:, 244,268,308,342,402,447,500,560,636,693
45-day:, 304,331,375,413,479,530,588,655,735,794
60-day:, 356,384,432,473,546,601,665,737,822,882

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,10,12,14,16,17,18,20,22
10-min:, 8,10,14,16,20,22,24,26,29,32
15-min:, 10,12,16,19,23,26,28,30,34,37
30-min:, 13,16,22,26,31,35,38,41,46,50
60-min:, 16,20,27,32,39,43,48,51,57,63
2-hr:, 22,26,34,40,48,53,58,62,71,79
3-hr:, 25,31,39,46,54,60,66,70,81,91
6-hr:, 32,39,49,58,68,75,83,88,102,116
12-hr:, 40,49,62,74,87,96,106,112,129,146
24-hr:, 48,59,76,90,106,117,129,136,156,175
2-day:, 58,70,89,105,123,135,148,156,177,196
3-day:, 65,77,97,113,132,145,157,165,186,206
4-day:, 71,83,104,120,139,152,164,172,193,212
7-day:, 86,99,120,137,156,170,182,189,208,225
10-day:, 99,113,135,153,172,186,197,205,222,237
20-day:, 141,157,182,201,221,235,245,252,265,277
30-day:, 177,194,221,242,262,277,287,292,304,312
45-day:, 223,242,272,295,316,332,341,345,354,360
60-day:, 263,283,316,341,363,380,387,391,398,402

Date/time (GMT):  Thu Feb 29 23:09:03 2024
pyRunTime:  0.009589433670043945
