Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.12559152 Degree
Longitude: -82.35124941 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,21,23
10-min:, 12,15,17,20,23,25,27,30,34,36
15-min:, 15,18,22,25,29,32,35,38,42,46
30-min:, 21,25,31,36,42,48,53,59,67,74
60-min:, 26,32,40,47,56,64,73,83,97,108
2-hr:, 30,36,45,54,66,77,89,102,123,141
3-hr:, 32,39,48,57,69,80,93,106,127,145
6-hr:, 39,46,57,66,80,92,105,120,142,161
12-hr:, 46,55,67,78,93,107,121,137,161,181
24-hr:, 56,67,82,94,113,128,144,162,188,209
2-day:, 68,81,98,113,133,151,169,188,216,238
3-day:, 73,87,106,121,142,160,178,198,225,247
4-day:, 79,94,113,129,151,169,188,207,234,255
7-day:, 96,115,136,153,175,191,207,223,247,268
10-day:, 113,133,155,171,191,206,220,234,255,274
20-day:, 156,184,213,234,259,278,295,311,330,344
30-day:, 194,228,260,282,310,330,349,365,385,399
45-day:, 247,289,325,350,381,402,420,437,456,468
60-day:, 299,349,391,421,457,481,503,522,543,558

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,21,24,26
10-min:, 14,16,19,22,25,28,30,33,37,41
15-min:, 17,21,24,28,32,35,38,42,47,51
30-min:, 24,28,35,40,47,53,59,65,75,82
60-min:, 29,36,45,52,63,72,81,92,107,120
2-hr:, 34,41,51,60,74,86,99,114,137,157
3-hr:, 37,44,55,64,78,91,105,120,144,164
6-hr:, 44,52,64,75,90,104,118,135,160,182
12-hr:, 51,61,75,87,104,119,135,153,180,202
24-hr:, 61,73,90,103,123,140,158,178,208,233
2-day:, 73,87,106,122,145,163,184,206,238,266
3-day:, 79,94,114,131,154,173,194,216,247,274
4-day:, 85,101,122,140,163,183,204,225,256,282
7-day:, 103,122,146,164,187,205,223,241,269,292
10-day:, 120,141,165,182,203,220,235,250,274,296
20-day:, 165,195,226,247,275,295,314,332,355,371
30-day:, 204,240,273,298,327,349,369,388,411,427
45-day:, 259,303,341,368,400,423,443,461,483,498
60-day:, 313,366,410,442,479,506,529,550,575,592

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,16,18,20
10-min:, 11,13,15,17,20,22,24,26,29,31
15-min:, 14,16,20,22,25,28,30,33,36,39
30-min:, 19,23,28,32,38,42,47,51,58,63
60-min:, 24,28,36,42,50,57,64,72,83,92
2-hr:, 27,32,40,48,58,67,77,88,104,118
3-hr:, 29,34,43,50,61,70,80,91,108,121
6-hr:, 35,41,51,59,71,81,92,104,122,136
12-hr:, 42,49,60,70,83,95,107,120,140,156
24-hr:, 52,62,75,87,103,116,130,144,164,180
2-day:, 63,75,91,104,122,137,152,168,189,206
3-day:, 68,81,98,112,131,146,161,177,198,215
4-day:, 73,87,105,120,139,155,170,186,207,224
7-day:, 90,107,128,143,162,177,191,205,225,241
10-day:, 106,125,146,161,180,193,206,217,235,252
20-day:, 148,174,201,220,244,261,276,290,307,318
30-day:, 184,216,246,268,294,312,329,343,361,372
45-day:, 235,275,309,333,361,381,398,413,430,440
60-day:, 284,332,372,400,434,456,476,493,512,524

Date/time (GMT):  Thu Feb 29 23:09:07 2024
pyRunTime:  0.027445077896118164
