Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.07544384 Degree
Longitude: -77.6345015 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,18,20,21,22,24
10-min:, 16,18,21,24,27,29,31,33,36,37
15-min:, 20,23,27,31,34,37,40,42,45,47
30-min:, 27,32,39,44,51,56,61,65,71,76
60-min:, 33,40,49,58,68,76,84,92,102,111
2-hr:, 40,48,59,70,83,94,106,118,134,148
3-hr:, 42,51,63,75,90,102,115,129,147,163
6-hr:, 51,61,76,90,109,126,143,161,187,210
12-hr:, 61,73,91,109,133,155,178,203,239,271
24-hr:, 71,86,110,130,160,185,212,241,284,321
2-day:, 82,99,126,148,180,207,235,266,310,346
3-day:, 87,105,133,157,190,218,247,279,324,362
4-day:, 92,111,141,165,199,228,259,291,338,377
7-day:, 106,128,160,186,223,253,285,318,367,406
10-day:, 122,146,180,207,245,276,308,341,388,425
20-day:, 165,197,238,270,314,348,383,419,468,505
30-day:, 204,242,287,321,366,400,434,467,511,544
45-day:, 256,302,354,392,442,479,515,550,596,630
60-day:, 305,359,416,458,512,552,591,628,675,710

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,23,25,27
10-min:, 18,21,24,27,30,33,35,37,40,42
15-min:, 22,26,30,34,38,42,44,47,50,53
30-min:, 30,36,43,50,57,63,68,73,80,85
60-min:, 38,45,56,65,76,85,94,103,114,124
2-hr:, 45,54,66,78,93,106,118,132,150,166
3-hr:, 48,58,72,85,101,115,130,145,166,184
6-hr:, 58,70,87,103,124,142,161,182,211,236
12-hr:, 69,83,104,123,150,174,199,226,267,303
24-hr:, 79,95,122,144,177,204,234,266,314,354
2-day:, 90,109,139,163,198,227,259,292,341,381
3-day:, 95,115,146,172,208,238,271,305,356,397
4-day:, 100,121,154,180,218,249,283,318,370,413
7-day:, 116,140,174,203,242,275,310,348,401,445
10-day:, 132,158,195,225,266,299,334,371,422,464
20-day:, 178,212,256,290,338,375,413,451,505,546
30-day:, 219,259,307,343,391,428,464,500,548,585
45-day:, 273,322,377,417,470,510,549,587,637,675
60-day:, 324,381,441,485,542,585,626,666,718,756

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,20
10-min:, 14,16,19,21,24,26,28,29,31,32
15-min:, 18,21,24,27,30,33,35,37,39,40
30-min:, 24,29,34,39,45,49,53,57,62,65
60-min:, 30,36,44,51,60,67,73,80,89,95
2-hr:, 35,42,52,62,73,82,92,102,115,126
3-hr:, 38,45,56,66,79,89,100,111,126,138
6-hr:, 45,54,67,79,95,109,123,137,157,174
12-hr:, 54,65,81,96,117,134,153,172,200,224
24-hr:, 64,78,100,118,143,165,187,211,246,275
2-day:, 75,90,115,135,163,186,210,236,272,301
3-day:, 79,96,122,143,172,196,222,248,285,316
4-day:, 84,102,129,151,182,207,233,260,299,331
7-day:, 98,118,147,171,204,230,258,287,327,359
10-day:, 113,135,167,191,226,253,281,310,349,380
20-day:, 153,183,221,251,290,321,352,383,425,457
30-day:, 191,227,268,299,340,371,401,431,469,498
45-day:, 240,283,331,367,413,447,480,511,551,580
60-day:, 288,339,392,431,481,517,552,586,628,658

Date/time (GMT):  Thu Feb 29 23:09:09 2024
pyRunTime:  0.08842253684997559
