Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.90417773 Degree
Longitude: -77.01655992 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 14,17,21,23,26,28,30,32,35,37
15-min:, 18,22,26,29,33,36,38,41,44,46
30-min:, 25,30,37,42,49,54,59,63,70,75
60-min:, 31,38,47,55,65,73,81,89,100,109
2-hr:, 36,44,55,64,77,87,98,109,125,138
3-hr:, 38,47,59,69,83,95,107,120,139,154
6-hr:, 47,57,72,84,102,118,134,152,179,202
12-hr:, 57,68,87,103,127,148,172,198,239,273
24-hr:, 66,80,102,122,153,180,211,246,300,347
2-day:, 77,93,119,141,175,204,237,273,328,376
3-day:, 81,98,125,148,184,215,249,287,344,394
4-day:, 85,103,131,156,193,225,261,301,360,412
7-day:, 99,119,150,177,217,252,290,332,395,449
10-day:, 113,135,169,197,238,273,310,350,409,458
20-day:, 152,181,219,249,292,326,362,399,451,492
30-day:, 187,222,263,297,344,381,419,457,510,552
45-day:, 235,277,324,360,408,444,479,514,559,592
60-day:, 280,329,380,419,469,506,542,576,619,650

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,25,26
10-min:, 16,19,23,25,29,31,33,36,39,42
15-min:, 20,24,29,32,36,39,42,45,49,52
30-min:, 27,33,41,46,54,59,65,71,78,85
60-min:, 34,41,52,60,71,80,89,99,112,123
2-hr:, 39,48,61,70,84,96,108,121,140,155
3-hr:, 42,51,65,76,91,104,118,133,155,173
6-hr:, 52,63,79,93,113,130,149,170,201,228
12-hr:, 64,77,97,115,142,166,193,224,271,313
24-hr:, 73,89,114,136,169,198,231,269,326,377
2-day:, 85,103,131,156,192,224,260,300,360,412
3-day:, 90,108,139,164,203,236,273,315,378,433
4-day:, 94,114,146,173,213,248,287,330,396,453
7-day:, 109,131,165,195,238,276,317,363,433,493
10-day:, 124,149,185,216,261,298,338,382,447,501
20-day:, 164,195,236,269,315,352,390,430,486,532
30-day:, 201,238,283,320,369,409,450,491,549,594
45-day:, 251,295,345,383,433,472,510,548,597,633
60-day:, 297,349,403,444,497,537,575,612,658,692

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,28,30,32
15-min:, 16,20,24,26,29,32,34,36,38,40
30-min:, 22,27,33,38,44,48,52,56,61,65
60-min:, 28,34,43,49,58,65,72,78,87,95
2-hr:, 32,40,50,58,69,78,87,96,109,119
3-hr:, 35,42,53,62,74,84,94,105,120,131
6-hr:, 43,52,65,76,91,104,118,132,153,169
12-hr:, 51,62,78,92,112,130,148,169,199,223
24-hr:, 60,72,93,111,137,160,186,215,257,294
2-day:, 70,84,108,128,157,182,210,240,284,321
3-day:, 74,89,114,135,166,192,221,252,298,337
4-day:, 78,94,120,142,174,202,232,265,313,353
7-day:, 90,109,137,162,197,227,259,295,346,389
10-day:, 103,124,155,180,217,247,279,312,361,401
20-day:, 141,168,203,231,269,300,332,364,407,442
30-day:, 174,206,245,276,318,351,385,419,464,499
45-day:, 221,260,304,337,381,414,446,478,518,547
60-day:, 263,310,358,394,441,475,507,538,575,602

Date/time (GMT):  Thu Feb 29 23:09:12 2024
pyRunTime:  0.009284257888793945
