Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.27057157 Degree
Longitude: -80.70671527 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,15,17,18,20,21,23
10-min:, 13,16,19,21,24,26,28,29,32,33
15-min:, 16,19,23,26,29,32,34,37,39,41
30-min:, 21,26,31,36,41,45,49,53,58,62
60-min:, 26,32,39,46,54,60,66,72,81,87
2-hr:, 30,37,46,53,63,70,78,86,97,105
3-hr:, 32,39,49,56,67,75,84,92,104,114
6-hr:, 38,46,57,66,79,89,99,110,126,138
12-hr:, 46,55,67,77,92,104,116,129,147,163
24-hr:, 55,65,79,90,106,118,131,145,164,179
2-day:, 64,76,91,104,120,134,147,161,180,195
3-day:, 69,82,98,110,128,141,155,168,187,201
4-day:, 74,88,104,117,135,148,162,176,194,207
7-day:, 91,107,126,140,158,172,186,199,217,229
10-day:, 105,124,143,159,178,193,206,220,237,249
20-day:, 149,175,200,218,242,259,275,290,309,322
30-day:, 189,221,250,271,297,316,334,350,369,383
45-day:, 243,283,317,342,372,393,412,429,450,463
60-day:, 295,342,379,407,440,463,483,502,523,537

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,23,25
10-min:, 14,17,21,23,26,28,30,32,34,36
15-min:, 18,21,25,28,32,35,37,40,43,45
30-min:, 23,28,35,39,45,50,54,58,64,68
60-min:, 29,35,44,50,59,66,72,79,88,95
2-hr:, 33,41,51,59,69,77,86,94,106,115
3-hr:, 36,43,54,62,74,83,92,102,115,125
6-hr:, 43,52,64,73,87,98,109,121,137,150
12-hr:, 51,61,74,85,101,114,127,141,160,176
24-hr:, 60,71,86,98,115,128,143,157,177,193
2-day:, 70,83,99,112,130,144,159,174,194,210
3-day:, 75,89,106,119,137,152,166,180,200,215
4-day:, 80,95,112,126,145,159,173,187,207,221
7-day:, 97,114,134,149,168,183,198,212,230,244
10-day:, 111,131,152,168,188,204,218,232,250,263
20-day:, 157,185,211,231,255,273,290,306,325,339
30-day:, 199,233,263,285,313,333,352,368,389,403
45-day:, 255,297,332,358,390,412,432,450,472,486
60-day:, 308,357,396,425,459,483,505,524,546,561

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,18,19,20
10-min:, 12,14,17,19,21,23,25,26,28,29
15-min:, 15,17,21,23,26,29,31,33,35,37
30-min:, 19,23,29,32,37,41,44,48,52,55
60-min:, 23,29,36,41,48,54,59,65,72,77
2-hr:, 27,33,41,47,56,62,69,76,85,92
3-hr:, 29,35,44,50,59,66,74,81,91,99
6-hr:, 35,42,52,60,71,79,88,97,110,120
12-hr:, 42,50,61,70,83,93,103,114,129,141
24-hr:, 50,60,73,83,97,108,119,131,147,160
2-day:, 60,71,85,96,111,123,135,148,164,177
3-day:, 64,76,91,103,118,130,143,155,171,184
4-day:, 69,82,97,109,125,138,150,162,178,190
7-day:, 85,100,118,131,148,161,174,186,201,212
10-day:, 99,117,135,149,167,181,194,206,221,232
20-day:, 141,165,189,207,229,245,260,274,291,303
30-day:, 180,210,237,258,282,300,316,331,349,361
45-day:, 232,270,302,325,354,374,392,408,427,440
60-day:, 282,327,363,389,420,442,461,479,498,511

Date/time (GMT):  Thu Feb 29 23:09:14 2024
pyRunTime:  0.010586261749267578
