Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.45413522 Degree
Longitude: -76.02752426 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,21,22,24
10-min:, 15,18,21,23,26,28,31,33,35,37
15-min:, 18,22,26,29,33,36,39,41,45,47
30-min:, 25,30,37,43,49,54,59,64,71,76
60-min:, 31,38,48,55,66,74,82,90,102,111
2-hr:, 38,46,58,68,81,92,103,115,131,145
3-hr:, 41,50,64,75,90,103,116,130,150,167
6-hr:, 51,62,78,92,111,128,146,166,195,220
12-hr:, 61,74,94,111,138,161,187,216,259,298
24-hr:, 71,86,112,134,168,198,231,269,327,377
2-day:, 81,99,128,154,192,226,263,305,369,425
3-day:, 86,104,135,161,201,235,273,316,380,435
4-day:, 91,110,142,169,209,244,283,326,390,445
7-day:, 105,127,160,189,231,267,307,351,416,471
10-day:, 119,142,178,207,249,284,321,362,424,479
20-day:, 158,188,227,259,304,340,377,416,470,513
30-day:, 196,233,277,313,361,399,438,478,531,572
45-day:, 246,291,341,379,429,467,505,541,588,623
60-day:, 294,346,401,441,493,531,567,601,644,675

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,26,29,32,34,37,40,42
15-min:, 20,24,29,32,37,40,43,46,50,53
30-min:, 28,33,41,47,54,60,66,72,80,86
60-min:, 34,42,53,61,72,81,91,101,114,126
2-hr:, 42,51,65,75,90,102,115,128,148,164
3-hr:, 46,56,71,83,99,113,128,145,168,188
6-hr:, 56,68,86,101,123,142,163,186,221,250
12-hr:, 68,83,105,125,154,180,210,243,295,341
24-hr:, 78,95,124,148,185,218,254,295,357,412
2-day:, 90,110,142,170,212,249,289,335,405,466
3-day:, 95,116,150,178,221,258,300,346,416,477
4-day:, 100,122,157,186,230,268,310,357,427,488
7-day:, 115,139,176,207,253,292,336,383,453,513
10-day:, 129,155,193,224,270,308,348,392,460,519
20-day:, 170,203,245,280,328,366,407,449,507,554
30-day:, 211,251,298,336,388,429,470,513,571,617
45-day:, 262,309,363,403,456,497,536,576,627,665
60-day:, 312,367,424,467,522,562,601,638,684,718

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,25,27,29,31,32
15-min:, 17,20,24,27,30,32,34,36,39,41
30-min:, 23,27,34,38,44,49,53,57,62,66
60-min:, 28,34,43,50,59,66,73,80,89,96
2-hr:, 34,42,53,61,73,82,91,101,114,124
3-hr:, 37,45,58,67,80,91,102,113,129,141
6-hr:, 46,56,70,82,99,113,128,144,166,184
12-hr:, 55,66,84,99,121,141,161,183,215,242
24-hr:, 64,78,101,121,150,175,203,234,281,320
2-day:, 74,90,116,139,173,201,233,268,320,364
3-day:, 78,95,123,147,181,211,243,278,331,375
4-day:, 83,101,130,154,190,220,253,289,341,386
7-day:, 97,117,147,173,211,242,277,314,367,411
10-day:, 110,132,164,191,229,260,293,328,380,425
20-day:, 147,176,212,241,282,314,347,381,426,462
30-day:, 183,217,258,291,335,369,404,439,485,520
45-day:, 231,273,320,355,401,436,469,502,544,575
60-day:, 278,327,377,416,464,499,532,563,601,628

Date/time (GMT):  Thu Feb 29 23:09:16 2024
pyRunTime:  0.12720179557800293
