Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.42822061 Degree
Longitude: -78.64524744 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,19,21,23
10-min:, 12,15,17,20,22,25,27,29,31,33
15-min:, 15,18,21,24,28,30,33,36,39,42
30-min:, 20,24,29,34,39,43,48,52,58,63
60-min:, 24,29,37,43,51,57,64,71,80,88
2-hr:, 28,34,42,49,59,67,75,84,96,106
3-hr:, 30,37,46,53,64,73,82,92,106,117
6-hr:, 37,44,55,64,76,87,98,110,127,141
12-hr:, 45,54,67,77,92,105,119,134,155,173
24-hr:, 53,64,78,90,107,121,137,153,177,198
2-day:, 63,74,91,104,123,139,156,174,201,224
3-day:, 67,80,96,110,129,145,162,181,207,229
4-day:, 72,85,102,116,136,152,169,187,213,235
7-day:, 86,102,120,136,156,173,191,209,234,254
10-day:, 101,119,139,155,178,196,214,233,259,280
20-day:, 142,167,192,213,240,262,283,305,334,356
30-day:, 179,210,239,263,294,319,343,366,397,421
45-day:, 232,270,305,333,368,394,420,444,476,499
60-day:, 282,328,368,398,437,466,494,520,554,578

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,21,23,25
10-min:, 13,16,19,22,25,27,29,32,34,37
15-min:, 16,20,24,27,31,34,36,39,43,46
30-min:, 22,26,33,37,43,48,53,57,64,69
60-min:, 27,32,41,47,56,63,70,78,88,97
2-hr:, 31,38,47,55,65,74,83,92,106,116
3-hr:, 34,41,51,60,71,80,90,101,116,129
6-hr:, 41,49,61,71,85,96,108,121,139,155
12-hr:, 50,60,74,85,101,115,129,145,169,188
24-hr:, 58,69,85,98,116,131,147,165,190,212
2-day:, 68,81,98,112,133,150,168,187,216,240
3-day:, 72,86,104,118,139,156,174,193,222,245
4-day:, 77,91,109,124,145,162,180,200,228,251
7-day:, 92,109,129,145,167,185,203,222,249,271
10-day:, 107,127,148,165,189,208,228,248,276,298
20-day:, 151,177,204,225,254,277,299,322,353,377
30-day:, 189,221,252,277,310,335,361,386,419,444
45-day:, 244,284,321,349,386,414,440,466,500,526
60-day:, 296,344,386,418,458,489,518,546,582,608

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,16,17,19,20
10-min:, 11,13,16,18,20,22,23,25,27,29
15-min:, 13,16,19,22,25,27,29,31,34,36
30-min:, 18,21,26,30,35,38,42,46,51,54
60-min:, 21,26,33,38,45,51,56,62,70,76
2-hr:, 25,30,38,44,52,59,66,73,83,91
3-hr:, 27,33,41,48,57,64,72,80,92,101
6-hr:, 33,40,50,58,69,77,87,97,111,122
12-hr:, 41,50,61,70,84,95,106,118,136,150
24-hr:, 50,59,72,83,99,111,125,139,160,177
2-day:, 58,69,84,96,113,128,142,158,181,199
3-day:, 63,74,90,102,120,134,149,165,187,206
4-day:, 67,80,96,108,126,141,156,172,194,212
7-day:, 81,96,113,127,146,161,177,193,215,232
10-day:, 95,111,130,145,166,182,199,216,239,256
20-day:, 134,157,182,201,226,246,265,285,311,330
30-day:, 170,199,227,249,279,301,323,344,372,393
45-day:, 221,258,291,317,350,375,398,421,449,470
60-day:, 270,313,351,380,417,444,470,494,524,546

Date/time (GMT):  Thu Feb 29 23:09:18 2024
pyRunTime:  0.10366392135620117
