Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.69457376 Degree
Longitude: -77.53405925 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,20,21,23,24
10-min:, 16,18,21,24,27,29,31,33,36,38
15-min:, 20,23,27,30,34,37,40,42,45,48
30-min:, 27,32,38,44,50,56,61,66,72,77
60-min:, 34,40,49,57,67,76,84,92,103,112
2-hr:, 39,47,58,69,83,94,106,119,136,152
3-hr:, 42,50,62,74,89,103,117,132,152,171
6-hr:, 51,60,75,89,108,125,143,163,190,215
12-hr:, 60,72,90,107,131,154,177,203,240,274
24-hr:, 68,83,107,127,156,180,206,234,274,308
2-day:, 79,96,123,145,177,203,231,262,306,342
3-day:, 85,102,130,153,186,213,241,272,316,352
4-day:, 90,109,138,161,195,222,251,282,326,362
7-day:, 105,126,158,183,219,248,278,310,355,390
10-day:, 120,144,177,204,240,269,300,331,374,409
20-day:, 164,195,236,269,313,349,385,423,474,514
30-day:, 203,240,286,321,368,405,441,478,528,566
45-day:, 254,300,352,392,445,486,526,566,620,660
60-day:, 304,358,417,461,518,562,605,647,701,742

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,27
10-min:, 18,21,24,27,30,33,35,38,40,43
15-min:, 22,26,30,34,38,42,45,47,51,53
30-min:, 30,36,43,49,57,63,68,74,81,87
60-min:, 38,45,55,64,75,85,94,103,116,126
2-hr:, 45,53,66,78,93,106,120,134,153,171
3-hr:, 48,57,71,84,101,117,132,149,172,194
6-hr:, 58,69,85,101,123,142,161,183,213,241
12-hr:, 68,81,101,121,148,172,198,226,267,305
24-hr:, 74,91,117,138,169,195,223,254,298,336
2-day:, 87,105,134,158,192,221,252,285,334,374
3-day:, 92,112,142,166,202,231,262,296,345,385
4-day:, 98,119,150,175,211,241,273,307,355,396
7-day:, 114,137,171,198,237,268,301,337,386,426
10-day:, 129,155,191,219,258,290,323,357,405,443
20-day:, 176,209,254,288,337,375,414,455,511,556
30-day:, 216,256,305,342,392,432,471,511,566,608
45-day:, 269,318,374,416,472,516,559,603,661,706
60-day:, 321,378,440,486,547,593,639,685,745,790

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,21
10-min:, 14,16,19,21,24,26,28,29,31,33
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 24,28,34,39,45,49,53,57,62,66
60-min:, 30,36,44,51,59,67,73,80,89,97
2-hr:, 35,42,51,61,72,82,92,102,116,128
3-hr:, 37,44,55,65,78,89,101,112,129,143
6-hr:, 45,53,66,78,94,109,123,139,160,178
12-hr:, 53,64,79,95,115,134,153,173,201,227
24-hr:, 63,77,98,116,142,163,185,209,242,269
2-day:, 73,89,113,133,161,185,209,235,271,300
3-day:, 78,95,120,141,170,194,219,245,281,311
4-day:, 84,101,127,149,179,203,228,254,291,321
7-day:, 97,117,146,169,201,227,253,281,319,348
10-day:, 112,134,165,189,222,248,275,302,339,368
20-day:, 153,182,220,250,290,322,354,387,431,465
30-day:, 190,226,268,301,344,377,410,443,486,518
45-day:, 239,283,332,369,418,455,491,527,574,610
60-day:, 289,340,395,437,490,530,569,607,655,691

Date/time (GMT):  Thu Feb 29 23:09:20 2024
pyRunTime:  0.025198936462402344
