Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.93378669 Degree
Longitude: -76.94238023 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 15,18,21,24,27,29,31,33,36,38
15-min:, 19,23,27,30,34,37,39,42,45,47
30-min:, 26,31,38,44,50,55,60,65,72,77
60-min:, 32,39,49,57,67,75,83,92,103,112
2-hr:, 39,47,58,69,82,93,105,117,133,147
3-hr:, 42,51,63,75,90,103,116,130,149,165
6-hr:, 51,61,76,90,109,126,144,163,190,214
12-hr:, 61,73,92,110,135,157,182,209,248,284
24-hr:, 68,82,106,127,159,187,219,254,308,355
2-day:, 79,95,124,148,184,215,250,289,348,399
3-day:, 83,101,131,155,193,225,261,301,361,412
4-day:, 88,107,137,163,202,235,272,312,373,425
7-day:, 102,123,156,184,224,259,297,339,401,454
10-day:, 117,140,175,204,245,279,316,356,413,461
20-day:, 157,187,226,258,302,337,374,412,464,506
30-day:, 194,230,273,308,355,392,430,469,520,560
45-day:, 244,288,337,375,424,462,498,534,580,615
60-day:, 290,341,395,435,486,524,559,594,637,668

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,16,18,20,22,23,25,27
10-min:, 17,20,23,26,29,32,35,37,40,42
15-min:, 21,25,29,33,37,41,44,46,50,53
30-min:, 29,35,42,48,55,61,67,72,80,86
60-min:, 36,43,54,63,74,83,92,101,114,125
2-hr:, 43,52,64,76,90,103,116,129,148,164
3-hr:, 47,57,71,83,100,114,129,145,166,186
6-hr:, 58,69,86,102,123,142,162,183,215,242
12-hr:, 70,83,104,125,153,179,206,237,283,324
24-hr:, 76,92,119,142,177,208,242,281,340,391
2-day:, 87,106,137,163,203,237,275,318,383,440
3-day:, 92,112,144,171,212,247,286,329,395,452
4-day:, 97,118,151,179,221,257,297,341,407,464
7-day:, 112,135,170,200,244,282,323,369,436,494
10-day:, 127,153,190,221,265,302,342,385,448,500
20-day:, 169,201,243,277,324,362,401,442,499,545
30-day:, 207,245,292,329,379,419,459,500,556,600
45-day:, 259,306,358,398,450,490,529,567,617,655
60-day:, 306,361,417,459,513,552,590,627,673,707

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,18,19,20,21
10-min:, 14,16,19,21,24,26,28,29,31,33
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 24,28,34,39,45,50,54,58,63,67
60-min:, 29,36,44,51,60,67,74,81,90,97
2-hr:, 35,42,53,62,73,83,93,102,115,126
3-hr:, 38,46,57,67,80,90,101,113,128,140
6-hr:, 46,55,68,80,97,111,125,140,161,179
12-hr:, 54,65,81,97,118,136,156,177,206,232
24-hr:, 62,75,97,115,143,167,193,222,265,302
2-day:, 72,87,113,134,166,193,222,255,302,342
3-day:, 76,93,119,141,174,202,233,266,315,355
4-day:, 81,98,126,149,183,212,243,277,327,368
7-day:, 94,114,144,168,205,235,268,303,354,396
10-day:, 108,130,162,188,225,255,288,322,369,409
20-day:, 146,174,211,240,280,311,344,377,422,457
30-day:, 182,215,256,288,331,365,399,433,478,512
45-day:, 230,271,317,352,398,432,466,497,538,568
60-day:, 274,322,373,410,458,492,525,556,594,621

Date/time (GMT):  Thu Feb 29 23:09:24 2024
pyRunTime:  0.027567625045776367
