Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.88459151 Degree
Longitude: -77.1753805 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,21,23,24
10-min:, 15,17,21,23,26,28,31,33,36,38
15-min:, 18,22,26,29,33,36,39,41,45,47
30-min:, 25,30,37,43,49,54,59,64,71,77
60-min:, 31,38,48,55,66,74,82,90,102,112
2-hr:, 36,44,56,66,79,89,100,112,129,143
3-hr:, 39,47,60,70,85,97,109,123,143,159
6-hr:, 48,58,73,86,104,120,137,155,183,206
12-hr:, 58,70,89,105,130,151,175,202,243,278
24-hr:, 67,81,104,125,156,184,215,251,306,355
2-day:, 77,94,120,143,177,207,240,277,333,382
3-day:, 82,99,127,151,186,218,252,291,350,401
4-day:, 86,104,133,158,196,229,265,305,367,419
7-day:, 100,121,153,180,221,256,295,338,403,458
10-day:, 115,138,172,201,242,278,315,357,417,468
20-day:, 155,184,223,254,297,332,369,407,460,502
30-day:, 191,226,268,303,350,388,427,466,521,563
45-day:, 240,283,331,367,416,453,489,525,571,606
60-day:, 285,335,388,427,478,516,553,588,632,665

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,26,29,31,34,36,40,42
15-min:, 20,24,29,32,37,40,43,46,50,53
30-min:, 27,33,41,47,54,60,66,72,80,86
60-min:, 34,42,53,61,72,81,91,100,114,126
2-hr:, 40,49,62,72,86,98,111,124,144,161
3-hr:, 43,52,66,78,93,107,121,136,159,178
6-hr:, 53,64,81,95,115,133,152,173,205,233
12-hr:, 65,78,100,117,145,169,196,227,275,317
24-hr:, 75,90,116,138,172,201,235,274,333,385
2-day:, 86,104,133,158,195,228,264,304,366,420
3-day:, 91,110,141,167,206,240,277,320,384,440
4-day:, 96,116,148,175,216,252,291,335,402,461
7-day:, 110,133,168,198,242,280,323,370,441,502
10-day:, 126,151,189,220,265,303,344,389,456,512
20-day:, 168,199,241,274,321,359,398,439,496,543
30-day:, 205,243,289,325,376,417,458,501,560,607
45-day:, 255,301,352,391,442,482,521,559,610,648
60-day:, 303,356,411,453,507,547,586,624,672,708

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,23,25,27,29,31,33
15-min:, 16,20,24,26,30,32,34,36,39,41
30-min:, 23,28,34,38,44,48,53,57,62,66
60-min:, 28,35,43,50,59,66,73,80,89,97
2-hr:, 33,40,51,59,71,80,89,99,112,123
3-hr:, 35,43,54,63,76,86,96,107,123,135
6-hr:, 43,53,66,77,93,106,120,135,156,173
12-hr:, 52,63,80,94,115,132,151,172,203,228
24-hr:, 61,74,95,113,140,164,190,219,263,301
2-day:, 70,85,109,129,159,185,213,243,288,326
3-day:, 75,90,115,137,168,195,224,256,303,343
4-day:, 79,95,121,144,177,205,235,269,318,359
7-day:, 92,111,140,164,200,231,264,300,352,397
10-day:, 105,126,158,184,221,251,284,318,369,410
20-day:, 144,171,206,235,274,305,337,370,415,450
30-day:, 178,211,250,282,325,359,393,428,474,510
45-day:, 225,266,310,344,389,423,456,488,529,559
60-day:, 269,316,365,402,449,484,517,548,587,615

Date/time (GMT):  Thu Feb 29 23:09:31 2024
pyRunTime:  0.010318756103515625
