Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.73564842 Degree
Longitude: -77.80647472 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,23,24
10-min:, 14,17,20,23,26,28,30,33,36,38
15-min:, 18,21,26,29,33,36,39,41,45,48
30-min:, 24,30,36,42,48,53,59,64,72,78
60-min:, 30,37,47,54,64,72,81,90,103,113
2-hr:, 36,43,55,65,78,89,101,113,132,147
3-hr:, 38,47,59,69,84,96,109,123,143,161
6-hr:, 48,58,73,85,103,118,135,154,181,204
12-hr:, 58,70,89,104,128,148,170,196,234,267
24-hr:, 67,80,103,123,153,179,208,242,293,338
2-day:, 78,94,120,142,176,204,236,272,326,373
3-day:, 82,100,127,150,185,216,249,287,343,391
4-day:, 87,105,134,159,195,227,262,301,359,409
7-day:, 101,122,153,180,220,254,291,332,393,445
10-day:, 115,138,172,200,241,274,310,349,405,452
20-day:, 155,184,222,253,295,330,365,401,452,492
30-day:, 189,224,266,299,345,381,418,456,507,547
45-day:, 237,280,327,363,410,445,480,514,558,591
60-day:, 281,331,381,419,468,505,539,572,614,644

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,19,23,25,29,31,34,36,40,42
15-min:, 20,24,29,32,36,39,42,46,50,53
30-min:, 27,33,40,46,53,59,65,71,79,86
60-min:, 34,41,52,60,71,80,89,99,114,125
2-hr:, 40,48,62,72,87,99,112,126,146,164
3-hr:, 43,53,67,78,94,107,122,137,161,180
6-hr:, 54,65,82,96,116,133,152,173,203,230
12-hr:, 66,79,100,117,143,166,191,219,262,299
24-hr:, 75,91,116,138,170,199,231,268,324,373
2-day:, 86,104,133,157,194,225,260,299,358,410
3-day:, 91,110,141,166,205,237,274,314,376,430
4-day:, 96,116,148,175,215,250,288,330,394,450
7-day:, 112,134,169,199,242,279,320,364,431,489
10-day:, 126,151,189,219,262,298,338,380,441,493
20-day:, 167,199,240,273,319,355,393,433,489,533
30-day:, 204,241,286,321,370,409,449,490,545,589
45-day:, 253,298,348,386,436,474,511,548,596,633
60-day:, 299,351,405,446,498,536,574,610,655,689

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,16,17,18,20,21
10-min:, 13,15,18,20,23,25,27,29,31,33
15-min:, 16,19,23,26,29,32,34,36,39,41
30-min:, 22,27,33,37,43,47,52,56,62,66
60-min:, 27,33,42,48,57,64,71,78,89,97
2-hr:, 32,39,49,58,69,78,88,99,113,125
3-hr:, 34,42,53,61,74,84,95,106,122,135
6-hr:, 43,52,65,75,91,104,117,132,153,170
12-hr:, 52,63,79,92,112,129,147,167,196,221
24-hr:, 60,73,93,110,136,158,183,210,250,285
2-day:, 71,85,109,128,157,182,208,238,280,316
3-day:, 75,91,115,136,166,192,220,251,296,333
4-day:, 79,96,122,144,176,203,232,264,311,350
7-day:, 92,111,139,163,198,228,259,293,343,384
10-day:, 105,127,158,183,219,248,279,312,357,395
20-day:, 143,170,205,233,272,302,333,364,407,440
30-day:, 177,209,248,279,320,353,385,418,461,494
45-day:, 223,263,306,340,383,415,447,477,516,544
60-day:, 265,312,359,395,440,473,505,534,571,597

Date/time (GMT):  Thu Feb 29 23:09:33 2024
pyRunTime:  0.03928804397583008
