Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.91812937 Degree
Longitude: -79.6439364 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,19,21,23
10-min:, 12,15,18,20,23,25,27,29,31,33
15-min:, 15,18,22,25,28,31,33,36,39,41
30-min:, 20,24,30,34,40,44,48,52,58,62
60-min:, 24,30,37,43,51,58,64,71,80,87
2-hr:, 28,34,43,50,60,67,75,84,95,105
3-hr:, 31,37,46,54,64,73,82,91,104,115
6-hr:, 37,45,56,65,77,88,99,110,127,141
12-hr:, 46,55,67,78,93,105,119,133,154,171
24-hr:, 53,63,77,89,105,118,131,146,166,182
2-day:, 63,75,90,103,120,134,148,164,184,201
3-day:, 68,80,96,109,127,142,157,172,193,209
4-day:, 73,86,103,116,135,149,165,180,201,218
7-day:, 88,103,122,137,156,171,187,202,223,239
10-day:, 102,120,140,156,177,193,209,225,246,262
20-day:, 145,170,196,215,241,261,280,298,322,340
30-day:, 183,214,244,267,297,319,340,361,387,406
45-day:, 236,275,310,336,369,394,417,438,465,484
60-day:, 285,332,371,400,437,463,488,510,538,557

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,20,21,23,25
10-min:, 14,16,20,22,25,27,29,32,34,36
15-min:, 17,20,24,27,31,34,36,39,43,45
30-min:, 22,27,33,38,44,48,53,57,63,68
60-min:, 27,33,41,48,57,64,70,78,87,95
2-hr:, 31,38,47,55,66,74,83,92,104,114
3-hr:, 34,41,51,59,71,80,89,99,113,125
6-hr:, 41,50,62,71,85,96,108,120,138,152
12-hr:, 51,61,75,86,102,116,130,146,168,187
24-hr:, 57,69,83,96,113,126,141,156,177,194
2-day:, 68,80,97,110,129,144,159,175,197,215
3-day:, 73,87,104,118,137,152,168,184,206,224
4-day:, 78,93,110,125,144,160,176,193,215,233
7-day:, 93,110,130,145,166,182,198,214,236,253
10-day:, 108,127,148,165,187,204,220,237,260,277
20-day:, 152,179,205,226,253,274,294,313,338,357
30-day:, 192,225,256,280,311,334,357,378,406,427
45-day:, 246,287,324,351,386,411,435,458,486,507
60-day:, 297,346,387,417,455,483,508,532,561,582

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,20,22,24,25,27,29
15-min:, 14,16,20,22,25,27,30,32,34,36
30-min:, 18,22,27,31,36,39,43,46,51,54
60-min:, 22,27,34,39,46,52,57,63,70,76
2-hr:, 26,31,39,45,53,60,67,74,84,91
3-hr:, 28,34,42,49,58,65,73,81,91,100
6-hr:, 34,41,51,59,70,79,88,98,111,122
12-hr:, 41,49,60,70,83,93,105,116,133,147
24-hr:, 50,59,72,82,97,109,121,133,151,164
2-day:, 59,70,84,96,112,124,137,151,169,183
3-day:, 63,75,90,102,119,132,145,158,177,191
4-day:, 68,81,96,109,126,139,153,166,185,199
7-day:, 83,98,115,129,147,161,175,189,207,221
10-day:, 97,114,133,147,167,182,196,211,229,244
20-day:, 138,162,186,205,229,247,265,282,303,319
30-day:, 175,204,233,254,282,303,323,342,365,382
45-day:, 226,263,296,322,353,376,398,418,442,459
60-day:, 274,318,356,384,419,443,466,487,513,530

Date/time (GMT):  Thu Feb 29 23:09:35 2024
pyRunTime:  0.010200262069702148
