Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.02974928 Degree
Longitude: -81.08286634 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,15,18,20,23,24,26,28,29,30
15-min:, 16,19,23,25,28,30,32,34,37,38
30-min:, 21,26,31,35,41,44,48,51,56,59
60-min:, 26,32,40,45,53,59,65,71,78,84
2-hr:, 30,37,46,52,61,68,76,83,92,100
3-hr:, 32,39,48,55,65,72,80,88,99,107
6-hr:, 38,46,57,65,76,86,95,105,119,130
12-hr:, 45,54,66,75,89,100,111,123,140,153
24-hr:, 54,64,78,89,104,117,129,143,161,175
2-day:, 65,77,93,105,122,135,149,162,181,196
3-day:, 71,84,100,113,130,143,157,171,190,204
4-day:, 76,90,107,120,138,152,166,180,198,212
7-day:, 92,108,127,141,160,174,187,201,218,231
10-day:, 107,125,145,161,180,195,209,223,240,252
20-day:, 150,175,201,220,243,261,277,292,311,324
30-day:, 189,221,249,271,297,316,334,350,370,383
45-day:, 241,281,314,339,369,390,410,427,448,462
60-day:, 292,339,376,403,436,459,479,498,519,533

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 14,17,20,22,25,27,29,30,32,34
15-min:, 17,21,25,28,31,34,36,38,40,42
30-min:, 23,28,35,39,45,49,53,57,62,65
60-min:, 29,35,44,50,59,65,72,78,86,93
2-hr:, 33,40,50,57,67,74,82,90,100,108
3-hr:, 35,42,52,60,70,79,87,95,107,116
6-hr:, 42,50,61,70,83,93,103,113,128,140
12-hr:, 49,58,71,81,95,107,119,132,150,165
24-hr:, 58,69,84,95,111,124,138,152,171,186
2-day:, 70,83,99,112,130,144,158,173,193,208
3-day:, 76,90,107,120,138,153,167,182,201,216
4-day:, 81,96,114,128,147,161,176,191,210,224
7-day:, 97,115,135,150,169,184,199,213,231,245
10-day:, 113,133,154,170,191,206,221,235,253,266
20-day:, 158,185,211,231,256,274,291,308,328,342
30-day:, 198,231,261,284,311,331,350,367,387,402
45-day:, 252,293,328,354,385,407,428,446,468,483
60-day:, 304,353,391,420,454,477,499,518,540,555

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,15,16,17,18
10-min:, 12,14,16,18,20,22,23,24,26,27
15-min:, 14,17,20,23,25,27,29,31,32,33
30-min:, 19,23,28,32,36,40,43,46,49,51
60-min:, 24,29,36,41,48,53,58,63,69,73
2-hr:, 28,34,42,48,56,62,68,74,81,87
3-hr:, 30,36,44,51,59,66,72,79,88,94
6-hr:, 36,43,52,60,70,78,86,94,105,114
12-hr:, 42,50,61,70,82,91,101,111,124,134
24-hr:, 51,60,73,83,97,108,120,131,148,160
2-day:, 61,73,87,98,113,126,138,150,167,180
3-day:, 66,79,94,105,121,134,146,158,175,187
4-day:, 72,85,100,113,129,142,154,167,183,195
7-day:, 86,102,119,133,150,163,175,187,203,214
10-day:, 101,119,138,152,170,184,197,209,225,236
20-day:, 143,167,191,209,231,248,263,277,294,306
30-day:, 180,210,238,258,283,301,317,332,350,363
45-day:, 231,269,301,324,353,373,391,407,426,439
60-day:, 280,325,361,387,418,440,459,476,496,509

Date/time (GMT):  Fri Apr 26 20:40:56 2024
pyRunTime:  0.0073626041412353516
