Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.93020645 Degree
Longitude: -80.3673775 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,20,21
10-min:, 13,16,19,21,24,26,28,30,32,33
15-min:, 16,20,24,27,30,33,35,37,40,42
30-min:, 23,27,34,39,45,49,54,58,64,68
60-min:, 28,34,44,51,60,67,74,82,92,99
2-hr:, 34,41,53,61,73,83,93,103,117,128
3-hr:, 36,44,56,66,79,89,100,111,126,138
6-hr:, 44,54,68,80,96,109,124,139,160,177
12-hr:, 54,65,82,97,117,134,153,173,203,227
24-hr:, 65,79,100,118,144,166,190,215,252,282
2-day:, 77,94,118,139,168,191,217,244,282,313
3-day:, 82,99,125,146,177,202,228,256,296,328
4-day:, 87,105,132,154,186,212,240,269,310,343
7-day:, 100,120,150,173,206,233,261,291,332,364
10-day:, 114,137,168,192,226,252,279,307,345,375
20-day:, 154,183,220,249,289,319,350,380,421,452
30-day:, 191,226,266,296,336,366,395,423,459,486
45-day:, 241,284,330,364,408,440,470,499,535,561
60-day:, 289,339,389,425,471,504,535,564,599,623

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,21,23,24
10-min:, 15,17,21,23,26,29,31,33,36,38
15-min:, 18,22,26,29,33,36,39,42,45,47
30-min:, 25,30,38,43,49,55,60,65,72,77
60-min:, 31,38,48,56,66,74,82,91,103,112
2-hr:, 37,45,58,68,81,92,103,115,132,145
3-hr:, 40,49,62,72,87,98,110,123,142,157
6-hr:, 49,59,75,87,105,120,135,153,177,198
12-hr:, 59,71,90,105,128,146,167,190,224,253
24-hr:, 72,87,110,130,158,181,206,234,274,307
2-day:, 85,102,129,151,183,209,236,265,307,342
3-day:, 90,108,137,160,192,219,248,278,322,357
4-day:, 94,114,144,168,202,230,260,291,336,373
7-day:, 108,130,162,187,222,251,282,313,358,394
10-day:, 123,148,181,207,242,271,300,330,371,404
20-day:, 165,197,236,267,309,342,374,408,452,487
30-day:, 204,241,283,315,357,389,420,450,490,519
45-day:, 257,303,351,387,433,467,500,531,571,599
60-day:, 306,359,411,449,497,533,566,597,635,662

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,16,17,18
10-min:, 12,14,17,19,22,23,25,26,28,29
15-min:, 15,18,22,24,27,29,31,33,35,36
30-min:, 21,25,31,35,40,44,48,51,55,58
60-min:, 26,31,40,46,54,60,66,72,79,85
2-hr:, 31,37,48,55,66,74,82,90,101,109
3-hr:, 33,40,51,60,71,79,88,97,108,117
6-hr:, 41,50,63,73,87,98,110,121,137,149
12-hr:, 50,60,76,88,106,120,135,151,172,190
24-hr:, 60,72,92,108,131,150,170,191,221,245
2-day:, 71,86,108,126,152,173,195,218,249,274
3-day:, 75,91,115,134,161,183,206,230,262,289
4-day:, 80,97,122,142,170,193,217,241,276,303
7-day:, 93,112,139,160,190,214,238,263,298,324
10-day:, 106,127,156,179,209,233,257,281,313,338
20-day:, 144,171,206,232,268,295,322,349,385,410
30-day:, 180,212,250,278,314,341,367,392,424,447
45-day:, 228,269,311,343,384,413,441,467,499,521
60-day:, 274,321,367,401,444,474,503,529,560,581

Date/time (GMT):  Thu Feb 29 23:09:39 2024
pyRunTime:  0.03631949424743652
