Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.84155892 Degree
Longitude: -78.27714329 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,11,13,15,16,17,19,20,21
10-min:, 14,16,18,21,24,26,28,29,31,33
15-min:, 17,20,23,27,30,33,35,37,39,41
30-min:, 24,28,33,39,44,49,54,58,62,66
60-min:, 29,35,42,50,59,67,74,81,89,97
2-hr:, 35,42,51,61,72,82,92,102,115,126
3-hr:, 38,45,55,66,78,89,99,110,124,136
6-hr:, 47,55,67,81,97,112,126,142,162,181
12-hr:, 58,68,83,100,121,142,162,185,215,245
24-hr:, 67,81,103,122,150,174,200,229,271,307
2-day:, 78,95,120,141,172,197,224,254,296,331
3-day:, 83,100,127,149,182,208,237,268,313,349
4-day:, 87,106,134,158,192,220,250,282,329,368
7-day:, 101,121,151,176,212,241,272,306,353,392
10-day:, 114,137,169,195,231,261,292,325,371,408
20-day:, 153,182,220,250,290,322,355,387,431,465
30-day:, 188,223,264,295,335,365,395,424,461,489
45-day:, 237,280,328,363,408,441,473,504,542,570
60-day:, 281,330,381,419,468,503,537,569,608,636

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,16,18,19,20,22,23
10-min:, 15,18,20,23,26,29,31,32,34,36
15-min:, 19,22,26,30,33,36,39,41,43,45
30-min:, 26,31,37,43,49,55,59,64,69,74
60-min:, 33,39,47,56,65,74,82,89,99,107
2-hr:, 40,47,57,68,81,92,103,114,128,141
3-hr:, 43,51,62,74,88,100,112,124,139,153
6-hr:, 54,63,77,92,110,127,144,161,184,206
12-hr:, 66,78,95,115,138,161,184,208,243,276
24-hr:, 76,92,118,139,171,197,227,258,306,345
2-day:, 88,106,135,159,192,220,251,284,333,373
3-day:, 93,112,142,167,203,232,264,299,350,391
4-day:, 97,118,149,175,213,244,278,314,366,409
7-day:, 111,133,166,193,232,264,299,335,388,431
10-day:, 124,149,184,212,251,284,317,353,404,445
20-day:, 164,196,237,268,311,345,380,416,464,501
30-day:, 201,238,281,314,357,389,421,452,493,523
45-day:, 252,297,347,384,431,467,501,534,576,607
60-day:, 298,350,404,444,495,533,569,603,646,677

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,10,12,13,14,15,16,17,18
10-min:, 12,14,17,19,21,23,25,26,27,28
15-min:, 15,18,21,24,27,29,31,33,34,36
30-min:, 21,25,30,35,40,44,48,51,55,58
60-min:, 26,31,38,45,53,60,66,71,78,84
2-hr:, 31,37,45,54,64,73,81,89,99,108
3-hr:, 34,40,49,58,69,78,87,95,106,115
6-hr:, 42,49,59,71,85,97,109,121,137,151
12-hr:, 51,60,73,88,106,123,139,156,179,200
24-hr:, 60,72,92,109,133,153,175,198,231,259
2-day:, 70,85,107,126,152,174,197,221,255,283
3-day:, 75,90,114,134,162,185,210,235,271,300
4-day:, 79,96,121,142,172,197,222,249,288,318
7-day:, 92,111,138,160,192,217,243,271,310,341
10-day:, 105,126,155,178,211,237,264,292,330,360
20-day:, 143,170,205,233,269,298,327,355,393,421
30-day:, 177,210,248,276,313,341,368,393,426,450
45-day:, 223,264,308,342,383,414,443,470,505,529
60-day:, 265,311,359,395,439,472,503,531,567,591

Date/time (GMT):  Thu Feb 29 23:09:41 2024
pyRunTime:  0.03666281700134277
