Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.51094029 Degree
Longitude: -79.23228797 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,19,21,23
10-min:, 12,15,18,20,23,25,27,29,31,33
15-min:, 15,18,22,25,28,31,33,36,39,41
30-min:, 20,24,30,34,40,44,48,52,58,62
60-min:, 24,29,37,43,51,58,64,71,80,87
2-hr:, 28,34,43,49,59,66,74,82,93,101
3-hr:, 30,37,46,53,64,72,80,89,102,111
6-hr:, 36,44,55,63,76,86,96,107,123,135
12-hr:, 44,52,65,75,89,101,113,127,146,161
24-hr:, 52,62,76,88,104,117,130,145,165,181
2-day:, 61,73,88,101,118,132,146,161,182,198
3-day:, 66,78,94,107,124,139,153,169,189,206
4-day:, 70,83,100,113,131,146,161,176,197,213
7-day:, 85,101,119,133,153,168,184,199,220,236
10-day:, 99,117,137,152,173,190,206,222,243,259
20-day:, 140,164,189,209,235,255,274,293,317,335
30-day:, 176,206,235,258,288,311,332,353,380,400
45-day:, 228,266,300,326,359,384,407,429,456,475
60-day:, 275,320,359,388,425,451,476,499,527,546

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,16,18,20,21,23,25
10-min:, 14,16,20,22,25,27,30,32,34,36
15-min:, 17,20,24,27,31,34,37,39,43,45
30-min:, 22,27,33,38,44,48,53,57,64,68
60-min:, 27,33,42,48,57,64,71,78,88,95
2-hr:, 31,37,47,55,65,73,81,90,101,110
3-hr:, 33,40,51,59,70,79,88,98,111,121
6-hr:, 40,48,60,70,83,94,105,116,133,146
12-hr:, 48,57,71,81,97,109,123,137,156,172
24-hr:, 57,68,83,95,112,126,141,156,177,195
2-day:, 66,78,95,108,126,141,156,172,194,211
3-day:, 71,84,101,114,133,148,164,180,202,219
4-day:, 76,90,107,121,140,156,172,188,210,227
7-day:, 92,108,127,143,163,180,196,213,235,252
10-day:, 106,125,146,163,185,202,219,236,259,276
20-day:, 149,175,202,222,250,271,291,311,337,356
30-day:, 187,218,249,274,305,329,352,375,403,424
45-day:, 241,280,316,344,380,406,430,453,482,503
60-day:, 290,337,377,407,446,474,500,524,553,574

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,20,22,24,25,27,29
15-min:, 14,16,20,22,25,27,29,32,34,36
30-min:, 18,22,27,31,35,39,43,46,51,54
60-min:, 22,27,34,39,46,51,57,62,70,76
2-hr:, 25,31,38,45,53,59,66,73,82,89
3-hr:, 27,33,42,48,57,65,72,80,90,98
6-hr:, 33,40,50,58,69,77,86,95,108,118
12-hr:, 40,48,59,68,81,92,103,114,129,142
24-hr:, 48,58,70,81,95,107,119,132,149,163
2-day:, 57,68,82,93,109,121,134,148,165,179
3-day:, 61,73,87,99,115,128,141,155,173,187
4-day:, 66,78,93,105,122,135,148,162,180,194
7-day:, 80,94,111,124,142,156,170,184,202,216
10-day:, 93,109,128,142,161,176,191,205,224,238
20-day:, 131,154,177,195,219,238,255,272,294,310
30-day:, 166,194,222,243,271,292,312,331,355,373
45-day:, 215,251,283,308,339,362,384,404,428,445
60-day:, 262,305,341,369,403,428,451,473,498,515

Date/time (GMT):  Thu Feb 29 23:09:43 2024
pyRunTime:  0.020381689071655273
