Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.92956518 Degree
Longitude: -77.72157791 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,13,14,17,19,20,23,26,28
10-min:, 13,16,20,22,26,28,31,34,38,41
15-min:, 16,20,24,27,31,35,38,42,47,51
30-min:, 22,26,33,38,44,50,55,61,69,76
60-min:, 27,32,41,48,58,66,74,83,96,107
2-hr:, 31,38,48,56,68,78,90,102,122,138
3-hr:, 34,41,52,61,74,85,97,111,132,150
6-hr:, 43,52,65,75,91,105,120,137,163,185
12-hr:, 53,64,79,92,112,129,149,170,204,233
24-hr:, 62,74,92,107,130,149,170,194,231,262
2-day:, 71,86,106,124,150,173,198,226,269,305
3-day:, 76,91,113,131,158,182,207,236,280,317
4-day:, 81,97,119,138,166,190,217,247,291,329
7-day:, 94,113,137,158,187,212,239,269,312,348
10-day:, 109,129,155,177,207,233,260,290,333,368
20-day:, 147,173,202,226,258,283,309,337,375,405
30-day:, 182,213,245,270,304,331,358,385,422,452
45-day:, 228,267,303,330,366,393,420,447,482,508
60-day:, 273,318,357,387,426,454,482,510,545,572

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,19,21,23,25,28,31
10-min:, 15,18,22,25,28,31,34,37,42,45
15-min:, 18,22,27,30,35,39,43,46,52,56
30-min:, 24,30,37,42,50,55,61,68,77,84
60-min:, 30,36,46,54,64,73,82,92,106,118
2-hr:, 35,42,54,63,76,88,100,114,135,154
3-hr:, 38,47,59,68,83,95,109,124,148,168
6-hr:, 49,59,73,85,102,117,134,153,181,206
12-hr:, 60,72,89,103,125,144,165,188,225,257
24-hr:, 67,81,101,117,141,162,184,210,248,281
2-day:, 78,94,116,135,164,188,215,245,291,331
3-day:, 83,100,123,143,172,198,226,257,304,345
4-day:, 88,106,130,151,181,208,237,269,317,359
7-day:, 102,122,149,171,203,229,259,290,337,377
10-day:, 117,139,167,190,223,250,280,312,358,397
20-day:, 156,184,215,240,274,301,328,358,398,431
30-day:, 192,225,259,285,321,349,377,406,446,477
45-day:, 240,280,318,347,384,413,441,470,507,536
60-day:, 287,334,375,406,446,476,506,535,572,601

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,20,22,24
10-min:, 12,14,17,20,23,25,27,29,32,35
15-min:, 15,18,21,24,28,31,34,36,40,43
30-min:, 19,24,29,34,39,44,48,53,60,65
60-min:, 24,29,37,43,51,58,65,72,82,91
2-hr:, 28,34,42,50,60,69,78,88,104,117
3-hr:, 30,37,46,54,65,74,84,96,113,127
6-hr:, 39,46,58,67,81,92,105,118,139,156
12-hr:, 48,57,71,82,99,113,129,147,173,195
24-hr:, 56,68,84,98,118,134,153,173,202,227
2-day:, 66,79,97,113,136,156,177,201,235,264
3-day:, 70,84,103,120,144,164,186,210,246,276
4-day:, 74,89,109,126,151,172,195,220,257,288
7-day:, 88,105,127,146,172,194,217,242,278,308
10-day:, 101,120,144,164,192,215,239,264,300,329
20-day:, 139,163,191,213,242,265,289,313,346,372
30-day:, 172,202,232,255,287,311,336,360,393,418
45-day:, 217,254,288,314,348,373,398,422,453,477
60-day:, 260,304,341,369,405,432,458,483,515,539

Date/time (GMT):  Thu Feb 29 23:09:46 2024
pyRunTime:  0.08261704444885254
