Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.47267345 Degree
Longitude: -77.39779097 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,19,21,23,25
10-min:, 14,16,20,22,25,27,30,32,35,38
15-min:, 17,20,24,27,31,34,37,40,44,47
30-min:, 23,28,34,39,46,50,56,61,68,74
60-min:, 28,35,44,51,60,68,76,84,97,107
2-hr:, 34,41,52,61,74,85,97,110,130,147
3-hr:, 37,44,56,66,80,92,105,120,142,161
6-hr:, 46,56,70,82,99,115,132,151,180,206
12-hr:, 57,68,86,101,124,144,167,193,234,270
24-hr:, 65,78,99,118,146,171,200,233,284,329
2-day:, 76,91,115,136,168,196,227,263,317,365
3-day:, 80,97,122,144,177,206,238,275,332,381
4-day:, 85,102,129,151,186,216,250,288,346,397
7-day:, 98,118,147,172,209,241,277,317,377,430
10-day:, 113,135,166,192,230,262,298,336,393,442
20-day:, 153,181,216,244,284,317,351,387,439,480
30-day:, 188,222,260,291,334,369,405,442,494,536
45-day:, 236,278,320,354,399,433,468,502,549,585
60-day:, 281,330,377,413,460,497,532,567,614,649

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,18,19,21,23,25,27
10-min:, 15,18,22,24,28,30,33,35,39,42
15-min:, 19,23,27,30,35,38,41,44,49,52
30-min:, 26,31,38,43,50,56,62,67,75,82
60-min:, 32,39,49,56,66,75,84,93,107,118
2-hr:, 38,46,58,68,82,94,107,122,144,163
3-hr:, 41,50,63,74,89,102,117,133,158,179
6-hr:, 52,63,79,92,111,128,147,168,201,230
12-hr:, 64,78,97,114,139,162,187,216,262,302
24-hr:, 72,87,110,130,161,188,219,254,308,357
2-day:, 84,101,128,151,186,216,250,289,350,403
3-day:, 89,107,135,159,195,226,262,302,364,419
4-day:, 94,113,142,167,204,237,273,315,378,435
7-day:, 108,129,161,188,228,262,301,344,411,468
10-day:, 123,147,181,209,250,285,323,364,427,480
20-day:, 164,194,232,262,304,339,376,415,471,517
30-day:, 200,236,277,310,356,393,431,471,527,572
45-day:, 250,293,338,374,421,458,495,532,583,622
60-day:, 297,348,397,435,485,524,561,599,649,686

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,20,21
10-min:, 12,15,18,20,22,24,26,28,30,32
15-min:, 15,18,22,25,28,30,33,35,38,41
30-min:, 21,25,31,35,41,45,49,53,59,64
60-min:, 26,31,39,45,53,60,67,74,84,92
2-hr:, 30,37,46,54,65,75,85,96,112,126
3-hr:, 33,40,50,58,71,81,92,103,121,136
6-hr:, 41,50,62,72,88,100,114,130,153,173
12-hr:, 50,61,76,89,108,125,144,164,195,222
24-hr:, 59,72,91,107,131,153,177,203,244,279
2-day:, 69,83,105,123,151,175,201,230,274,311
3-day:, 73,88,111,131,159,184,212,242,287,326
4-day:, 78,93,117,138,168,194,222,254,300,340
7-day:, 91,109,135,158,191,219,249,282,331,373
10-day:, 104,125,153,177,211,239,269,302,349,388
20-day:, 143,169,202,227,264,293,323,354,398,433
30-day:, 177,209,245,274,314,345,377,410,454,489
45-day:, 223,262,302,334,375,407,438,470,511,542
60-day:, 267,313,357,391,435,468,501,532,573,604

Date/time (GMT):  Thu Feb 29 23:09:52 2024
pyRunTime:  0.07891654968261719
