Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.20177863 Degree
Longitude: -78.26012305 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,22,24,27
10-min:, 13,15,19,21,24,27,30,32,36,39
15-min:, 16,19,23,26,30,33,37,40,45,49
30-min:, 21,25,31,36,43,48,53,59,67,74
60-min:, 26,31,40,46,55,63,71,80,93,104
2-hr:, 30,37,47,56,68,78,89,101,119,134
3-hr:, 33,40,51,59,72,83,95,108,128,144
6-hr:, 41,50,62,73,88,101,115,131,155,175
12-hr:, 51,61,76,89,108,124,143,163,194,220
24-hr:, 61,73,91,106,127,146,166,187,219,246
2-day:, 70,84,105,122,147,169,192,218,256,288
3-day:, 75,90,112,130,156,178,202,227,265,296
4-day:, 80,95,118,137,164,187,211,237,274,304
7-day:, 93,111,136,156,184,206,230,254,288,315
10-day:, 106,126,152,173,201,224,247,271,304,331
20-day:, 143,169,198,221,251,274,296,318,347,368
30-day:, 176,206,238,262,294,317,339,361,388,408
45-day:, 220,257,293,320,352,376,398,418,442,459
60-day:, 263,307,346,374,408,432,453,472,495,510

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,18,20,22,24,27,29
10-min:, 14,17,21,24,27,30,33,36,40,43
15-min:, 18,21,26,29,33,37,41,44,50,54
30-min:, 23,28,35,40,47,53,59,65,74,81
60-min:, 29,35,44,51,62,70,79,88,103,114
2-hr:, 34,41,53,62,75,86,98,111,131,147
3-hr:, 37,45,56,66,80,92,104,119,140,158
6-hr:, 46,55,69,81,97,111,127,144,169,191
12-hr:, 56,68,84,98,119,136,156,178,211,239
24-hr:, 65,79,98,114,137,156,178,201,235,264
2-day:, 75,91,113,131,158,181,206,234,275,310
3-day:, 81,97,120,139,168,191,217,244,285,320
4-day:, 86,103,127,148,177,201,227,255,295,329
7-day:, 99,119,146,167,197,221,246,273,310,341
10-day:, 113,134,162,184,215,239,264,290,326,355
20-day:, 151,179,210,234,266,290,314,338,369,392
30-day:, 185,217,251,276,309,334,358,381,411,433
45-day:, 230,270,307,335,369,394,417,439,465,484
60-day:, 274,320,361,390,426,451,474,494,519,536

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,16,17,19,21,23
10-min:, 12,14,17,19,22,24,26,28,31,33
15-min:, 14,17,21,23,27,30,32,35,39,42
30-min:, 19,23,28,32,38,42,47,51,58,63
60-min:, 23,28,35,41,49,56,63,70,80,89
2-hr:, 27,33,42,50,60,69,78,88,103,115
3-hr:, 30,36,45,53,64,73,83,94,110,123
6-hr:, 37,45,56,65,79,90,102,115,134,149
12-hr:, 46,55,69,80,96,110,125,142,166,187
24-hr:, 56,68,84,98,117,133,150,168,194,215
2-day:, 65,78,97,113,135,154,174,196,227,252
3-day:, 70,84,104,120,144,163,183,205,236,261
4-day:, 74,89,110,128,152,172,193,215,245,269
7-day:, 87,104,127,145,170,191,211,232,260,283
10-day:, 99,118,142,162,188,208,229,250,277,299
20-day:, 135,160,187,209,236,257,277,297,322,340
30-day:, 167,196,226,249,278,300,320,340,364,381
45-day:, 210,246,280,305,336,358,378,396,418,433
60-day:, 251,294,331,358,390,412,432,450,470,484

Date/time (GMT):  Thu Feb 29 23:09:54 2024
pyRunTime:  0.045967817306518555
