Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.29729443 Degree
Longitude: -77.48542934 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,20,22,23
10-min:, 15,17,21,23,26,28,30,32,35,37
15-min:, 18,22,26,29,33,36,38,41,44,46
30-min:, 25,30,37,42,49,54,59,64,70,75
60-min:, 31,38,47,55,65,73,81,89,100,109
2-hr:, 36,44,56,65,78,89,100,111,127,140
3-hr:, 39,48,60,70,85,96,108,121,139,154
6-hr:, 48,58,73,86,104,119,136,153,179,200
12-hr:, 58,70,88,105,128,149,172,197,234,266
24-hr:, 66,80,103,123,154,181,212,246,299,346
2-day:, 77,93,120,143,177,206,239,276,332,379
3-day:, 82,99,127,151,186,217,252,290,348,397
4-day:, 86,104,134,159,196,228,264,304,364,415
7-day:, 100,121,152,180,220,255,293,335,397,450
10-day:, 114,137,171,200,241,275,312,352,410,458
20-day:, 154,183,221,252,296,330,366,404,456,497
30-day:, 189,224,266,300,346,383,420,459,511,551
45-day:, 238,280,328,364,412,449,484,519,565,598
60-day:, 281,331,383,422,472,509,544,578,621,652

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,24,26
10-min:, 16,19,23,25,29,31,33,36,39,41
15-min:, 20,24,29,32,36,39,42,45,49,51
30-min:, 28,33,41,47,54,59,65,70,78,83
60-min:, 34,42,52,61,72,80,89,98,111,122
2-hr:, 41,49,62,73,87,99,111,124,142,157
3-hr:, 44,54,68,79,95,108,122,136,157,174
6-hr:, 55,66,83,97,117,135,153,173,202,227
12-hr:, 66,80,100,119,145,168,194,221,264,301
24-hr:, 73,89,114,136,169,198,231,268,326,375
2-day:, 85,103,132,156,193,225,261,301,361,413
3-day:, 90,109,139,165,204,237,274,316,378,432
4-day:, 95,115,147,174,214,250,288,331,396,452
7-day:, 109,132,166,196,239,276,318,363,431,489
10-day:, 124,149,186,216,261,297,337,381,443,496
20-day:, 165,197,237,270,316,353,392,432,488,533
30-day:, 201,238,283,319,368,407,447,488,544,589
45-day:, 252,297,347,386,437,476,514,551,600,636
60-day:, 297,349,403,444,497,536,573,609,655,689

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,28,30,32
15-min:, 16,20,23,26,29,32,34,36,38,40
30-min:, 23,27,33,38,44,48,52,56,61,65
60-min:, 28,34,43,49,58,65,72,78,87,95
2-hr:, 33,40,50,58,69,78,87,97,110,120
3-hr:, 35,43,53,62,74,84,94,105,119,130
6-hr:, 43,52,65,76,91,104,117,131,151,166
12-hr:, 52,62,78,92,112,129,147,166,194,218
24-hr:, 61,73,94,112,139,162,188,217,259,296
2-day:, 71,86,110,130,160,186,214,244,289,326
3-day:, 75,91,116,138,169,196,225,257,304,342
4-day:, 80,96,123,145,178,206,236,270,319,359
7-day:, 93,112,141,165,201,231,264,299,350,393
10-day:, 106,128,159,185,221,252,284,318,366,405
20-day:, 144,171,207,235,274,305,337,370,414,448
30-day:, 177,210,249,281,323,357,390,424,469,503
45-day:, 224,264,309,343,387,421,453,485,524,553
60-day:, 267,314,362,399,446,480,513,544,581,608

Date/time (GMT):  Thu Feb 29 23:09:56 2024
pyRunTime:  0.011313915252685547
