Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.6659931 Degree
Longitude: -80.9170375 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,16,18,20,22,24
10-min:, 13,15,18,20,23,26,28,31,35,38
15-min:, 16,19,23,25,30,33,36,39,44,47
30-min:, 21,26,32,37,44,49,55,61,69,76
60-min:, 27,32,41,48,58,67,76,85,100,112
2-hr:, 31,38,48,57,70,80,92,104,123,139
3-hr:, 34,41,52,61,74,86,98,111,131,148
6-hr:, 42,50,63,74,89,102,116,130,151,169
12-hr:, 52,62,77,89,105,118,131,145,165,180
24-hr:, 63,76,95,110,132,149,167,186,212,233
2-day:, 74,90,112,130,155,176,197,219,251,276
3-day:, 79,96,119,138,163,184,205,228,259,284
4-day:, 84,102,126,145,171,192,214,236,267,292
7-day:, 98,117,143,163,190,211,233,255,285,309
10-day:, 113,135,162,183,211,232,254,276,305,328
20-day:, 154,182,214,240,274,300,326,353,388,415
30-day:, 191,225,259,285,319,343,368,391,422,445
45-day:, 242,283,321,350,386,413,438,463,495,518
60-day:, 290,338,380,412,452,482,510,537,571,596

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,22,25,28
10-min:, 14,16,20,22,26,29,32,35,40,44
15-min:, 17,21,25,28,33,36,40,44,50,56
30-min:, 24,28,35,41,48,55,62,69,80,90
60-min:, 30,36,45,53,64,74,85,97,115,131
2-hr:, 34,42,53,62,77,89,102,118,142,164
3-hr:, 37,45,57,67,82,95,110,127,153,176
6-hr:, 46,55,70,81,99,114,130,149,176,200
12-hr:, 57,68,84,97,115,130,146,163,188,208
24-hr:, 69,83,104,121,144,163,184,205,236,261
2-day:, 82,99,124,143,171,194,218,244,281,312
3-day:, 86,104,130,150,178,201,225,250,286,315
4-day:, 91,110,136,156,185,208,231,256,290,319
7-day:, 105,126,153,174,204,227,250,274,308,336
10-day:, 121,144,173,195,225,248,272,296,328,354
20-day:, 163,193,228,255,291,320,348,377,416,447
30-day:, 202,238,274,302,337,364,390,415,449,475
45-day:, 255,298,338,368,406,435,462,488,523,548
60-day:, 304,355,399,432,474,506,536,565,602,629

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,18,19
10-min:, 11,14,16,18,21,23,25,26,29,30
15-min:, 14,17,20,23,26,29,31,33,36,38
30-min:, 20,23,29,33,39,43,48,52,57,62
60-min:, 24,29,37,43,52,59,66,73,82,90
2-hr:, 28,34,44,51,62,70,79,88,101,111
3-hr:, 31,37,47,55,66,75,85,95,108,118
6-hr:, 38,46,57,67,80,90,101,111,125,137
12-hr:, 47,57,70,80,95,105,116,126,140,151
24-hr:, 57,69,87,101,119,134,149,165,186,202
2-day:, 68,82,102,118,140,157,175,193,218,236
3-day:, 73,88,110,126,149,167,185,203,229,248
4-day:, 78,94,117,134,158,176,195,214,240,260
7-day:, 91,109,133,152,176,195,214,233,259,279
10-day:, 106,126,152,171,196,216,235,254,279,299
20-day:, 144,171,201,225,256,280,304,327,357,380
30-day:, 180,213,245,269,300,322,344,365,392,412
45-day:, 230,269,305,332,365,390,414,436,464,485
60-day:, 276,322,362,392,430,458,483,508,539,561

Date/time (GMT):  Thu Feb 29 23:10:00 2024
pyRunTime:  0.014793157577514648
