Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.52786077 Degree
Longitude: -79.27355126 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,16,17,19,22,24
10-min:, 12,14,17,19,22,24,26,29,32,34
15-min:, 15,17,20,23,27,30,33,36,40,43
30-min:, 19,23,28,32,38,43,47,52,59,64
60-min:, 24,28,35,41,49,56,63,71,81,90
2-hr:, 28,33,41,49,60,69,79,89,105,119
3-hr:, 30,36,44,53,64,74,84,96,113,129
6-hr:, 38,44,54,64,77,89,102,116,136,155
12-hr:, 47,55,67,79,95,110,126,144,171,195
24-hr:, 56,67,83,98,120,139,161,186,224,258
2-day:, 66,79,98,114,137,158,181,206,245,278
3-day:, 72,86,105,121,145,166,188,212,248,280
4-day:, 78,93,113,129,153,173,195,218,252,282
7-day:, 92,109,130,148,173,193,213,235,265,292
10-day:, 104,123,145,163,186,205,224,243,269,292
20-day:, 147,173,199,220,246,267,287,306,331,350
30-day:, 186,217,248,271,301,324,345,366,392,412
45-day:, 240,279,314,341,376,401,425,448,476,496
60-day:, 289,336,376,406,444,471,497,520,549,569

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,19,21,24,26
10-min:, 13,16,19,21,24,27,29,32,35,38
15-min:, 16,19,23,26,30,33,36,39,44,47
30-min:, 22,26,31,36,42,47,52,57,65,71
60-min:, 27,31,39,46,55,62,70,78,89,100
2-hr:, 31,37,46,55,66,76,87,98,115,130
3-hr:, 34,40,50,59,71,82,93,106,124,141
6-hr:, 43,50,61,72,87,100,114,129,151,172
12-hr:, 53,63,76,89,107,124,142,162,191,218
24-hr:, 62,74,92,108,132,153,177,204,247,285
2-day:, 72,86,107,124,150,172,198,226,269,308
3-day:, 78,93,114,131,157,179,204,231,272,309
4-day:, 84,100,121,139,165,187,210,236,275,310
7-day:, 98,116,140,159,185,207,229,254,288,320
10-day:, 110,130,154,172,198,218,238,259,289,323
20-day:, 155,182,210,231,260,282,303,325,353,375
30-day:, 195,228,259,284,316,340,363,386,416,438
45-day:, 250,291,328,357,393,420,446,470,502,525
60-day:, 302,351,392,424,464,493,520,546,578,601

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,14,15,17,19,20
10-min:, 11,13,15,17,19,21,23,25,27,30
15-min:, 13,15,18,21,24,26,29,31,34,37
30-min:, 17,21,25,29,34,38,42,46,51,55
60-min:, 21,25,31,37,44,50,56,62,70,78
2-hr:, 25,30,37,44,53,61,69,78,90,101
3-hr:, 27,32,40,47,57,65,74,84,97,109
6-hr:, 34,40,48,57,68,78,89,100,116,130
12-hr:, 42,49,60,70,84,97,110,124,145,163
24-hr:, 51,61,76,89,108,124,142,162,191,216
2-day:, 61,73,90,104,125,142,161,181,210,235
3-day:, 67,80,97,112,133,150,169,188,216,240
4-day:, 73,86,105,120,142,159,177,195,222,245
7-day:, 86,102,122,138,161,178,196,214,238,259
10-day:, 98,116,137,153,175,192,208,224,246,265
20-day:, 141,165,190,209,234,252,270,287,308,324
30-day:, 178,208,237,259,287,308,327,345,368,384
45-day:, 230,268,301,327,359,383,404,424,449,466
60-day:, 278,322,360,389,425,450,473,494,519,536

Date/time (GMT):  Thu Feb 29 23:10:03 2024
pyRunTime:  0.07944679260253906
