Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.9251185 Degree
Longitude: -80.85951389 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,19,21,22
10-min:, 13,16,19,21,23,25,27,29,31,33
15-min:, 16,19,23,26,29,31,34,36,39,41
30-min:, 21,26,31,36,41,45,49,53,57,61
60-min:, 26,31,39,45,53,59,65,71,79,86
2-hr:, 30,37,46,53,62,70,77,85,96,104
3-hr:, 32,39,48,56,66,74,83,92,104,113
6-hr:, 39,46,57,66,79,89,99,110,125,137
12-hr:, 46,55,67,77,91,102,115,127,145,160
24-hr:, 55,65,79,90,106,119,132,145,164,179
2-day:, 65,77,92,104,121,135,148,162,181,196
3-day:, 70,83,99,111,129,142,156,170,188,203
4-day:, 75,89,105,119,136,150,163,177,195,209
7-day:, 91,108,126,141,159,174,187,201,218,231
10-day:, 105,124,144,159,178,193,207,220,237,249
20-day:, 150,175,200,219,243,260,276,291,310,323
30-day:, 189,221,249,271,297,316,333,349,369,382
45-day:, 242,282,316,340,370,391,410,427,447,461
60-day:, 293,340,377,405,437,460,481,499,520,533

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,24
10-min:, 14,17,20,23,26,28,30,32,34,35
15-min:, 18,21,25,28,32,34,37,39,42,44
30-min:, 23,28,34,39,45,49,53,57,62,66
60-min:, 28,34,43,50,58,65,71,78,86,93
2-hr:, 33,40,50,58,68,76,85,93,104,113
3-hr:, 36,43,54,62,73,82,91,100,113,123
6-hr:, 42,51,63,73,86,96,107,119,135,147
12-hr:, 50,60,73,84,99,111,124,138,156,172
24-hr:, 59,70,85,97,113,127,141,155,174,190
2-day:, 69,82,98,111,129,143,157,172,192,207
3-day:, 74,88,105,118,136,150,165,179,199,214
4-day:, 80,94,112,125,144,158,172,187,206,220
7-day:, 96,114,133,148,168,182,197,211,229,243
10-day:, 111,130,151,167,187,202,217,231,248,261
20-day:, 157,184,210,230,255,273,290,306,325,339
30-day:, 198,231,261,284,311,331,349,366,386,400
45-day:, 254,295,330,356,387,409,429,447,468,482
60-day:, 306,355,394,422,456,480,501,520,542,556

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,14,17,19,21,23,24,26,28,29
15-min:, 14,17,21,23,26,28,30,32,35,36
30-min:, 19,23,28,32,37,41,44,47,51,54
60-min:, 23,28,36,41,48,53,59,64,71,76
2-hr:, 27,33,42,48,56,63,70,76,85,92
3-hr:, 29,35,44,51,60,67,74,82,91,99
6-hr:, 35,43,53,60,71,80,89,98,110,120
12-hr:, 42,50,61,70,83,93,103,114,128,140
24-hr:, 51,61,74,84,99,110,122,134,151,164
2-day:, 61,72,87,98,114,126,138,151,168,181
3-day:, 66,78,93,105,121,133,146,158,175,188
4-day:, 71,84,100,112,128,141,153,166,182,195
7-day:, 87,102,120,134,151,164,177,189,205,216
10-day:, 100,118,137,151,169,183,196,208,224,235
20-day:, 142,167,190,208,231,247,262,276,293,305
30-day:, 180,210,238,258,283,301,317,332,350,362
45-day:, 232,270,301,325,353,373,391,407,426,438
60-day:, 280,326,361,387,419,441,460,477,497,510

Date/time (GMT):  Thu Feb 29 23:10:07 2024
pyRunTime:  0.17259764671325684
