Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.71581067 Degree
Longitude: -75.13995546 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,19,21,22
10-min:, 14,17,20,22,25,27,29,30,33,34
15-min:, 18,21,25,28,31,34,36,38,41,43
30-min:, 24,29,36,41,47,51,56,60,65,69
60-min:, 30,37,46,53,62,69,77,84,93,101
2-hr:, 36,44,56,65,77,86,96,106,119,130
3-hr:, 40,48,61,71,84,96,107,119,135,148
6-hr:, 49,60,75,87,105,120,136,153,177,197
12-hr:, 60,72,91,107,131,152,175,200,236,269
24-hr:, 69,83,108,128,160,187,217,252,303,348
2-day:, 78,95,123,146,181,211,245,282,339,387
3-day:, 83,100,129,153,189,220,254,292,348,396
4-day:, 87,106,135,160,197,228,263,301,358,406
7-day:, 102,122,154,181,220,253,290,330,388,437
10-day:, 115,137,170,198,237,269,303,340,395,442
20-day:, 155,184,222,253,295,329,364,400,450,489
30-day:, 192,227,270,303,348,384,420,456,505,542
45-day:, 245,288,336,373,421,457,492,526,570,602
60-day:, 293,345,397,437,487,523,558,591,632,661

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,21,23,24
10-min:, 16,19,22,24,27,30,32,34,36,38
15-min:, 19,23,28,31,35,37,40,43,46,48
30-min:, 27,32,39,45,51,56,61,66,73,78
60-min:, 33,40,50,58,68,76,85,93,104,114
2-hr:, 40,49,62,72,85,96,107,119,135,148
3-hr:, 44,53,67,79,94,106,119,133,152,168
6-hr:, 55,66,83,97,117,134,152,171,200,224
12-hr:, 67,80,101,119,146,170,196,225,268,306
24-hr:, 76,92,119,142,176,205,238,275,331,380
2-day:, 87,105,136,162,200,233,269,310,371,425
3-day:, 91,111,142,168,207,240,277,318,379,432
4-day:, 96,116,148,175,214,248,285,326,387,440
7-day:, 111,134,169,198,240,277,316,359,422,476
10-day:, 125,150,185,215,257,292,329,368,428,480
20-day:, 166,198,238,271,316,352,390,429,483,526
30-day:, 205,243,288,323,372,409,448,486,539,580
45-day:, 260,306,357,396,447,485,523,559,607,642
60-day:, 310,365,421,463,515,554,591,626,670,703

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,26,27,29,30
15-min:, 16,19,23,25,28,31,32,34,36,37
30-min:, 22,27,33,37,42,46,50,53,57,60
60-min:, 28,34,42,48,56,62,69,74,82,88
2-hr:, 33,40,50,58,68,77,85,93,103,111
3-hr:, 36,44,55,64,75,85,94,104,116,126
6-hr:, 45,54,67,79,94,106,119,132,150,165
12-hr:, 54,65,82,96,117,134,152,171,197,220
24-hr:, 62,76,98,116,143,166,192,221,262,297
2-day:, 71,86,111,132,163,189,217,248,294,332
3-day:, 75,91,117,139,170,197,226,258,304,343
4-day:, 80,97,124,146,178,206,235,268,314,353
7-day:, 93,113,142,166,201,230,261,295,344,383
10-day:, 106,127,157,182,217,245,275,307,354,392
20-day:, 144,172,207,235,274,304,335,367,410,443
30-day:, 180,213,253,284,326,358,390,423,465,497
45-day:, 230,271,316,350,394,428,460,490,529,558
60-day:, 277,325,375,412,458,492,524,554,590,616

Date/time (GMT):  Thu Feb 29 23:10:09 2024
pyRunTime:  0.009368419647216797
