Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.71714091 Degree
Longitude: -77.90376398 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,19,20,21,22
10-min:, 15,17,20,23,25,28,29,31,33,35
15-min:, 18,22,25,29,32,35,37,39,42,44
30-min:, 25,30,36,42,48,53,57,61,67,71
60-min:, 31,38,46,54,63,71,79,86,95,103
2-hr:, 37,44,55,65,77,87,98,108,123,134
3-hr:, 40,48,59,70,83,95,106,118,133,146
6-hr:, 49,58,72,85,102,117,133,149,171,191
12-hr:, 59,70,87,104,127,147,169,192,225,254
24-hr:, 69,83,107,126,155,180,208,238,283,322
2-day:, 81,98,124,146,178,204,233,264,310,348
3-day:, 85,103,131,154,188,216,246,279,326,366
4-day:, 90,109,138,162,197,227,258,293,342,384
7-day:, 103,124,155,181,218,249,282,317,368,409
10-day:, 117,140,173,200,238,270,302,337,386,426
20-day:, 157,188,227,258,300,333,366,400,447,483
30-day:, 194,230,272,304,346,378,410,440,480,510
45-day:, 245,289,338,375,421,456,490,522,563,592
60-day:, 290,341,393,433,483,520,555,588,630,660

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,23,25
10-min:, 16,19,22,25,28,30,33,35,37,39
15-min:, 20,24,28,32,36,39,41,44,46,49
30-min:, 28,33,40,46,53,58,63,68,74,79
60-min:, 35,42,51,60,70,79,87,95,106,115
2-hr:, 41,50,61,72,86,98,109,121,136,150
3-hr:, 45,54,67,79,94,106,119,132,149,164
6-hr:, 56,66,82,97,116,133,151,169,194,217
12-hr:, 68,81,100,119,144,167,191,216,253,287
24-hr:, 76,93,118,140,172,199,229,262,312,354
2-day:, 90,109,138,162,197,226,258,293,344,386
3-day:, 94,114,145,170,207,237,270,307,360,404
4-day:, 99,119,152,178,216,249,283,321,375,421
7-day:, 113,136,170,197,237,270,306,345,401,448
10-day:, 127,153,188,217,258,292,328,365,419,463
20-day:, 169,201,243,276,321,356,392,429,480,519
30-day:, 207,245,290,324,369,403,436,469,512,545
45-day:, 261,308,360,398,448,485,521,556,601,635
60-day:, 308,361,417,459,512,551,589,625,671,704

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,16,18,20,23,25,26,28,29,30
15-min:, 16,20,23,26,29,31,33,35,37,38
30-min:, 22,27,32,37,43,47,51,54,58,61
60-min:, 28,34,42,49,57,63,70,76,83,90
2-hr:, 33,39,49,58,68,77,86,94,105,115
3-hr:, 35,43,53,62,73,83,92,102,114,124
6-hr:, 43,51,63,75,89,102,114,127,144,158
12-hr:, 52,62,77,92,110,127,144,162,186,208
24-hr:, 62,76,96,114,139,160,183,209,244,274
2-day:, 73,89,112,132,160,183,207,233,269,299
3-day:, 78,94,119,140,169,193,219,246,285,316
4-day:, 82,99,126,148,179,204,231,260,300,333
7-day:, 95,115,143,166,199,226,254,284,326,359
10-day:, 108,130,160,185,219,246,275,304,345,378
20-day:, 147,176,212,240,278,308,338,367,407,437
30-day:, 182,216,255,285,324,353,381,408,443,468
45-day:, 229,271,316,350,394,426,456,484,520,545
60-day:, 273,321,370,407,454,487,519,549,585,611

Date/time (GMT):  Thu Feb 29 23:10:13 2024
pyRunTime:  0.16695880889892578
