Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.10314817 Degree
Longitude: -79.19440518 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,14,15,17,19,21,23
10-min:, 11,13,16,18,21,23,26,28,31,34
15-min:, 14,17,20,23,26,29,32,35,39,43
30-min:, 19,22,27,32,37,42,47,52,59,64
60-min:, 23,27,34,40,49,56,63,71,82,91
2-hr:, 27,32,40,48,58,68,78,89,105,119
3-hr:, 29,34,43,51,62,72,82,94,111,127
6-hr:, 35,42,52,61,74,86,99,113,133,151
12-hr:, 43,51,62,74,90,104,120,138,164,188
24-hr:, 52,62,77,91,111,130,150,173,208,239
2-day:, 60,72,89,104,126,146,167,191,226,256
3-day:, 65,78,96,111,133,151,171,193,226,257
4-day:, 70,84,102,117,139,156,175,195,226,258
7-day:, 83,98,117,133,155,173,191,210,235,261
10-day:, 99,117,138,154,177,194,211,229,253,276
20-day:, 135,158,182,201,227,247,267,287,312,330
30-day:, 168,196,222,243,270,291,310,329,353,369
45-day:, 212,246,276,299,329,350,371,390,413,428
60-day:, 254,294,328,354,387,411,433,454,477,494

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,21,24,26
10-min:, 13,15,18,21,24,26,29,31,35,38
15-min:, 16,19,22,26,29,33,36,39,44,47
30-min:, 21,25,31,36,42,47,52,58,65,72
60-min:, 26,31,39,45,54,62,70,79,91,101
2-hr:, 30,36,45,54,65,76,87,99,116,132
3-hr:, 32,38,48,57,69,80,92,105,124,141
6-hr:, 40,47,59,69,84,96,110,126,148,169
12-hr:, 49,58,71,83,101,117,134,154,182,208
24-hr:, 58,69,86,101,125,145,169,196,238,275
2-day:, 68,81,100,117,142,165,190,219,263,301
3-day:, 72,86,106,122,147,169,193,220,264,303
4-day:, 77,92,112,128,152,173,195,221,266,304
7-day:, 90,107,128,146,170,191,212,234,266,307
10-day:, 107,126,149,167,192,212,232,253,283,312
20-day:, 145,169,195,216,245,267,290,313,344,368
30-day:, 179,209,237,259,289,312,334,356,385,405
45-day:, 224,259,291,316,348,373,396,419,446,466
60-day:, 268,311,346,375,410,437,463,487,516,536

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,12,14,15,16,18,20
10-min:, 10,12,14,16,19,21,22,24,27,29
15-min:, 12,15,18,20,23,26,28,30,34,36
30-min:, 17,20,24,28,33,37,41,45,50,55
60-min:, 20,24,31,36,43,49,55,61,70,77
2-hr:, 24,28,36,42,52,59,68,77,90,100
3-hr:, 26,30,38,45,55,63,72,81,95,107
6-hr:, 32,37,46,54,66,75,86,97,114,128
12-hr:, 39,45,56,66,79,92,105,119,140,158
24-hr:, 47,56,70,81,99,114,130,147,172,193
2-day:, 55,65,81,93,112,128,144,162,187,207
3-day:, 60,71,87,100,119,134,150,166,190,209
4-day:, 65,77,94,107,125,140,155,170,193,211
7-day:, 76,91,108,122,141,156,171,185,203,220
10-day:, 92,109,128,143,162,177,191,205,223,240
20-day:, 127,148,170,188,211,228,244,259,278,291
30-day:, 158,185,209,228,253,271,287,303,321,334
45-day:, 201,233,261,283,309,329,346,362,380,392
60-day:, 242,280,311,336,366,387,406,423,443,455

Date/time (GMT):  Thu Feb 29 23:10:15 2024
pyRunTime:  0.22341489791870117
