Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.9463652 Degree
Longitude: -80.45335881 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,15,16,17,17
10-min:, 12,14,16,18,21,22,24,25,26,27
15-min:, 14,17,21,23,26,28,30,31,33,34
30-min:, 20,24,30,34,39,42,46,49,53,56
60-min:, 25,30,38,44,51,57,63,68,76,81
2-hr:, 29,35,44,50,59,66,73,79,88,94
3-hr:, 31,37,46,53,63,70,78,85,95,102
6-hr:, 38,45,56,64,76,85,94,104,118,128
12-hr:, 45,54,66,77,91,103,116,130,149,165
24-hr:, 57,68,82,93,109,122,135,148,166,180
2-day:, 67,80,96,108,125,138,152,165,183,197
3-day:, 72,86,102,115,132,145,158,171,188,201
4-day:, 77,92,108,121,138,151,164,177,193,205
7-day:, 91,108,126,140,158,172,185,198,214,225
10-day:, 105,124,144,160,180,195,210,223,241,254
20-day:, 144,169,195,215,240,259,276,294,315,330
30-day:, 180,211,239,261,288,308,327,344,365,380
45-day:, 228,266,300,326,358,382,403,423,448,465
60-day:, 276,320,357,385,418,441,462,481,503,518

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,14,16,17,18,19,20
10-min:, 13,15,18,20,23,25,26,28,30,31
15-min:, 16,19,23,26,29,31,33,35,38,39
30-min:, 22,27,33,37,43,47,51,55,60,63
60-min:, 28,34,42,49,57,64,70,77,86,92
2-hr:, 32,38,48,56,65,73,80,88,98,106
3-hr:, 34,41,51,59,69,78,86,95,106,115
6-hr:, 42,50,62,71,84,95,105,117,133,146
12-hr:, 51,60,74,86,102,116,130,146,170,189
24-hr:, 62,73,88,101,117,131,145,159,179,195
2-day:, 72,86,103,116,134,149,164,178,199,214
3-day:, 77,92,109,123,141,155,169,184,203,217
4-day:, 82,97,115,129,147,161,175,189,207,220
7-day:, 97,114,134,149,168,183,197,210,228,241
10-day:, 110,130,152,169,190,206,222,237,256,270
20-day:, 152,178,206,227,253,273,293,311,335,353
30-day:, 189,221,251,273,302,323,343,362,385,402
45-day:, 239,279,314,341,375,400,424,446,473,492
60-day:, 287,334,373,401,436,461,483,503,528,545

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,9,10,11,12,13,14,14,15
10-min:, 10,12,15,16,18,20,21,22,23,23
15-min:, 13,16,19,21,23,25,26,27,28,29
30-min:, 18,21,27,30,34,37,40,42,45,47
60-min:, 22,27,34,39,46,50,55,59,65,68
2-hr:, 26,32,40,46,53,59,64,69,76,80
3-hr:, 28,34,42,49,57,63,69,75,82,87
6-hr:, 34,41,51,58,68,76,83,91,100,108
12-hr:, 42,49,61,69,82,91,101,111,125,135
24-hr:, 53,63,76,87,101,112,123,134,149,161
2-day:, 63,75,89,101,116,128,140,151,167,178
3-day:, 68,81,96,107,123,135,146,158,172,183
4-day:, 73,86,102,114,130,142,153,164,178,188
7-day:, 86,102,119,132,149,161,173,184,198,208
10-day:, 100,117,137,152,170,184,197,210,225,236
20-day:, 137,161,185,204,227,244,260,276,294,307
30-day:, 172,201,228,249,275,293,310,326,344,357
45-day:, 218,255,287,312,342,363,383,401,422,437
60-day:, 264,307,342,368,400,421,441,458,477,490

Date/time (GMT):  Thu Feb 29 23:10:20 2024
pyRunTime:  0.026369571685791016
