Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 42.275797 Degree
Longitude: -74.12384884 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,17,20,23,26,29,34,38
10-min:, 13,15,20,23,29,32,36,41,48,54
15-min:, 15,18,23,28,34,38,43,48,56,63
30-min:, 20,24,31,37,45,51,57,64,75,84
60-min:, 25,30,39,46,56,63,71,81,94,105
2-hr:, 34,41,54,64,79,89,101,114,135,152
3-hr:, 40,50,65,78,95,108,122,139,165,187
6-hr:, 54,66,87,105,128,146,165,189,226,257
12-hr:, 69,86,114,136,168,191,216,248,296,338
24-hr:, 86,108,142,171,210,240,271,308,364,411
2-day:, 104,129,169,203,250,285,322,362,419,465
3-day:, 114,140,183,219,268,304,343,386,448,498
4-day:, 123,149,193,229,279,317,356,401,467,522
7-day:, 144,172,217,255,306,345,386,434,505,564
10-day:, 165,194,240,279,332,371,414,462,534,593
20-day:, 227,258,309,351,409,453,499,547,615,669
30-day:, 278,311,366,411,473,521,569,618,683,732
45-day:, 341,377,436,484,552,604,655,704,767,812
60-day:, 393,431,493,545,616,672,726,776,838,881

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,18,22,27,32,37,43,52,59
10-min:, 16,20,26,31,39,45,53,61,73,84
15-min:, 19,23,30,36,46,53,62,71,86,99
30-min:, 26,31,40,48,61,71,83,95,115,131
60-min:, 32,39,50,60,76,88,103,119,144,164
2-hr:, 43,53,69,83,106,124,145,167,204,235
3-hr:, 51,63,83,99,128,149,176,202,248,287
6-hr:, 67,84,110,133,172,200,237,273,337,392
12-hr:, 87,108,142,172,223,260,307,354,439,510
24-hr:, 107,133,176,213,275,321,379,437,534,615
2-day:, 127,157,208,251,323,376,440,508,609,689
3-day:, 139,171,224,269,344,400,468,539,647,735
4-day:, 149,181,235,281,358,415,485,558,673,767
7-day:, 174,207,262,309,390,449,523,598,721,823
10-day:, 197,232,288,337,419,480,556,634,759,861
20-day:, 269,306,367,420,510,576,657,743,866,962
30-day:, 327,367,433,489,584,656,740,833,954,1046
45-day:, 399,441,512,573,675,754,843,944,1066,1155
60-day:, 458,503,577,642,751,835,928,1035,1160,1248

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,11,12,15,16,18,19,22,24
10-min:, 10,12,15,18,21,23,26,27,31,34
15-min:, 11,14,18,21,25,27,30,32,36,40
30-min:, 15,18,23,28,33,37,40,43,49,53
60-min:, 19,23,29,35,41,46,50,54,61,67
2-hr:, 26,32,41,49,58,65,72,77,87,96
3-hr:, 31,38,50,59,71,79,87,93,107,119
6-hr:, 42,52,68,81,96,108,119,128,147,164
12-hr:, 55,68,89,106,127,142,157,168,194,216
24-hr:, 69,85,112,134,160,179,197,211,239,264
2-day:, 83,103,135,161,191,214,233,249,276,299
3-day:, 92,113,147,174,206,229,250,266,296,321
4-day:, 99,121,156,184,216,240,261,277,309,337
7-day:, 118,140,177,206,239,263,285,301,335,365
10-day:, 136,159,196,226,260,284,306,322,355,384
20-day:, 188,214,255,288,323,348,369,383,412,435
30-day:, 232,259,304,339,374,401,421,434,458,477
45-day:, 286,316,364,402,439,467,485,497,517,530
60-day:, 331,363,414,454,492,521,538,550,566,576

Date/time (GMT):  Thu Feb 29 23:10:22 2024
pyRunTime:  0.009951591491699219
