Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.85707472 Degree
Longitude: -80.22369451 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,23
10-min:, 12,15,18,20,23,25,27,29,31,33
15-min:, 15,18,22,25,28,31,33,36,39,41
30-min:, 20,24,30,34,40,44,48,52,58,62
60-min:, 25,30,38,44,52,58,65,71,80,87
2-hr:, 29,35,44,51,60,68,76,84,95,103
3-hr:, 31,37,46,54,64,72,81,90,102,112
6-hr:, 37,44,55,63,76,86,96,107,122,135
12-hr:, 43,52,63,73,87,99,111,124,142,156
24-hr:, 52,61,75,86,101,113,126,140,158,173
2-day:, 61,72,87,99,115,128,142,156,175,190
3-day:, 65,77,92,105,121,135,148,162,181,196
4-day:, 70,82,98,111,128,141,155,169,187,201
7-day:, 83,98,116,129,147,161,175,188,206,219
10-day:, 96,113,132,146,165,180,194,208,226,238
20-day:, 136,159,182,201,224,241,258,274,294,308
30-day:, 171,199,226,247,273,293,311,329,350,365
45-day:, 219,254,286,309,339,360,380,398,420,435
60-day:, 263,305,340,367,399,422,442,461,484,499

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,21,23,25
10-min:, 14,17,20,22,25,28,30,32,34,36
15-min:, 17,20,25,28,31,34,37,40,43,45
30-min:, 23,27,34,38,44,49,53,58,64,68
60-min:, 28,33,42,49,58,64,71,78,88,95
2-hr:, 32,39,49,56,67,75,83,92,104,113
3-hr:, 34,41,51,60,71,80,89,98,111,122
6-hr:, 40,49,60,70,83,93,104,116,132,145
12-hr:, 47,56,69,80,94,107,119,133,152,167
24-hr:, 55,66,80,92,108,121,135,149,168,183
2-day:, 65,77,93,106,123,137,151,166,186,201
3-day:, 70,83,99,112,129,143,158,172,192,207
4-day:, 74,88,104,118,136,150,164,179,198,213
7-day:, 88,104,122,136,155,170,184,198,217,231
10-day:, 102,120,139,154,174,190,204,219,237,251
20-day:, 143,167,192,211,235,254,271,288,309,324
30-day:, 179,209,238,260,287,307,327,345,368,384
45-day:, 229,266,299,324,355,377,397,416,439,455
60-day:, 274,319,355,382,416,439,461,481,504,520

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,20
10-min:, 11,14,16,18,21,22,24,26,28,29
15-min:, 14,17,20,22,26,28,30,32,34,36
30-min:, 18,22,27,31,36,40,43,46,51,54
60-min:, 22,27,34,40,47,52,58,63,70,76
2-hr:, 26,31,39,46,54,61,67,74,83,90
3-hr:, 28,33,42,48,58,65,72,79,89,97
6-hr:, 33,40,50,58,68,77,86,95,108,118
12-hr:, 40,47,58,67,79,89,100,110,125,137
24-hr:, 48,57,70,80,94,105,117,129,145,158
2-day:, 57,67,81,92,107,119,132,144,161,174
3-day:, 61,72,87,98,114,126,138,151,167,180
4-day:, 65,77,92,104,120,132,144,157,173,186
7-day:, 79,93,109,122,139,152,164,177,193,204
10-day:, 91,107,125,138,156,170,183,195,211,223
20-day:, 129,151,173,190,212,228,244,259,277,290
30-day:, 163,190,215,235,260,278,295,311,331,345
45-day:, 209,243,273,295,323,343,362,379,399,413
60-day:, 252,292,326,351,381,403,423,440,461,475

Date/time (GMT):  Thu Feb 29 23:10:24 2024
pyRunTime:  0.011643409729003906
