Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.29545246 Degree
Longitude: -78.46530128 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 14,16,19,22,25,27,29,31,34,36
15-min:, 17,20,24,28,31,34,37,39,42,45
30-min:, 23,28,35,40,46,51,56,60,67,72
60-min:, 29,35,44,52,61,69,77,85,95,104
2-hr:, 35,42,53,62,74,85,95,107,123,136
3-hr:, 38,46,58,68,81,92,104,117,135,150
6-hr:, 48,58,73,85,103,118,134,152,178,200
12-hr:, 61,73,91,108,131,152,175,200,238,272
24-hr:, 76,92,117,138,169,195,224,257,304,345
2-day:, 89,108,137,160,195,223,254,288,338,379
3-day:, 95,115,146,171,207,238,270,306,358,402
4-day:, 101,122,154,181,220,252,287,324,379,426
7-day:, 117,141,176,205,246,280,316,355,411,458
10-day:, 133,160,197,227,268,302,338,375,428,472
20-day:, 175,209,252,285,330,366,402,439,489,529
30-day:, 215,254,300,335,381,416,450,483,527,561
45-day:, 268,316,369,408,458,495,530,565,609,642
60-day:, 315,370,425,466,519,557,593,627,671,703

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,25
10-min:, 15,18,21,24,27,30,32,34,37,39
15-min:, 19,23,27,30,34,37,40,43,47,50
30-min:, 26,31,38,44,51,56,61,67,74,80
60-min:, 32,39,49,57,67,76,84,93,105,116
2-hr:, 39,47,59,69,83,94,106,119,137,153
3-hr:, 43,52,65,76,91,104,117,131,152,170
6-hr:, 55,66,82,97,116,133,152,172,201,228
12-hr:, 69,83,104,122,149,172,198,227,271,311
24-hr:, 85,103,131,154,189,218,250,285,339,386
2-day:, 99,120,152,178,215,247,282,320,376,423
3-day:, 105,127,161,188,228,261,298,338,396,447
4-day:, 111,134,170,198,240,276,314,355,417,470
7-day:, 129,155,194,225,270,307,347,390,453,506
10-day:, 145,174,214,246,292,328,368,409,468,518
20-day:, 189,225,271,306,355,393,432,473,528,573
30-day:, 229,272,320,358,406,444,480,517,566,603
45-day:, 285,336,391,432,485,525,564,602,651,688
60-day:, 333,391,449,493,548,588,627,665,712,747

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,19,20
10-min:, 12,15,18,20,22,24,26,27,29,30
15-min:, 15,19,22,25,28,30,32,34,37,38
30-min:, 21,26,31,36,41,45,49,53,58,61
60-min:, 26,32,40,47,55,61,68,74,83,89
2-hr:, 31,38,47,56,66,75,84,93,105,116
3-hr:, 34,41,51,60,71,81,91,101,115,126
6-hr:, 43,52,64,76,90,103,116,130,149,165
12-hr:, 54,65,81,95,115,132,150,169,197,221
24-hr:, 69,83,105,124,150,172,196,222,259,290
2-day:, 81,98,124,145,174,199,224,252,291,323
3-day:, 87,105,133,155,187,213,240,270,312,346
4-day:, 92,112,141,165,199,227,257,288,333,369
7-day:, 108,129,161,187,223,253,284,316,361,398
10-day:, 123,147,181,208,245,275,305,337,381,416
20-day:, 163,195,234,265,306,337,370,401,444,477
30-day:, 202,239,281,314,355,387,417,446,484,513
45-day:, 252,298,347,383,429,463,495,525,564,592
60-day:, 298,350,402,440,489,523,556,587,625,652

Date/time (GMT):  Thu Feb 29 23:10:26 2024
pyRunTime:  0.24997639656066895
