Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.67878837 Degree
Longitude: -77.56351483 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,20,21,23,24
10-min:, 16,18,21,24,27,29,31,33,36,38
15-min:, 20,23,27,30,34,37,40,42,45,48
30-min:, 27,32,38,44,50,56,61,66,72,77
60-min:, 33,40,49,57,67,76,84,92,103,112
2-hr:, 39,47,58,69,82,94,106,119,136,151
3-hr:, 42,50,62,74,89,103,117,132,152,171
6-hr:, 50,60,75,89,108,125,143,162,190,215
12-hr:, 60,72,89,107,131,153,177,202,239,274
24-hr:, 68,83,107,127,155,180,205,234,274,308
2-day:, 79,96,123,145,176,203,231,262,306,342
3-day:, 85,102,130,153,186,212,241,272,316,352
4-day:, 90,109,138,161,195,222,251,282,326,362
7-day:, 105,126,158,183,219,248,278,310,355,391
10-day:, 120,144,177,204,240,269,300,331,374,409
20-day:, 164,195,236,269,313,349,385,423,474,514
30-day:, 203,240,286,321,368,405,442,479,528,566
45-day:, 254,300,352,392,445,486,526,567,620,661
60-day:, 305,359,417,462,519,563,605,647,702,743

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,21,22,24,26,27
10-min:, 18,21,24,27,30,33,35,38,40,43
15-min:, 22,26,30,34,38,42,45,47,51,53
30-min:, 30,36,43,49,57,63,68,74,81,87
60-min:, 38,45,55,64,75,85,94,103,116,126
2-hr:, 45,53,66,78,93,106,120,134,154,171
3-hr:, 48,57,71,84,101,117,132,149,172,194
6-hr:, 58,69,85,101,122,142,161,183,213,241
12-hr:, 68,81,101,121,147,172,197,226,267,305
24-hr:, 74,91,116,138,169,195,223,253,298,336
2-day:, 87,105,134,158,192,221,252,285,334,374
3-day:, 92,112,142,166,201,231,262,296,344,385
4-day:, 98,118,149,175,211,241,273,307,355,396
7-day:, 114,137,171,198,237,268,302,337,386,427
10-day:, 130,155,191,219,258,290,323,357,405,444
20-day:, 176,209,254,289,337,375,414,455,511,556
30-day:, 216,256,305,342,393,432,472,512,567,609
45-day:, 269,318,374,416,473,516,560,603,662,707
60-day:, 321,379,440,487,547,594,640,686,746,791

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,21
10-min:, 14,16,19,21,24,26,27,29,31,33
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 24,28,34,39,45,49,53,57,62,66
60-min:, 30,36,43,51,59,66,73,80,89,96
2-hr:, 35,42,51,61,72,82,92,102,116,128
3-hr:, 37,44,55,65,78,89,100,112,129,143
6-hr:, 44,53,66,78,94,108,123,138,159,178
12-hr:, 53,64,79,95,115,133,152,173,201,227
24-hr:, 63,76,98,116,142,163,185,208,242,269
2-day:, 73,89,113,133,161,184,209,234,270,300
3-day:, 78,95,120,141,170,194,218,244,281,310
4-day:, 83,101,127,149,179,203,228,254,291,321
7-day:, 97,117,146,169,201,227,253,281,319,349
10-day:, 112,134,165,189,222,248,275,302,339,368
20-day:, 153,182,220,250,290,322,354,387,431,465
30-day:, 190,226,268,301,344,377,411,443,486,518
45-day:, 240,283,332,369,418,455,492,528,575,610
60-day:, 289,340,396,437,490,531,570,607,656,692

Date/time (GMT):  Thu Feb 29 23:10:29 2024
pyRunTime:  0.1527712345123291
