Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.76654925 Degree
Longitude: -78.93512622 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,17,18,19,21,21
10-min:, 15,18,21,23,26,28,29,31,33,34
15-min:, 19,22,26,29,33,35,37,39,41,42
30-min:, 26,31,38,43,48,53,57,61,65,69
60-min:, 32,39,48,55,65,71,78,85,94,100
2-hr:, 38,46,57,67,79,88,98,108,122,132
3-hr:, 40,49,61,71,84,95,105,116,131,142
6-hr:, 49,59,74,87,104,118,133,148,170,188
12-hr:, 59,71,90,106,128,147,167,189,221,248
24-hr:, 68,83,105,124,152,176,201,230,271,306
2-day:, 80,97,123,144,174,200,227,256,298,332
3-day:, 85,103,130,152,184,211,239,270,313,350
4-day:, 89,108,137,160,194,221,251,283,329,367
7-day:, 103,124,154,179,214,243,274,307,354,392
10-day:, 117,140,172,198,235,265,296,328,374,411
20-day:, 158,188,226,257,298,331,363,397,442,477
30-day:, 195,231,272,304,345,376,407,437,476,505
45-day:, 246,290,339,375,421,456,489,521,562,592
60-day:, 294,345,398,437,487,523,558,591,633,663

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,21,23,24
10-min:, 16,20,23,26,28,30,32,34,36,37
15-min:, 21,25,29,32,36,39,41,43,45,47
30-min:, 28,34,42,47,53,58,63,67,72,76
60-min:, 35,43,53,61,71,79,86,94,103,111
2-hr:, 42,51,64,74,87,97,108,119,134,146
3-hr:, 45,54,68,79,93,105,116,128,144,156
6-hr:, 55,66,83,97,115,131,147,163,187,206
12-hr:, 65,79,100,117,141,161,183,207,241,270
24-hr:, 75,91,116,137,167,193,221,252,297,336
2-day:, 89,107,136,159,192,220,249,282,329,368
3-day:, 94,114,144,168,203,232,263,297,347,388
4-day:, 99,120,152,177,214,244,277,313,365,408
7-day:, 114,137,170,198,237,269,302,339,392,436
10-day:, 128,154,189,218,258,290,324,360,412,454
20-day:, 171,204,245,278,322,357,393,429,479,518
30-day:, 208,247,291,324,368,401,434,467,510,543
45-day:, 262,309,360,399,448,485,521,556,600,633
60-day:, 311,366,421,462,515,555,592,628,673,706

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,16,17,18,19
10-min:, 13,16,19,21,23,25,26,27,29,30
15-min:, 17,20,24,26,29,31,33,34,36,37
30-min:, 23,28,34,38,44,47,51,54,57,60
60-min:, 29,35,44,50,58,64,70,75,82,88
2-hr:, 34,41,52,60,70,79,87,95,106,114
3-hr:, 36,44,55,64,75,84,93,102,113,122
6-hr:, 44,54,67,78,93,105,117,129,146,159
12-hr:, 53,65,81,95,115,130,147,164,188,207
24-hr:, 62,75,96,113,137,157,179,202,235,263
2-day:, 73,89,112,131,157,179,202,226,260,288
3-day:, 77,93,118,138,166,189,213,239,274,303
4-day:, 81,98,124,145,175,199,224,251,288,319
7-day:, 94,113,140,162,193,218,245,272,310,341
10-day:, 107,129,158,181,214,240,267,295,333,363
20-day:, 146,174,209,237,274,303,332,361,399,428
30-day:, 182,216,254,284,321,349,377,404,437,462
45-day:, 230,272,317,350,393,424,454,483,518,544
60-day:, 277,326,375,412,458,492,524,554,591,617

Date/time (GMT):  Thu Feb 29 23:10:31 2024
pyRunTime:  0.15250205993652344
