Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.32102219 Degree
Longitude: -78.60828534 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,19,21,24,26
10-min:, 12,15,18,20,23,26,28,31,35,38
15-min:, 15,18,22,25,29,32,35,38,43,47
30-min:, 20,24,30,34,41,45,51,56,64,70
60-min:, 24,29,37,44,53,60,68,76,88,99
2-hr:, 28,34,44,52,63,73,83,95,113,128
3-hr:, 30,37,47,55,67,77,89,101,120,137
6-hr:, 38,45,57,66,81,93,106,121,144,163
12-hr:, 46,55,68,80,98,113,130,148,177,202
24-hr:, 56,68,84,98,119,137,157,179,211,239
2-day:, 65,78,97,113,136,157,179,203,239,270
3-day:, 70,84,104,121,145,166,189,213,249,280
4-day:, 75,90,111,129,154,176,199,223,260,291
7-day:, 87,104,127,146,172,193,215,238,270,297
10-day:, 100,119,142,161,188,209,230,252,284,310
20-day:, 135,159,186,206,233,253,273,293,318,337
30-day:, 166,194,223,245,273,294,315,334,359,377
45-day:, 207,242,274,299,328,350,370,389,411,427
60-day:, 248,289,324,350,382,404,424,442,464,479

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,23,26,29
10-min:, 14,16,20,22,26,28,31,34,38,42
15-min:, 17,20,24,28,32,35,39,43,48,52
30-min:, 22,27,33,38,45,50,56,62,71,78
60-min:, 27,33,42,49,58,66,75,84,98,109
2-hr:, 31,38,49,57,70,80,92,104,124,140
3-hr:, 34,41,52,60,74,85,97,111,131,149
6-hr:, 42,51,63,74,89,102,117,133,158,179
12-hr:, 51,61,76,89,108,124,142,163,193,220
24-hr:, 61,73,91,106,129,148,169,192,228,258
2-day:, 70,84,104,121,147,168,192,218,258,292
3-day:, 75,90,112,130,156,178,203,230,270,304
4-day:, 81,97,119,138,166,189,214,241,281,316
7-day:, 94,112,136,156,184,207,231,256,292,323
10-day:, 106,126,151,172,199,222,245,269,304,334
20-day:, 142,168,196,217,245,267,289,310,338,359
30-day:, 174,204,234,257,286,309,331,352,379,399
45-day:, 216,253,286,312,343,366,388,408,433,450
60-day:, 258,301,338,365,398,421,443,463,486,502

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,18,20,22
10-min:, 11,13,16,18,21,23,25,27,30,32
15-min:, 13,16,20,22,25,28,31,34,37,40
30-min:, 18,22,27,31,36,40,44,49,55,60
60-min:, 22,26,34,39,47,53,59,66,76,84
2-hr:, 25,31,39,46,56,64,73,83,97,109
3-hr:, 27,33,42,49,60,68,78,88,104,117
6-hr:, 34,41,51,60,72,82,94,106,124,139
12-hr:, 42,50,62,72,87,100,114,129,152,171
24-hr:, 52,63,78,91,110,125,142,160,186,207
2-day:, 60,72,90,104,125,143,162,182,211,235
3-day:, 65,78,97,112,134,152,171,192,221,245
4-day:, 70,84,104,120,143,161,181,201,231,255
7-day:, 82,98,119,136,160,178,197,217,243,264
10-day:, 94,112,134,151,175,194,213,232,258,279
20-day:, 129,151,176,196,221,239,257,275,296,312
30-day:, 158,185,213,234,260,280,298,316,337,352
45-day:, 199,232,263,286,314,335,353,370,390,403
60-day:, 238,277,311,336,366,386,405,422,441,454

Date/time (GMT):  Thu Feb 29 23:10:33 2024
pyRunTime:  0.2005326747894287
