Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.03513786 Degree
Longitude: -76.35879121 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,14,16,18,20,22,23,25,27
10-min:, 17,20,23,26,29,32,34,37,40,43
15-min:, 21,25,29,33,37,40,44,47,50,54
30-min:, 29,35,41,47,55,61,67,72,80,87
60-min:, 36,43,52,62,73,82,92,102,115,127
2-hr:, 43,51,63,76,91,105,119,133,154,172
3-hr:, 46,55,68,82,100,116,133,151,176,199
6-hr:, 55,66,82,99,121,141,162,185,218,249
12-hr:, 66,78,97,118,145,171,198,229,272,313
24-hr:, 75,91,118,140,175,204,237,274,329,376
2-day:, 86,105,135,162,201,235,274,317,381,437
3-day:, 91,111,142,169,209,243,281,323,386,442
4-day:, 96,117,150,177,217,251,289,330,391,447
7-day:, 113,136,172,201,244,280,320,363,425,477
10-day:, 128,154,191,222,267,304,343,385,446,498
20-day:, 174,208,252,288,339,380,424,469,533,584
30-day:, 216,256,307,347,403,447,492,539,602,651
45-day:, 269,318,377,424,489,540,593,646,719,776
60-day:, 321,378,443,494,561,613,665,716,784,835

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,20,22,24,26,28,30
10-min:, 19,22,25,29,32,35,38,41,44,47
15-min:, 23,28,32,36,41,45,48,51,56,59
30-min:, 32,38,45,52,60,67,74,80,89,96
60-min:, 40,48,58,68,80,91,101,112,127,141
2-hr:, 47,57,70,84,100,116,131,147,170,190
3-hr:, 51,62,76,91,111,129,147,167,195,221
6-hr:, 62,75,92,111,135,157,181,206,242,277
12-hr:, 74,89,110,134,164,193,223,257,305,351
24-hr:, 82,99,129,153,190,222,257,297,357,409
2-day:, 95,115,148,177,219,256,298,345,417,480
3-day:, 100,121,156,184,228,265,306,352,422,484
4-day:, 105,128,163,192,236,273,313,358,426,488
7-day:, 122,147,185,217,263,302,344,391,460,518
10-day:, 138,166,206,238,286,325,368,414,481,539
20-day:, 187,222,270,308,362,407,454,503,573,631
30-day:, 230,273,327,370,429,476,525,575,645,700
45-day:, 285,338,400,450,519,574,630,688,768,832
60-day:, 340,401,470,523,595,650,706,762,837,895

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,16,18,19,21,22,24
10-min:, 15,18,21,23,26,29,31,33,35,37
15-min:, 19,23,26,30,33,36,39,41,44,47
30-min:, 26,31,37,43,49,55,60,64,70,76
60-min:, 33,39,47,56,65,74,82,90,101,111
2-hr:, 39,46,57,68,81,93,105,117,134,149
3-hr:, 41,50,61,74,89,103,117,131,152,170
6-hr:, 50,60,73,88,107,124,142,160,186,210
12-hr:, 58,70,86,104,127,149,171,195,228,260
24-hr:, 69,84,108,129,159,185,213,243,287,324
2-day:, 80,97,125,148,183,213,245,281,332,375
3-day:, 84,103,131,156,191,221,253,287,338,381
4-day:, 89,108,138,163,199,228,260,294,343,388
7-day:, 105,127,159,186,225,256,290,325,376,417
10-day:, 120,144,178,207,247,279,313,349,399,441
20-day:, 163,195,236,269,315,352,389,428,481,521
30-day:, 203,242,289,327,378,418,458,498,552,592
45-day:, 254,300,355,399,459,505,551,597,659,705
60-day:, 304,358,419,466,528,576,622,667,725,768

Date/time (GMT):  Thu Feb 29 23:10:35 2024
pyRunTime:  0.008471488952636719
