Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.51943859 Degree
Longitude: -80.57461608 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,13,15,17,18,19,21,23
10-min:, 12,15,18,20,23,25,27,29,31,33
15-min:, 15,18,22,25,28,31,34,36,39,42
30-min:, 20,24,30,34,40,44,48,53,58,62
60-min:, 25,30,38,44,52,58,65,71,80,87
2-hr:, 28,34,43,50,60,67,75,83,94,103
3-hr:, 30,36,45,53,63,71,80,89,102,111
6-hr:, 36,43,54,62,75,85,95,106,122,134
12-hr:, 42,50,62,72,86,98,111,124,142,157
24-hr:, 50,60,73,84,100,112,125,139,158,173
2-day:, 59,70,84,96,113,126,140,154,174,189
3-day:, 63,74,90,102,119,132,146,160,180,195
4-day:, 67,79,95,107,124,138,152,166,186,201
7-day:, 79,94,111,125,143,158,173,188,207,222
10-day:, 92,108,126,141,161,176,191,207,226,241
20-day:, 128,150,174,192,216,234,252,270,292,308
30-day:, 160,187,214,235,263,284,304,324,349,367
45-day:, 203,237,268,293,323,346,367,387,412,429
60-day:, 245,285,320,347,380,404,427,448,472,489

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,20,22,24,25
10-min:, 14,17,20,23,26,28,30,32,35,37
15-min:, 17,20,25,28,32,35,37,40,44,46
30-min:, 23,27,34,39,45,49,54,59,65,69
60-min:, 28,33,42,49,58,65,72,80,89,97
2-hr:, 32,38,48,56,67,75,84,93,105,115
3-hr:, 34,41,52,60,72,81,90,100,114,125
6-hr:, 40,48,60,70,83,94,106,118,135,148
12-hr:, 47,56,69,80,95,108,121,135,155,170
24-hr:, 54,65,79,91,107,120,134,148,169,185
2-day:, 63,75,91,103,121,135,149,164,185,201
3-day:, 67,80,96,109,126,141,155,170,191,207
4-day:, 71,84,101,114,132,146,161,176,197,213
7-day:, 84,99,117,132,151,166,182,197,218,234
10-day:, 96,113,133,148,169,185,201,217,237,253
20-day:, 134,157,182,201,226,245,264,282,306,323
30-day:, 168,197,225,247,276,298,320,340,367,386
45-day:, 213,249,282,307,339,363,385,406,433,451
60-day:, 256,298,334,362,397,422,445,467,493,511

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,20,22,24,25,27,29
15-min:, 14,16,20,22,25,27,30,32,34,36
30-min:, 18,22,27,31,35,39,43,46,51,54
60-min:, 22,27,34,39,46,52,57,63,70,76
2-hr:, 25,30,38,44,52,59,66,72,81,88
3-hr:, 27,32,40,47,56,63,70,78,88,96
6-hr:, 32,39,48,56,67,75,84,93,106,116
12-hr:, 38,46,56,65,78,88,98,109,124,136
24-hr:, 47,56,68,78,92,103,115,127,143,156
2-day:, 55,65,79,90,105,117,129,142,158,171
3-day:, 59,70,84,95,111,123,136,148,165,178
4-day:, 63,75,89,101,117,129,142,155,172,185
7-day:, 76,89,106,119,136,149,163,176,193,206
10-day:, 87,103,120,134,153,167,181,195,212,225
20-day:, 122,143,166,183,206,223,239,255,275,290
30-day:, 152,178,204,224,250,270,288,306,328,344
45-day:, 194,227,257,280,309,330,350,368,391,407
60-day:, 235,274,307,332,364,387,408,427,450,465

Date/time (GMT):  Thu Feb 29 23:10:37 2024
pyRunTime:  0.06480669975280762
