Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.75956699 Degree
Longitude: -77.49076272 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,16,18,19,20,22,23
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 19,22,26,29,33,36,38,40,43,45
30-min:, 25,31,37,42,49,54,58,63,68,72
60-min:, 32,38,48,55,65,73,80,88,98,106
2-hr:, 38,46,57,67,80,91,102,113,128,141
3-hr:, 41,50,62,73,87,99,111,123,140,154
6-hr:, 50,60,75,89,107,122,139,156,181,202
12-hr:, 60,72,91,108,132,153,176,200,236,268
24-hr:, 69,83,107,127,158,185,216,250,302,347
2-day:, 80,97,124,147,181,211,243,279,332,377
3-day:, 85,103,132,156,191,222,256,293,349,396
4-day:, 90,109,139,164,202,234,269,308,366,415
7-day:, 104,125,157,185,225,259,296,336,397,447
10-day:, 118,142,176,205,246,280,316,355,412,458
20-day:, 159,189,229,260,304,339,375,412,463,503
30-day:, 196,232,276,310,356,392,429,465,514,552
45-day:, 248,292,342,379,428,466,501,536,581,615
60-day:, 293,345,398,439,490,529,565,600,644,676

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,20,23,26,29,31,33,35,38,39
15-min:, 21,25,29,32,36,39,42,44,47,50
30-min:, 28,34,41,47,54,59,64,69,75,80
60-min:, 35,43,53,61,72,80,89,97,108,117
2-hr:, 43,51,64,75,89,101,113,125,142,157
3-hr:, 46,56,70,82,97,111,124,138,157,173
6-hr:, 57,69,85,101,121,138,157,176,204,228
12-hr:, 69,83,103,123,149,173,198,225,266,302
24-hr:, 75,91,116,138,172,200,233,269,324,372
2-day:, 87,106,135,160,197,228,263,301,359,409
3-day:, 92,111,142,168,207,240,276,316,376,428
4-day:, 97,117,150,176,217,251,289,330,393,447
7-day:, 111,134,169,198,241,277,317,361,426,482
10-day:, 126,151,188,219,262,299,338,380,440,492
20-day:, 169,201,243,276,322,359,397,437,493,538
30-day:, 207,246,291,327,376,414,453,492,545,587
45-day:, 261,308,361,400,452,491,529,567,616,652
60-day:, 308,362,418,460,515,555,593,631,678,713

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,19,20
10-min:, 13,16,19,21,23,25,27,28,30,31
15-min:, 17,20,24,26,29,32,34,36,37,39
30-min:, 23,28,33,38,44,48,52,55,60,63
60-min:, 29,35,43,50,58,65,71,78,86,92
2-hr:, 34,41,51,60,71,80,89,98,110,120
3-hr:, 37,44,55,65,77,87,97,107,120,131
6-hr:, 44,53,66,78,93,106,120,133,152,168
12-hr:, 54,64,80,95,115,132,150,169,196,219
24-hr:, 64,77,99,117,145,168,193,222,263,299
2-day:, 75,90,115,136,166,192,220,250,293,329
3-day:, 79,96,122,144,176,203,232,263,309,346
4-day:, 84,101,129,152,186,214,245,277,324,363
7-day:, 97,117,147,172,208,238,270,305,354,395
10-day:, 111,133,165,191,228,259,291,324,371,409
20-day:, 150,179,216,245,285,317,349,381,425,458
30-day:, 186,220,261,293,335,368,401,433,476,508
45-day:, 235,277,324,359,404,439,471,502,542,571
60-day:, 278,327,378,416,464,500,533,564,603,631

Date/time (GMT):  Thu Feb 29 23:10:40 2024
pyRunTime:  0.7019290924072266
