Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.00683177 Degree
Longitude: -78.85855301 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,18,20,23,26
10-min:, 12,14,17,20,23,25,28,30,34,37
15-min:, 15,17,21,24,28,31,34,38,42,46
30-min:, 19,23,29,33,39,44,50,55,63,70
60-min:, 24,29,36,42,51,58,66,75,87,98
2-hr:, 28,33,42,51,62,73,84,97,116,133
3-hr:, 30,36,45,53,66,77,89,103,123,142
6-hr:, 37,44,55,65,79,93,107,123,148,170
12-hr:, 45,54,67,79,97,113,132,153,185,214
24-hr:, 57,68,85,100,123,144,166,192,232,267
2-day:, 66,80,99,116,141,163,188,215,257,293
3-day:, 72,86,106,123,149,171,195,221,262,297
4-day:, 77,92,113,131,157,178,202,228,267,301
7-day:, 90,107,130,148,175,197,219,244,278,310
10-day:, 104,123,147,166,192,213,235,257,290,321
20-day:, 142,167,194,215,242,264,285,307,335,356
30-day:, 176,205,235,258,288,311,334,355,384,405
45-day:, 220,257,290,316,349,373,397,419,447,468
60-day:, 263,306,344,372,408,434,458,481,509,529

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,18,20,22,26,28
10-min:, 13,16,19,22,25,28,31,34,38,41
15-min:, 16,19,23,27,31,34,38,42,47,51
30-min:, 22,26,32,37,44,49,55,61,70,77
60-min:, 26,32,40,47,57,65,73,83,96,108
2-hr:, 31,37,47,56,69,80,93,107,128,147
3-hr:, 33,40,50,59,73,85,98,113,136,157
6-hr:, 41,49,61,72,88,103,119,136,164,188
12-hr:, 51,61,75,89,108,126,147,170,205,238
24-hr:, 63,76,95,111,137,159,185,214,259,300
2-day:, 74,88,110,128,156,181,209,241,289,332
3-day:, 79,94,117,136,164,189,216,247,294,337
4-day:, 84,101,124,143,172,197,223,253,299,341
7-day:, 98,117,142,162,191,215,241,269,310,348
10-day:, 113,133,159,180,209,232,256,282,320,357
20-day:, 152,179,208,230,260,284,308,333,366,391
30-day:, 187,219,250,275,307,333,357,382,415,439
45-day:, 232,271,307,334,370,396,422,447,480,504
60-day:, 278,324,364,394,432,460,487,513,545,569

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,13,15,16,18,20,22
10-min:, 11,13,15,17,20,22,24,26,29,32
15-min:, 13,16,19,21,25,27,30,33,37,40
30-min:, 18,21,26,30,35,39,44,48,54,59
60-min:, 21,26,32,38,45,52,58,65,75,83
2-hr:, 25,30,38,45,55,64,74,84,100,113
3-hr:, 27,32,41,48,59,68,78,90,106,121
6-hr:, 33,40,49,58,71,82,94,108,127,145
12-hr:, 41,49,60,71,87,100,116,132,158,180
24-hr:, 52,62,78,91,111,128,146,167,197,222
2-day:, 61,73,90,105,127,145,165,187,218,244
3-day:, 66,79,97,112,134,153,172,193,223,249
4-day:, 71,84,103,119,142,160,179,199,229,254
7-day:, 83,98,119,136,159,177,196,216,242,266
10-day:, 96,114,136,154,177,195,214,232,258,283
20-day:, 133,156,181,201,226,244,263,281,303,321
30-day:, 165,193,221,242,270,290,310,328,351,368
45-day:, 209,243,275,299,329,351,372,391,414,431
60-day:, 250,291,326,353,385,409,430,450,474,491

Date/time (GMT):  Thu Feb 29 23:10:42 2024
pyRunTime:  0.10841965675354004
