Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.55010556 Degree
Longitude: -76.30775789 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,19,21,22
10-min:, 14,17,20,22,25,27,29,30,33,34
15-min:, 18,21,25,28,31,34,36,38,41,43
30-min:, 24,29,36,41,47,51,56,60,65,70
60-min:, 30,37,46,53,62,69,77,84,94,102
2-hr:, 36,44,56,65,78,88,99,111,127,141
3-hr:, 39,48,61,71,85,96,109,122,141,156
6-hr:, 49,59,75,88,106,122,139,158,186,209
12-hr:, 60,73,93,109,135,157,182,210,252,289
24-hr:, 70,84,108,129,161,190,222,259,316,365
2-day:, 81,98,126,150,185,216,251,290,348,399
3-day:, 85,103,132,157,194,226,262,302,362,415
4-day:, 89,108,138,163,202,235,273,314,377,430
7-day:, 104,126,159,187,229,265,305,350,416,473
10-day:, 118,142,177,206,249,285,323,365,426,478
20-day:, 161,191,231,263,308,344,382,421,476,519
30-day:, 198,235,279,315,364,403,442,483,539,582
45-day:, 252,297,347,386,436,475,513,550,598,635
60-day:, 302,355,410,451,505,545,583,620,666,700

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,20,22,23,25
10-min:, 16,19,22,25,28,30,32,34,37,39
15-min:, 20,24,28,31,35,38,41,43,46,49
30-min:, 27,33,40,46,52,57,62,67,74,79
60-min:, 34,41,52,59,70,78,86,94,106,115
2-hr:, 41,50,63,73,87,98,111,124,143,158
3-hr:, 44,53,68,79,94,107,121,135,157,175
6-hr:, 55,66,83,98,118,136,155,176,208,235
12-hr:, 68,83,105,124,153,178,206,238,287,330
24-hr:, 76,92,118,141,175,206,240,279,339,392
2-day:, 88,107,137,163,201,234,271,313,377,432
3-day:, 93,112,143,170,210,244,283,326,392,449
4-day:, 97,117,150,177,219,255,294,339,407,466
7-day:, 113,136,172,202,247,286,329,377,450,512
10-day:, 127,152,190,221,267,305,346,391,457,513
20-day:, 171,203,245,279,327,365,405,447,506,554
30-day:, 210,249,296,333,385,426,468,512,573,621
45-day:, 265,313,365,406,459,500,540,580,633,673
60-day:, 317,372,430,474,530,572,612,652,702,739

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,25,27,28,29
15-min:, 16,19,22,25,28,30,32,34,35,37
30-min:, 21,26,32,36,41,45,49,52,56,60
60-min:, 27,33,41,47,55,61,67,73,81,87
2-hr:, 32,40,50,58,69,78,87,96,109,119
3-hr:, 35,43,55,63,75,85,95,106,121,132
6-hr:, 44,53,67,78,95,108,122,136,158,175
12-hr:, 53,65,82,96,118,136,156,177,208,234
24-hr:, 64,78,100,119,147,172,199,228,273,312
2-day:, 75,91,116,138,169,196,225,257,305,344
3-day:, 79,95,122,144,177,205,236,269,318,359
4-day:, 83,100,128,151,185,214,246,281,331,374
7-day:, 97,117,147,173,211,242,277,314,368,413
10-day:, 110,133,165,192,231,262,296,331,382,423
20-day:, 152,180,218,248,289,322,355,389,436,472
30-day:, 188,222,264,297,342,377,413,449,496,533
45-day:, 239,282,329,365,412,448,482,516,558,590
60-day:, 288,338,390,429,479,516,551,584,625,655

Date/time (GMT):  Thu Feb 29 23:10:44 2024
pyRunTime:  0.009213685989379883
