Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.28535018 Degree
Longitude: -80.37920117 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,18,19,21,22
10-min:, 13,15,18,20,23,25,26,28,30,32
15-min:, 15,18,22,25,28,31,33,35,38,40
30-min:, 20,25,30,34,40,44,48,51,56,60
60-min:, 25,30,38,44,51,57,64,70,77,84
2-hr:, 29,35,44,51,60,67,75,83,93,101
3-hr:, 31,37,47,54,64,72,81,89,101,110
6-hr:, 37,45,55,64,76,86,96,106,121,133
12-hr:, 44,53,65,74,88,100,112,124,142,156
24-hr:, 54,64,77,88,104,116,129,142,161,175
2-day:, 63,75,90,102,118,131,145,158,177,191
3-day:, 68,80,96,108,125,138,152,165,183,196
4-day:, 73,86,102,115,132,145,158,172,189,202
7-day:, 88,104,122,136,154,168,181,194,210,222
10-day:, 103,121,140,155,174,188,201,214,230,241
20-day:, 146,171,195,213,236,253,269,283,301,313
30-day:, 185,216,244,264,290,309,326,341,360,372
45-day:, 238,276,309,333,362,383,402,418,438,451
60-day:, 287,333,369,396,428,450,470,488,508,521

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,18,19,21,22,24
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 17,20,24,27,31,33,36,38,41,43
30-min:, 22,27,33,38,43,48,52,56,61,65
60-min:, 27,33,42,48,56,63,69,76,84,91
2-hr:, 32,39,48,56,66,74,82,90,101,110
3-hr:, 34,42,52,60,71,79,88,97,109,119
6-hr:, 41,49,61,70,83,93,104,115,131,143
12-hr:, 49,58,71,82,97,109,121,135,153,168
24-hr:, 58,69,84,96,112,125,139,153,172,188
2-day:, 68,81,97,109,127,141,155,170,189,204
3-day:, 73,86,103,116,134,148,162,176,195,209
4-day:, 78,92,109,123,141,155,169,182,200,214
7-day:, 94,111,130,144,163,177,191,205,222,235
10-day:, 109,128,148,164,183,198,212,226,243,255
20-day:, 154,180,206,225,249,267,283,298,317,330
30-day:, 194,227,256,278,305,324,342,358,378,391
45-day:, 249,289,324,349,379,401,420,437,458,471
60-day:, 300,348,386,413,447,470,490,509,530,543

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,16,17,18,19
10-min:, 11,14,16,18,21,22,24,25,27,28
15-min:, 14,17,20,23,26,28,30,31,34,35
30-min:, 19,23,28,31,36,39,43,46,50,53
60-min:, 23,28,35,40,47,52,57,62,69,74
2-hr:, 26,32,40,46,54,61,67,74,82,89
3-hr:, 28,34,42,49,58,65,72,79,89,96
6-hr:, 34,41,50,58,69,77,86,95,107,116
12-hr:, 40,48,59,68,80,90,100,111,125,136
24-hr:, 50,59,72,82,96,107,118,130,146,159
2-day:, 59,70,84,95,110,122,134,146,162,175
3-day:, 64,75,90,101,117,128,141,153,168,181
4-day:, 68,81,96,108,123,135,147,159,175,186
7-day:, 83,98,115,128,145,158,170,182,196,207
10-day:, 97,114,132,146,163,177,189,201,215,226
20-day:, 138,162,185,202,224,240,255,268,285,296
30-day:, 175,205,232,251,275,293,309,323,340,352
45-day:, 227,264,295,317,345,365,382,398,416,428
60-day:, 275,319,354,379,410,431,450,466,485,497

Date/time (GMT):  Thu Feb 29 23:10:47 2024
pyRunTime:  0.333021879196167
