Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.43379742 Degree
Longitude: -78.87502524 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,17,18,20,21
10-min:, 12,14,17,19,22,24,26,28,30,32
15-min:, 14,17,21,24,27,30,33,35,38,40
30-min:, 20,24,30,34,40,44,49,53,59,64
60-min:, 24,30,38,44,53,60,67,74,84,92
2-hr:, 29,35,45,53,64,73,82,92,106,117
3-hr:, 31,38,48,56,68,77,87,98,113,125
6-hr:, 39,46,58,68,82,95,108,122,142,158
12-hr:, 48,57,71,84,102,118,135,155,183,208
24-hr:, 55,66,84,98,119,137,156,176,205,229
2-day:, 64,77,97,113,136,155,175,196,227,251
3-day:, 68,81,102,119,143,163,183,206,237,261
4-day:, 71,86,107,125,150,170,192,215,246,272
7-day:, 82,99,122,141,167,187,209,231,262,286
10-day:, 95,114,138,157,183,203,224,244,272,294
20-day:, 129,153,182,204,235,258,281,304,335,357
30-day:, 159,188,219,242,273,297,319,341,368,388
45-day:, 199,233,268,294,327,352,375,396,422,440
60-day:, 238,279,316,345,380,405,428,449,474,491

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,18,20,22,24
10-min:, 13,16,19,21,24,26,29,31,34,36
15-min:, 16,19,24,27,30,33,36,39,42,45
30-min:, 22,26,33,38,44,49,54,59,66,71
60-min:, 27,33,42,49,58,66,74,82,93,102
2-hr:, 32,39,50,59,71,81,91,102,118,132
3-hr:, 35,42,53,62,75,86,97,109,127,141
6-hr:, 43,52,65,76,92,105,120,135,159,178
12-hr:, 54,64,80,94,114,132,152,174,207,236
24-hr:, 60,73,92,107,130,149,170,192,224,251
2-day:, 70,84,105,123,147,168,190,214,247,274
3-day:, 73,88,111,129,154,176,198,222,257,284
4-day:, 77,93,116,135,161,183,207,231,266,294
7-day:, 89,106,131,151,179,201,224,248,282,308
10-day:, 102,122,148,168,196,217,239,262,292,316
20-day:, 138,163,193,217,250,275,300,325,358,383
30-day:, 168,198,231,256,289,314,338,362,392,414
45-day:, 209,246,282,310,345,371,395,418,447,467
60-day:, 251,293,333,362,399,426,450,473,499,518

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,13,15,16,17,18
10-min:, 10,13,15,17,19,21,23,24,26,27
15-min:, 13,16,19,21,24,27,29,30,33,34
30-min:, 18,21,27,31,36,39,43,46,51,54
60-min:, 22,27,34,40,47,53,58,64,72,78
2-hr:, 26,32,41,48,57,64,72,80,91,99
3-hr:, 28,34,43,50,60,68,76,85,97,106
6-hr:, 35,42,52,61,73,83,94,105,120,132
12-hr:, 43,51,64,75,90,103,117,132,153,170
24-hr:, 51,61,77,90,108,123,139,156,179,197
2-day:, 59,71,89,104,124,141,158,175,200,219
3-day:, 63,76,94,110,131,148,166,185,210,230
4-day:, 66,80,100,116,138,156,175,194,220,241
7-day:, 77,92,114,131,154,173,191,210,236,255
10-day:, 89,106,129,147,170,188,206,224,248,266
20-day:, 121,144,171,192,220,240,261,281,307,326
30-day:, 151,178,207,229,258,279,300,319,343,359
45-day:, 188,221,254,279,310,333,354,373,397,412
60-day:, 227,265,301,328,361,384,406,425,447,462

Date/time (GMT):  Thu Feb 29 23:10:49 2024
pyRunTime:  0.11630821228027344
