Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.53459785 Degree
Longitude: -77.39324619 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,20,22,23
10-min:, 15,18,21,24,26,29,31,32,34,36
15-min:, 19,23,27,30,34,36,39,41,43,45
30-min:, 26,31,38,43,50,55,59,64,69,73
60-min:, 32,39,49,56,66,74,82,89,99,107
2-hr:, 39,47,59,69,82,93,104,115,131,143
3-hr:, 42,51,63,74,89,101,113,126,143,157
6-hr:, 51,61,76,90,108,124,141,158,183,204
12-hr:, 60,73,92,109,133,154,177,201,237,268
24-hr:, 70,85,108,129,159,184,213,244,291,331
2-day:, 81,99,126,148,181,209,239,272,319,360
3-day:, 86,104,133,156,191,220,251,285,335,376
4-day:, 91,110,139,164,200,230,263,298,350,393
7-day:, 104,126,157,183,221,253,286,323,375,418
10-day:, 119,142,176,203,242,274,308,344,394,435
20-day:, 160,190,230,261,304,338,373,408,456,493
30-day:, 198,235,278,311,355,389,422,455,497,530
45-day:, 250,295,345,382,431,467,502,536,579,611
60-day:, 296,348,402,443,495,533,569,604,647,679

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,15,16,18,20,21,22,24,25
10-min:, 17,20,23,26,29,31,34,36,38,40
15-min:, 21,25,29,33,37,40,42,45,48,50
30-min:, 29,34,42,48,55,60,65,70,76,81
60-min:, 36,43,54,62,73,81,90,98,109,118
2-hr:, 43,52,65,76,90,102,114,127,144,158
3-hr:, 47,56,71,83,98,111,125,139,158,173
6-hr:, 57,68,86,101,121,138,157,176,203,227
12-hr:, 68,82,103,122,149,172,196,223,263,297
24-hr:, 77,94,120,142,175,203,233,267,319,362
2-day:, 90,109,139,163,199,230,263,299,351,396
3-day:, 95,115,146,172,209,241,275,312,367,414
4-day:, 100,121,153,180,220,252,288,326,383,431
7-day:, 115,138,172,201,242,276,313,353,411,460
10-day:, 130,155,192,222,264,299,336,375,431,476
20-day:, 173,206,249,283,329,366,404,442,495,536
30-day:, 213,252,299,334,382,418,454,489,535,572
45-day:, 267,315,369,409,460,499,537,573,621,656
60-day:, 314,369,427,469,524,565,604,641,689,724

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,19,20
10-min:, 14,16,19,21,24,26,27,29,30,32
15-min:, 17,21,24,27,30,33,35,36,38,40
30-min:, 24,28,35,39,45,49,53,57,61,64
60-min:, 29,36,44,51,60,66,73,79,87,94
2-hr:, 35,42,53,62,73,83,92,101,114,124
3-hr:, 38,46,57,67,79,89,100,110,124,134
6-hr:, 45,55,68,80,96,109,123,137,156,172
12-hr:, 54,66,82,97,117,135,153,172,199,222
24-hr:, 64,77,99,117,143,165,189,215,252,284
2-day:, 74,90,114,134,163,186,212,239,278,309
3-day:, 78,95,121,142,172,197,224,252,292,325
4-day:, 83,100,127,150,181,207,235,265,307,341
7-day:, 95,115,144,167,201,228,257,288,331,366
10-day:, 109,131,162,187,221,250,279,309,351,384
20-day:, 147,176,212,241,280,310,340,371,411,442
30-day:, 185,219,259,289,329,360,389,418,455,482
45-day:, 233,275,321,356,401,434,466,495,533,560
60-day:, 278,327,378,415,463,498,531,563,601,628

Date/time (GMT):  Thu Feb 29 23:10:51 2024
pyRunTime:  0.007678985595703125
