Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 10 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Northeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 43.42029826 Degree
Longitude: -74.96148942 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,13,15,17,19,21,24,26
10-min:, 11,12,15,18,21,24,27,30,33,36
15-min:, 12,15,18,21,25,28,31,35,39,43
30-min:, 17,20,25,29,34,38,43,47,53,58
60-min:, 21,25,31,36,43,48,54,59,67,73
2-hr:, 27,32,39,46,54,61,68,75,87,96
3-hr:, 32,37,45,52,62,69,77,86,100,111
6-hr:, 40,47,57,66,79,88,98,109,127,141
12-hr:, 50,58,72,83,99,111,123,137,156,172
24-hr:, 60,70,86,100,118,132,146,161,182,198
2-day:, 72,82,99,113,133,147,162,178,199,216
3-day:, 80,91,108,123,142,158,173,189,211,227
4-day:, 87,98,116,131,151,167,182,198,220,237
7-day:, 106,118,137,152,174,190,207,224,247,265
10-day:, 124,137,157,173,196,213,231,249,274,292
20-day:, 180,194,218,238,265,286,307,327,354,374
30-day:, 227,243,270,292,323,346,370,392,420,441
45-day:, 286,304,335,360,394,422,448,472,501,521
60-day:, 335,356,389,416,454,484,512,537,567,586

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,14,16,20,23,26,29,34,37
10-min:, 13,16,20,23,28,32,36,41,48,53
15-min:, 16,18,23,27,33,38,43,49,56,62
30-min:, 21,25,31,36,45,51,58,66,76,84
60-min:, 27,31,39,46,56,64,73,83,96,106
2-hr:, 34,40,50,58,71,81,93,105,124,139
3-hr:, 39,46,57,66,81,92,106,120,142,161
6-hr:, 50,58,72,83,102,116,133,150,179,202
12-hr:, 61,72,89,103,127,145,165,187,219,246
24-hr:, 74,86,106,123,150,170,194,219,254,281
2-day:, 88,100,121,139,167,189,213,240,276,304
3-day:, 97,110,132,150,179,201,226,253,290,318
4-day:, 105,119,141,159,189,212,237,265,303,331
7-day:, 128,142,165,184,216,240,268,298,338,368
10-day:, 149,164,188,209,243,269,298,330,372,404
20-day:, 214,231,260,285,325,356,391,430,478,514
30-day:, 268,288,321,348,394,430,469,513,565,603
45-day:, 337,359,396,427,479,520,564,614,671,710
60-day:, 394,418,458,493,550,595,642,697,757,797

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,7,8,10,11,12,13,14,15,16
10-min:, 8,10,12,14,16,17,19,20,22,23
15-min:, 10,11,14,16,19,21,22,23,25,27
30-min:, 13,15,19,22,25,28,30,32,34,37
60-min:, 16,19,24,28,32,35,38,40,43,46
2-hr:, 21,25,31,35,41,45,48,51,56,61
3-hr:, 25,29,35,41,47,51,55,59,65,71
6-hr:, 31,37,45,52,60,65,71,75,83,90
12-hr:, 39,46,57,65,75,82,89,94,103,111
24-hr:, 48,56,68,79,90,98,106,111,121,128
2-day:, 58,66,79,90,102,111,118,124,133,140
3-day:, 65,73,87,98,110,119,126,132,141,148
4-day:, 71,79,93,105,117,126,133,138,148,155
7-day:, 86,96,111,122,135,144,152,157,166,174
10-day:, 102,111,127,140,153,163,170,175,185,192
20-day:, 148,160,179,193,208,219,226,232,241,247
30-day:, 187,201,222,239,254,266,274,278,286,292
45-day:, 237,252,276,295,312,325,332,336,343,346
60-day:, 279,295,322,342,360,374,380,384,389,391

Date/time (GMT):  Thu Feb 29 23:10:57 2024
pyRunTime:  2.1323540210723877
