Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.35799334 Degree
Longitude: -79.56125426 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,16,17,18,19
10-min:, 11,14,17,19,21,23,25,26,28,30
15-min:, 14,17,21,24,27,29,31,33,36,37
30-min:, 20,24,30,34,40,44,48,52,57,60
60-min:, 24,30,38,44,53,59,66,72,81,88
2-hr:, 29,35,44,52,62,70,78,87,98,107
3-hr:, 31,38,48,56,67,75,85,94,107,117
6-hr:, 39,47,59,69,83,95,107,120,138,154
12-hr:, 49,59,73,86,104,119,136,154,182,205
24-hr:, 62,74,91,105,125,142,160,179,206,228
2-day:, 72,87,106,122,143,161,180,199,226,248
3-day:, 78,93,113,129,152,170,188,208,235,257
4-day:, 84,100,121,137,160,178,197,217,244,265
7-day:, 98,116,139,157,181,200,219,239,265,286
10-day:, 112,133,158,177,202,222,241,260,285,306
20-day:, 153,180,210,233,263,287,310,332,362,384
30-day:, 191,224,257,282,315,339,362,384,412,432
45-day:, 241,281,320,349,386,413,439,463,493,515
60-day:, 288,336,377,408,446,474,499,522,549,568

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,19,20,21
10-min:, 13,15,18,21,23,25,27,29,32,34
15-min:, 16,19,23,26,30,32,35,37,40,42
30-min:, 22,26,33,38,44,48,53,58,64,68
60-min:, 27,33,42,49,59,66,73,81,91,100
2-hr:, 32,38,49,58,69,78,87,97,110,121
3-hr:, 34,42,53,62,74,83,94,105,120,133
6-hr:, 44,53,66,77,92,105,119,134,156,175
12-hr:, 55,66,82,96,116,133,153,175,208,237
24-hr:, 68,81,100,115,137,156,176,197,228,253
2-day:, 79,95,116,132,156,176,197,219,250,276
3-day:, 85,101,123,141,165,185,206,228,260,285
4-day:, 91,108,131,150,174,194,215,238,269,295
7-day:, 106,125,151,170,196,217,238,259,290,315
10-day:, 121,143,170,190,218,239,260,281,310,334
20-day:, 163,192,224,249,282,307,332,358,391,417
30-day:, 202,237,272,298,333,359,384,409,441,464
45-day:, 254,296,337,368,407,436,464,491,526,551
60-day:, 303,353,396,429,469,498,525,550,582,604

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 6,8,9,10,12,13,14,14,15,16
10-min:, 10,12,15,17,19,20,21,23,24,25
15-min:, 13,15,19,21,24,26,27,29,30,31
30-min:, 17,21,27,30,35,38,42,45,48,51
60-min:, 22,27,34,40,47,52,57,62,69,74
2-hr:, 26,32,40,47,55,62,69,76,84,91
3-hr:, 28,34,43,50,60,67,75,82,92,100
6-hr:, 36,43,54,62,74,84,94,104,118,128
12-hr:, 44,53,66,77,92,104,118,132,151,167
24-hr:, 57,68,84,96,114,128,143,158,179,196
2-day:, 67,80,97,111,130,146,161,177,198,215
3-day:, 72,86,104,119,138,154,169,186,207,224
4-day:, 77,92,111,126,146,162,178,194,216,233
7-day:, 91,108,129,146,167,184,200,216,238,254
10-day:, 105,124,147,165,187,205,221,237,259,275
20-day:, 143,169,197,218,246,267,286,306,330,348
30-day:, 181,212,243,266,297,318,339,358,382,399
45-day:, 228,266,302,330,364,389,412,433,458,476
60-day:, 274,319,359,387,423,448,471,491,515,531

Date/time (GMT):  Thu Feb 29 23:11:00 2024
pyRunTime:  0.3642890453338623
