Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.29271439 Degree
Longitude: -77.29800009 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,20,21,23,24
10-min:, 16,18,21,24,27,29,31,33,36,38
15-min:, 19,23,27,30,34,37,40,42,45,47
30-min:, 27,32,38,44,51,56,61,65,71,76
60-min:, 33,40,49,57,67,76,84,92,103,111
2-hr:, 40,48,59,70,83,95,107,119,136,150
3-hr:, 43,51,64,76,91,103,117,131,150,167
6-hr:, 51,62,77,91,110,127,145,163,190,213
12-hr:, 61,74,92,110,135,157,180,206,243,277
24-hr:, 71,86,110,131,161,187,215,247,293,333
2-day:, 83,100,127,150,183,212,242,275,323,363
3-day:, 87,106,135,159,193,223,254,288,338,380
4-day:, 92,112,142,167,203,234,266,302,354,397
7-day:, 107,128,160,187,225,257,291,328,380,423
10-day:, 122,146,180,208,248,280,314,350,401,442
20-day:, 164,196,237,269,313,348,384,420,469,508
30-day:, 204,242,287,321,366,401,435,468,513,546
45-day:, 256,302,354,392,442,480,516,552,597,631
60-day:, 305,359,415,457,511,551,589,625,672,705

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,20,22,23,25,26
10-min:, 17,20,24,27,30,32,35,37,40,42
15-min:, 22,26,30,34,38,41,44,47,50,52
30-min:, 30,35,43,49,56,62,67,72,79,85
60-min:, 37,44,55,64,75,84,93,102,114,124
2-hr:, 44,53,66,78,92,105,118,131,150,166
3-hr:, 48,57,71,84,101,115,130,145,167,185
6-hr:, 58,70,87,103,124,142,161,182,212,238
12-hr:, 70,83,104,124,152,176,202,230,271,308
24-hr:, 78,94,121,143,176,204,235,269,319,362
2-day:, 90,109,139,164,200,230,264,300,353,397
3-day:, 95,115,147,173,210,242,276,314,369,416
4-day:, 100,122,154,181,221,254,289,328,386,434
7-day:, 116,139,174,203,245,279,317,357,415,464
10-day:, 131,158,195,225,267,303,340,380,436,482
20-day:, 175,209,253,287,334,372,410,450,504,547
30-day:, 216,256,304,340,388,425,462,498,546,583
45-day:, 271,320,374,415,468,508,547,585,635,672
60-day:, 321,378,437,481,538,580,621,659,709,746

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,16,18,19,20,21
10-min:, 14,17,19,22,24,26,28,29,31,33
15-min:, 18,21,24,27,31,33,35,37,39,41
30-min:, 24,29,35,40,45,50,54,58,63,66
60-min:, 30,36,45,52,60,68,74,81,90,97
2-hr:, 36,43,53,63,74,84,94,104,118,129
3-hr:, 38,46,57,68,80,91,102,114,129,142
6-hr:, 46,55,69,81,97,111,126,141,162,180
12-hr:, 55,66,82,98,118,137,156,176,204,229
24-hr:, 65,79,101,119,146,168,193,219,256,287
2-day:, 76,92,117,138,167,192,217,245,285,317
3-day:, 81,98,124,146,177,202,229,258,299,332
4-day:, 85,103,131,154,186,213,241,271,314,348
7-day:, 99,119,149,173,207,235,264,295,339,374
10-day:, 113,136,168,193,229,258,288,318,361,395
20-day:, 154,184,222,252,292,324,355,387,429,461
30-day:, 193,229,270,302,344,376,406,436,475,503
45-day:, 242,286,334,370,417,451,484,516,555,584
60-day:, 289,340,393,432,483,519,554,587,628,657

Date/time (GMT):  Thu Feb 29 23:11:03 2024
pyRunTime:  0.15906143188476562
