Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.25303282 Degree
Longitude: -76.93122568 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,34,35
15-min:, 17,21,25,28,32,34,37,39,42,44
30-min:, 24,29,36,41,47,52,56,61,67,72
60-min:, 30,36,46,53,62,70,78,85,96,105
2-hr:, 36,43,55,64,77,87,98,110,127,141
3-hr:, 38,46,59,69,83,94,107,120,139,155
6-hr:, 48,58,73,85,104,120,137,156,185,209
12-hr:, 59,71,90,106,132,154,179,207,250,287
24-hr:, 67,81,105,125,157,184,216,252,307,356
2-day:, 78,94,121,144,178,208,241,279,335,384
3-day:, 82,100,127,151,187,219,254,293,351,402
4-day:, 87,105,134,159,197,229,266,306,368,420
7-day:, 101,122,154,181,222,258,297,341,406,461
10-day:, 115,138,173,201,243,279,317,358,418,468
20-day:, 156,186,224,256,300,335,372,410,463,506
30-day:, 193,228,271,306,354,392,431,471,526,569
45-day:, 243,286,334,371,421,458,494,530,577,612
60-day:, 289,340,393,433,485,523,560,595,640,673

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,15,17,19,20,22,24,25
10-min:, 15,18,22,24,27,30,32,34,37,40
15-min:, 19,23,28,31,35,38,41,43,47,50
30-min:, 26,32,39,45,52,57,62,68,75,80
60-min:, 33,40,50,58,69,77,86,95,107,117
2-hr:, 39,48,61,70,84,96,108,122,141,157
3-hr:, 42,52,65,76,91,104,118,133,156,175
6-hr:, 53,64,81,95,115,133,153,174,207,236
12-hr:, 66,80,101,120,148,173,201,233,283,327
24-hr:, 75,91,117,139,173,203,237,276,335,388
2-day:, 87,105,135,160,198,231,268,309,371,425
3-day:, 92,112,143,169,209,243,282,325,390,447
4-day:, 97,118,150,178,219,255,296,341,409,468
7-day:, 112,135,170,200,245,284,327,375,447,509
10-day:, 128,153,191,223,268,307,349,394,460,517
20-day:, 169,202,244,278,325,363,403,445,503,550
30-day:, 209,247,293,331,382,423,465,509,569,616
45-day:, 260,306,358,398,450,490,529,568,619,658
60-day:, 308,362,418,461,517,558,598,636,685,721

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,15,16,17,19,20
10-min:, 13,15,18,20,22,24,26,27,29,31
15-min:, 16,19,23,25,28,31,33,35,37,39
30-min:, 22,26,32,37,42,46,50,54,59,62
60-min:, 27,33,42,48,56,62,69,76,84,91
2-hr:, 32,39,50,58,69,78,87,96,110,121
3-hr:, 35,42,53,62,74,84,94,105,120,132
6-hr:, 43,52,66,77,93,106,120,135,157,175
12-hr:, 53,64,81,95,116,134,154,175,207,234
24-hr:, 61,74,95,113,140,164,191,220,263,301
2-day:, 71,86,109,130,160,185,213,244,289,326
3-day:, 74,90,115,136,168,194,223,255,302,341
4-day:, 78,95,121,143,175,203,234,267,316,356
7-day:, 92,111,140,164,200,231,264,300,352,396
10-day:, 105,126,157,183,220,251,283,317,366,406
20-day:, 144,172,207,236,276,307,340,373,417,452
30-day:, 179,212,252,283,327,361,395,430,477,513
45-day:, 227,267,312,347,392,426,459,491,532,562
60-day:, 271,318,368,405,452,487,521,552,591,619

Date/time (GMT):  Thu Feb 29 23:11:05 2024
pyRunTime:  0.009562015533447266
