Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.56334733 Degree
Longitude: -74.91284039 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,21
10-min:, 14,16,19,21,24,26,28,29,31,33
15-min:, 17,20,24,27,30,33,35,37,39,41
30-min:, 23,28,35,39,45,49,53,57,63,67
60-min:, 29,35,44,51,60,67,74,81,90,98
2-hr:, 36,44,55,64,76,85,96,106,121,133
3-hr:, 40,48,61,71,84,95,107,119,135,149
6-hr:, 51,62,77,90,108,124,140,158,183,205
12-hr:, 62,76,95,112,137,158,181,207,245,278
24-hr:, 71,86,109,127,155,179,204,232,273,307
2-day:, 84,101,127,149,180,206,234,264,307,342
3-day:, 88,106,134,156,188,214,243,273,316,351
4-day:, 93,112,140,163,196,223,251,282,325,361
7-day:, 109,131,162,187,223,253,285,319,368,407
10-day:, 125,150,182,209,246,276,307,339,384,421
20-day:, 169,200,239,269,310,342,374,406,449,483
30-day:, 210,248,289,321,362,394,425,455,495,524
45-day:, 267,314,361,397,442,475,507,537,574,601
60-day:, 320,375,428,468,517,553,586,617,655,682

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,20,22,23
10-min:, 15,18,21,24,26,29,31,32,35,37
15-min:, 19,23,27,30,34,36,39,41,44,46
30-min:, 26,31,38,43,50,54,59,64,70,74
60-min:, 32,39,49,57,66,74,81,89,100,109
2-hr:, 40,48,61,70,84,94,105,117,134,148
3-hr:, 44,54,68,79,94,106,118,132,151,166
6-hr:, 57,69,86,100,121,137,156,175,204,228
12-hr:, 70,85,107,125,152,175,201,229,272,309
24-hr:, 78,94,118,138,168,193,220,250,295,332
2-day:, 91,110,139,162,196,224,254,286,334,373
3-day:, 96,116,145,169,203,232,262,295,342,382
4-day:, 100,121,151,176,211,240,271,304,351,391
7-day:, 117,141,174,201,240,272,306,343,396,440
10-day:, 134,160,195,223,262,294,328,363,412,452
20-day:, 179,212,253,285,328,362,397,431,479,516
30-day:, 221,261,304,337,381,415,447,480,523,555
45-day:, 280,329,379,416,463,499,532,564,604,634
60-day:, 335,393,449,490,541,579,614,647,688,718

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,13,14,15,16,17,18
10-min:, 12,15,17,19,21,23,24,26,27,28
15-min:, 15,18,22,24,27,29,31,32,34,36
30-min:, 21,25,31,35,40,44,47,51,55,58
60-min:, 26,32,40,46,53,59,65,71,79,85
2-hr:, 32,39,49,57,67,76,84,93,105,114
3-hr:, 36,43,55,63,75,84,94,103,117,127
6-hr:, 46,56,70,81,96,109,123,137,156,172
12-hr:, 56,68,86,100,121,139,158,178,206,230
24-hr:, 66,80,100,117,142,163,184,207,241,268
2-day:, 77,93,117,137,165,187,211,236,271,299
3-day:, 82,99,124,144,172,196,220,246,281,310
4-day:, 86,104,130,151,180,204,229,255,292,321
7-day:, 102,122,151,174,207,233,261,290,330,363
10-day:, 117,140,170,195,228,255,282,310,348,379
20-day:, 159,189,225,253,291,320,348,377,414,442
30-day:, 200,235,274,304,343,372,400,427,461,487
45-day:, 255,300,345,378,421,452,481,508,542,565
60-day:, 307,359,410,447,494,527,558,586,621,644

Date/time (GMT):  Thu Feb 29 23:11:07 2024
pyRunTime:  0.009456396102905273
