Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.42191613 Degree
Longitude: -77.97726673 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,15,17,19,20,23,25
10-min:, 12,15,18,20,23,26,28,30,34,36
15-min:, 15,18,22,25,29,32,35,38,42,45
30-min:, 20,24,30,34,41,45,50,55,62,68
60-min:, 24,29,38,44,53,60,67,75,86,95
2-hr:, 28,33,43,50,61,69,78,88,103,115
3-hr:, 30,36,45,53,64,73,83,94,110,123
6-hr:, 37,45,56,65,78,89,101,114,132,147
12-hr:, 46,56,69,80,97,111,126,143,167,188
24-hr:, 56,67,84,98,117,134,152,171,199,223
2-day:, 65,78,97,113,136,155,176,199,233,261
3-day:, 69,83,103,119,143,163,185,208,242,270
4-day:, 74,88,109,126,151,171,193,217,251,279
7-day:, 86,103,126,144,169,190,211,233,264,289
10-day:, 99,118,142,161,187,208,230,253,284,308
20-day:, 135,159,186,207,234,255,275,295,321,340
30-day:, 168,197,226,249,277,299,320,340,365,383
45-day:, 212,248,281,306,336,358,378,396,419,434
60-day:, 255,297,334,360,392,414,434,452,473,488

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,21,23,25,27
10-min:, 14,16,20,23,26,29,31,34,37,40
15-min:, 17,20,25,28,32,35,39,42,47,50
30-min:, 22,27,34,39,45,51,56,61,69,75
60-min:, 27,33,42,49,59,67,75,83,95,105
2-hr:, 32,38,49,57,69,79,89,100,116,129
3-hr:, 34,41,52,61,73,83,94,106,123,138
6-hr:, 42,50,63,73,88,100,113,126,147,163
12-hr:, 52,63,78,90,109,124,141,159,185,208
24-hr:, 62,74,92,107,129,147,166,187,217,243
2-day:, 71,85,106,123,148,168,191,216,252,283
3-day:, 75,90,112,129,155,176,199,225,261,292
4-day:, 80,95,118,136,162,184,208,233,270,301
7-day:, 93,111,135,154,182,203,226,251,284,311
10-day:, 107,127,152,173,201,224,247,272,305,332
20-day:, 144,170,199,220,249,271,293,315,343,364
30-day:, 178,208,239,263,293,316,338,360,387,407
45-day:, 224,262,297,323,355,378,400,420,444,461
60-day:, 268,313,351,379,412,436,457,477,499,515

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,12,13,15,16,18,20,21
10-min:, 11,13,16,18,21,23,24,26,29,31
15-min:, 13,16,19,22,25,28,30,33,36,38
30-min:, 18,21,27,31,36,40,44,48,53,58
60-min:, 22,26,33,39,46,52,59,65,74,81
2-hr:, 24,29,37,44,53,60,67,75,87,96
3-hr:, 26,32,40,47,56,64,72,81,93,103
6-hr:, 33,40,50,58,69,78,88,98,113,125
12-hr:, 42,50,62,72,86,97,110,123,142,157
24-hr:, 51,62,77,89,106,121,136,152,175,194
2-day:, 60,72,89,103,124,140,158,178,205,227
3-day:, 64,77,95,110,131,149,167,187,215,237
4-day:, 68,82,101,117,139,157,176,196,225,247
7-day:, 80,96,117,134,156,175,193,212,238,259
10-day:, 92,110,132,149,173,192,211,230,256,276
20-day:, 127,150,175,195,220,239,258,275,298,314
30-day:, 159,186,214,235,261,281,300,318,340,356
45-day:, 201,235,266,289,318,338,357,374,394,408
60-day:, 242,283,317,342,372,393,412,428,448,461

Date/time (GMT):  Thu Feb 29 23:11:09 2024
pyRunTime:  0.012095928192138672
