Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.6525369 Degree
Longitude: -79.08979203 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,17,19,20,22,24
10-min:, 13,15,18,21,24,26,28,30,33,35
15-min:, 16,19,23,25,29,32,35,37,41,44
30-min:, 21,25,31,35,41,46,50,55,61,65
60-min:, 25,31,39,45,53,60,67,74,84,92
2-hr:, 29,35,45,52,62,70,79,88,100,110
3-hr:, 32,38,48,56,67,76,85,95,110,121
6-hr:, 38,46,57,66,80,90,102,114,132,146
12-hr:, 47,56,69,80,96,109,123,138,160,178
24-hr:, 55,65,80,93,110,125,140,157,181,200
2-day:, 64,76,92,105,124,140,156,173,197,216
3-day:, 68,81,98,112,131,146,163,180,203,223
4-day:, 73,86,104,118,137,153,170,187,210,230
7-day:, 88,104,123,139,160,177,193,211,234,252
10-day:, 103,121,142,159,181,199,216,233,256,274
20-day:, 146,171,197,218,245,266,286,306,332,351
30-day:, 185,216,247,271,302,326,349,372,400,421
45-day:, 238,278,313,341,377,403,427,451,479,500
60-day:, 289,335,375,406,445,473,499,524,553,574

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,24,26
10-min:, 14,17,20,23,26,28,31,33,36,38
15-min:, 17,21,25,28,32,35,38,41,45,47
30-min:, 23,27,34,39,45,50,55,60,66,71
60-min:, 28,34,42,49,58,66,73,81,91,100
2-hr:, 32,39,49,57,68,77,86,96,109,120
3-hr:, 35,42,53,61,73,83,93,104,119,131
6-hr:, 42,51,63,73,87,99,111,124,143,158
12-hr:, 51,61,76,88,104,118,133,149,173,192
24-hr:, 60,71,87,100,119,135,151,169,195,215
2-day:, 69,82,99,114,134,150,168,186,211,232
3-day:, 74,88,105,120,141,157,175,193,219,240
4-day:, 78,93,112,127,148,164,182,201,226,247
7-day:, 94,112,132,148,171,189,207,225,250,269
10-day:, 109,129,151,168,192,210,228,247,272,291
20-day:, 154,181,208,230,258,280,302,323,350,371
30-day:, 194,227,260,285,318,343,367,391,421,444
45-day:, 250,292,330,359,396,423,449,474,505,527
60-day:, 303,352,394,426,467,496,524,550,581,603

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,17,18,20,21
10-min:, 12,14,17,19,21,23,25,27,29,31
15-min:, 14,17,20,23,26,29,31,33,36,38
30-min:, 19,23,28,32,37,41,45,49,54,58
60-min:, 23,28,35,41,48,54,60,66,74,81
2-hr:, 27,32,41,47,56,63,71,78,89,97
3-hr:, 29,35,44,51,61,68,76,85,97,106
6-hr:, 35,42,52,60,72,82,91,102,116,128
12-hr:, 43,51,63,73,87,98,110,123,141,156
24-hr:, 51,61,74,85,101,114,128,142,162,178
2-day:, 59,71,86,98,115,129,143,158,178,194
3-day:, 64,76,91,104,121,135,150,164,184,200
4-day:, 68,81,97,110,127,142,156,171,191,207
7-day:, 83,98,116,130,149,164,180,195,215,230
10-day:, 97,114,134,149,170,186,201,217,237,252
20-day:, 138,162,187,206,231,251,269,287,310,327
30-day:, 176,206,235,258,287,309,330,350,376,394
45-day:, 227,264,298,325,358,382,405,426,452,470
60-day:, 276,320,358,388,424,451,475,497,525,543

Date/time (GMT):  Thu Feb 29 23:11:11 2024
pyRunTime:  0.012486934661865234
