Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 36.90566225 Degree
Longitude: -76.70855328 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,20,22,24,26,28
10-min:, 17,20,23,27,30,33,35,38,41,43
15-min:, 22,26,30,34,38,41,44,47,51,54
30-min:, 30,36,42,49,56,62,68,74,81,88
60-min:, 37,45,54,63,74,84,94,104,117,129
2-hr:, 43,52,64,77,92,105,119,134,154,172
3-hr:, 46,56,69,83,100,116,132,149,174,197
6-hr:, 55,66,82,99,120,140,160,183,215,244
12-hr:, 65,78,97,117,144,169,195,225,267,306
24-hr:, 75,91,118,140,174,202,233,268,319,363
2-day:, 87,106,136,161,200,233,270,310,372,424
3-day:, 93,112,144,170,209,242,278,318,379,432
4-day:, 98,119,151,178,218,251,287,326,385,439
7-day:, 115,138,174,204,246,281,320,361,420,469
10-day:, 131,157,195,226,270,306,345,387,447,496
20-day:, 178,212,257,294,346,389,433,479,545,597
30-day:, 220,261,313,354,411,456,502,549,613,663
45-day:, 273,323,385,434,503,558,614,672,753,816
60-day:, 327,386,453,507,579,635,691,748,823,881

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 12,14,16,18,21,23,25,26,29,31
10-min:, 19,23,26,29,33,36,39,42,45,48
15-min:, 24,29,33,37,42,46,49,53,57,61
30-min:, 33,39,47,54,62,69,75,82,91,98
60-min:, 41,49,60,70,83,93,104,115,130,144
2-hr:, 48,58,72,85,102,117,132,148,171,191
3-hr:, 52,62,77,92,112,129,147,166,194,220
6-hr:, 62,75,93,111,135,156,179,204,240,273
12-hr:, 74,89,110,133,163,190,220,252,300,344
24-hr:, 82,100,130,154,190,221,255,293,350,399
2-day:, 96,116,149,177,219,255,295,341,410,470
3-day:, 102,123,157,186,228,264,304,349,416,477
4-day:, 107,130,165,195,237,273,313,356,423,484
7-day:, 125,150,189,220,266,305,346,392,458,514
10-day:, 141,170,210,243,291,330,373,418,485,541
20-day:, 191,227,276,315,371,417,465,516,588,648
30-day:, 234,279,334,378,439,487,537,588,661,717
45-day:, 291,344,409,462,534,593,654,718,807,879
60-day:, 347,409,481,537,614,673,734,796,880,946

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,18,20,21,23,24
10-min:, 16,19,21,24,27,29,31,33,36,38
15-min:, 20,23,27,30,34,37,39,42,45,47
30-min:, 27,32,38,44,50,56,60,65,71,77
60-min:, 33,40,49,57,67,75,83,92,102,112
2-hr:, 39,47,58,69,82,93,105,117,134,148
3-hr:, 41,50,62,74,88,102,115,130,150,168
6-hr:, 50,59,73,88,106,123,139,158,183,205
12-hr:, 58,69,86,104,126,147,168,191,224,253
24-hr:, 69,84,108,128,157,182,208,237,277,311
2-day:, 80,97,125,148,181,210,240,273,322,361
3-day:, 85,103,132,156,190,218,249,281,329,370
4-day:, 90,110,139,164,198,227,257,290,337,379
7-day:, 106,128,161,187,225,256,288,322,370,409
10-day:, 122,146,181,209,248,281,314,349,397,436
20-day:, 166,198,240,274,321,358,397,436,489,531
30-day:, 206,245,293,332,383,424,464,505,559,600
45-day:, 258,305,362,408,471,519,569,619,686,736
60-day:, 309,365,429,478,544,595,645,694,758,806

Date/time (GMT):  Thu Feb 29 23:11:13 2024
pyRunTime:  0.035700082778930664
