Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.84258116 Degree
Longitude: -81.68147368 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,22,23
10-min:, 13,16,19,21,24,26,28,30,32,33
15-min:, 16,19,23,26,30,32,34,37,39,41
30-min:, 22,26,32,36,42,46,50,54,58,62
60-min:, 26,32,40,46,54,60,67,73,81,87
2-hr:, 31,38,47,54,64,72,80,88,98,107
3-hr:, 33,40,50,58,68,76,85,94,106,116
6-hr:, 39,47,59,67,80,90,101,112,127,139
12-hr:, 47,56,68,78,92,104,117,129,148,163
24-hr:, 55,66,80,91,107,120,133,147,166,181
2-day:, 66,78,93,106,123,136,150,165,184,200
3-day:, 71,84,100,113,130,144,158,172,191,206
4-day:, 76,90,106,120,137,151,165,179,198,212
7-day:, 91,108,127,141,160,174,188,202,220,233
10-day:, 105,124,144,159,178,193,207,220,237,250
20-day:, 148,173,198,216,240,257,273,288,306,319
30-day:, 185,216,245,266,292,310,327,343,363,376
45-day:, 237,275,308,332,361,382,401,418,438,452
60-day:, 285,331,367,394,425,448,468,486,507,521

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,22,23,25
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 18,22,26,29,32,35,38,40,43,45
30-min:, 24,29,35,40,46,50,55,59,64,68
60-min:, 29,35,44,51,59,66,73,80,88,95
2-hr:, 34,41,52,59,70,78,87,95,107,116
3-hr:, 36,44,55,63,74,83,93,102,115,126
6-hr:, 43,52,64,73,87,98,109,120,136,149
12-hr:, 50,60,74,84,99,112,125,138,157,173
24-hr:, 59,71,86,98,114,128,142,156,177,193
2-day:, 70,84,100,113,131,146,161,176,197,213
3-day:, 75,89,107,120,139,153,168,183,203,219
4-day:, 80,95,113,127,146,160,175,190,209,224
7-day:, 97,114,134,149,168,183,198,212,231,245
10-day:, 111,130,151,167,188,203,218,232,250,264
20-day:, 155,182,208,227,252,269,286,302,322,336
30-day:, 194,226,256,278,305,324,343,359,380,394
45-day:, 247,288,322,347,378,399,419,437,458,473
60-day:, 297,345,383,410,443,467,488,506,528,543

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,18,19,20
10-min:, 12,14,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,41,45,48,52,55
60-min:, 24,29,36,42,49,54,60,65,72,77
2-hr:, 28,34,43,49,58,65,71,78,87,94
3-hr:, 30,37,46,53,62,69,77,84,94,102
6-hr:, 36,44,54,62,73,82,91,100,113,123
12-hr:, 43,52,63,72,85,95,106,117,132,144
24-hr:, 52,62,75,85,99,111,123,135,152,165
2-day:, 62,73,87,99,115,127,139,152,169,182
3-day:, 66,79,94,106,122,134,147,160,176,189
4-day:, 71,84,100,113,129,142,154,167,184,196
7-day:, 87,102,120,133,151,164,177,189,205,217
10-day:, 100,117,136,150,169,182,195,208,223,235
20-day:, 140,165,188,206,228,244,259,273,290,302
30-day:, 177,207,234,254,278,296,312,327,345,357
45-day:, 227,264,295,318,346,365,383,399,417,430
60-day:, 273,317,351,377,407,428,447,464,484,497

Date/time (GMT):  Thu Feb 29 23:11:15 2024
pyRunTime:  0.13531994819641113
