Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.31157774 Degree
Longitude: -76.76940422 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,23,24,26
10-min:, 16,19,22,25,28,31,33,36,39,41
15-min:, 20,24,28,32,36,39,42,45,49,51
30-min:, 28,34,40,46,53,59,65,70,77,83
60-min:, 35,42,52,60,71,80,89,98,111,122
2-hr:, 42,51,63,75,90,103,116,131,151,168
3-hr:, 45,54,68,81,98,113,129,146,171,192
6-hr:, 54,65,82,98,119,138,158,180,212,241
12-hr:, 64,77,98,117,144,169,195,225,267,306
24-hr:, 74,90,117,139,172,201,233,269,322,367
2-day:, 87,105,135,161,199,233,270,311,373,427
3-day:, 91,111,142,168,207,241,277,319,381,435
4-day:, 96,117,149,176,215,248,285,326,389,443
7-day:, 113,136,171,200,242,278,316,357,417,468
10-day:, 129,154,192,222,266,302,341,383,442,492
20-day:, 174,208,252,288,338,379,422,466,529,579
30-day:, 216,256,306,346,401,444,488,532,593,640
45-day:, 269,318,377,424,488,538,590,642,714,770
60-day:, 321,378,443,493,560,612,663,714,782,833

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,16,18,20,22,23,25,27,29
10-min:, 18,22,25,28,32,34,37,40,43,46
15-min:, 23,27,32,36,40,44,47,50,54,57
30-min:, 31,37,45,52,59,66,72,78,86,93
60-min:, 39,47,58,67,79,89,99,109,124,136
2-hr:, 46,56,70,83,99,114,128,144,166,185
3-hr:, 50,60,76,90,109,125,143,162,189,213
6-hr:, 61,73,92,110,133,154,177,201,237,268
12-hr:, 75,90,114,136,167,195,225,258,308,352
24-hr:, 83,101,131,156,193,226,261,301,360,412
2-day:, 98,119,153,182,225,263,305,353,423,486
3-day:, 103,126,161,190,234,271,312,360,431,494
4-day:, 109,132,168,198,242,279,320,367,439,502
7-day:, 126,151,190,223,269,309,351,398,466,525
10-day:, 142,171,211,245,293,333,377,423,490,547
20-day:, 189,225,274,313,367,412,459,508,577,635
30-day:, 232,276,330,372,430,477,524,573,640,692
45-day:, 287,339,402,452,520,574,630,687,767,830
60-day:, 341,403,471,524,596,651,706,761,836,894

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,19,20,21,23
10-min:, 15,18,20,23,25,28,30,32,34,36
15-min:, 18,22,26,29,32,35,38,40,43,45
30-min:, 25,30,37,42,48,53,57,62,68,72
60-min:, 31,38,47,54,64,72,79,87,97,106
2-hr:, 38,46,57,68,81,92,103,115,132,145
3-hr:, 40,49,61,73,88,100,114,128,148,165
6-hr:, 49,59,73,87,106,122,139,157,182,204
12-hr:, 57,68,86,103,125,145,167,190,222,250
24-hr:, 67,82,106,125,154,179,205,234,276,311
2-day:, 77,94,121,143,176,204,234,268,316,356
3-day:, 82,100,127,150,184,212,242,276,324,366
4-day:, 87,105,134,157,191,220,250,284,333,375
7-day:, 102,123,155,181,218,248,280,314,362,400
10-day:, 118,142,175,202,241,273,305,340,388,426
20-day:, 162,193,233,266,311,347,384,421,473,513
30-day:, 201,239,285,322,372,411,449,488,539,578
45-day:, 252,299,353,396,454,499,544,590,650,696
60-day:, 302,357,417,464,526,572,618,662,720,763

Date/time (GMT):  Thu Feb 29 23:11:18 2024
pyRunTime:  0.1380016803741455
