Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.12913472 Degree
Longitude: -78.99852964 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,12,13,15,17,18,20,22,23
10-min:, 12,15,18,20,23,25,27,29,32,34
15-min:, 15,18,22,25,28,31,34,36,40,42
30-min:, 20,24,30,34,40,44,49,53,59,63
60-min:, 25,30,38,44,52,58,65,72,81,89
2-hr:, 28,34,43,50,60,68,76,84,96,105
3-hr:, 31,37,47,54,65,73,82,91,105,115
6-hr:, 37,44,55,64,77,87,98,109,126,139
12-hr:, 45,54,66,76,91,104,117,131,151,167
24-hr:, 53,63,78,89,106,119,134,149,170,187
2-day:, 62,74,89,102,120,134,149,165,186,203
3-day:, 66,79,95,108,126,141,156,171,193,210
4-day:, 71,84,100,114,132,147,162,178,200,217
7-day:, 85,101,119,134,153,169,185,200,222,238
10-day:, 100,118,137,153,175,191,208,224,245,262
20-day:, 141,165,191,211,237,257,276,295,320,338
30-day:, 178,208,238,261,291,314,336,358,385,405
45-day:, 230,268,302,329,363,388,411,433,460,480
60-day:, 277,322,361,391,427,454,479,502,530,549

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,17,18,20,22,24,26
10-min:, 14,17,20,22,25,28,30,32,35,37
15-min:, 17,20,24,27,31,34,37,40,44,46
30-min:, 22,27,33,38,44,49,54,58,65,70
60-min:, 27,33,42,48,58,65,72,79,90,98
2-hr:, 31,38,48,56,66,75,83,92,105,115
3-hr:, 34,41,52,60,71,80,90,100,114,125
6-hr:, 41,49,61,71,84,95,107,119,137,151
12-hr:, 49,59,72,83,99,112,126,141,162,179
24-hr:, 57,69,84,96,114,128,143,159,182,200
2-day:, 66,79,96,110,128,144,159,176,199,217
3-day:, 71,85,102,116,135,151,167,183,206,225
4-day:, 76,90,108,122,142,158,174,191,214,232
7-day:, 92,109,128,144,165,181,198,215,238,255
10-day:, 107,126,147,164,187,204,222,239,262,279
20-day:, 151,177,204,225,253,274,295,315,341,360
30-day:, 190,221,253,277,309,334,357,379,408,429
45-day:, 243,283,320,348,384,410,435,458,487,508
60-day:, 293,340,381,412,451,479,505,530,559,580

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,15,16,17,19,20
10-min:, 11,13,16,18,21,22,24,26,28,29
15-min:, 14,16,20,22,25,28,30,32,35,37
30-min:, 18,22,27,31,36,39,43,47,52,55
60-min:, 22,27,34,39,46,52,58,63,71,78
2-hr:, 25,31,39,45,54,60,67,74,84,91
3-hr:, 28,34,42,49,58,65,73,81,92,100
6-hr:, 34,40,50,58,69,78,87,97,110,121
12-hr:, 41,49,61,70,83,94,105,117,134,147
24-hr:, 49,59,72,83,98,110,123,136,154,169
2-day:, 57,68,83,94,111,124,137,151,169,184
3-day:, 62,73,88,100,117,130,143,157,176,190
4-day:, 66,78,93,106,123,136,149,163,182,196
7-day:, 79,93,110,124,142,156,170,184,202,216
10-day:, 93,110,128,143,162,177,192,207,226,240
20-day:, 132,155,179,198,222,240,258,275,297,313
30-day:, 168,196,224,246,274,295,315,334,359,376
45-day:, 218,253,286,311,343,366,387,407,432,450
60-day:, 263,306,342,370,405,430,453,474,499,517

Date/time (GMT):  Thu Feb 29 23:11:20 2024
pyRunTime:  0.034293174743652344
