Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.53358635 Degree
Longitude: -77.39975071 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,14,16,18,20,21,24,26
10-min:, 13,16,19,21,25,27,30,32,36,39
15-min:, 16,19,23,26,30,33,37,40,45,48
30-min:, 21,26,32,37,43,48,53,59,66,73
60-min:, 26,32,40,47,56,63,71,80,92,102
2-hr:, 30,36,46,54,66,76,87,99,118,135
3-hr:, 32,39,49,58,70,81,94,107,129,148
6-hr:, 41,49,61,71,86,99,114,131,157,179
12-hr:, 50,61,75,88,107,123,142,164,197,227
24-hr:, 60,72,89,105,128,148,172,200,244,283
2-day:, 70,84,104,121,148,172,200,233,284,330
3-day:, 74,88,109,127,155,180,208,241,292,339
4-day:, 78,93,115,133,162,187,216,249,301,347
7-day:, 91,109,133,153,183,210,240,274,327,374
10-day:, 105,125,151,172,204,231,262,296,349,394
20-day:, 144,170,199,223,257,285,316,350,399,441
30-day:, 180,211,242,268,305,335,367,401,450,491
45-day:, 227,265,300,328,367,399,431,465,513,552
60-day:, 271,316,355,386,429,463,497,534,584,625

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,14,16,18,20,22,24,27,30
10-min:, 15,18,21,24,28,30,33,36,40,43
15-min:, 18,22,26,30,34,38,41,45,50,54
30-min:, 24,29,36,42,49,54,60,66,75,81
60-min:, 30,36,46,53,63,72,80,90,103,115
2-hr:, 34,41,52,61,74,86,98,112,133,152
3-hr:, 37,45,57,66,80,92,106,121,145,166
6-hr:, 46,55,69,80,97,111,128,146,174,200
12-hr:, 56,68,84,98,118,136,157,180,217,250
24-hr:, 66,79,98,114,139,161,186,216,262,303
2-day:, 77,93,114,133,162,188,218,253,308,358
3-day:, 81,97,120,139,169,196,226,261,317,366
4-day:, 85,102,125,145,176,203,234,269,325,375
7-day:, 99,118,144,166,199,227,259,296,353,403
10-day:, 114,135,163,185,219,249,281,318,374,423
20-day:, 154,181,212,237,273,303,335,371,424,469
30-day:, 191,224,257,284,323,355,389,425,477,521
45-day:, 240,280,317,347,388,421,455,491,542,584
60-day:, 286,333,373,406,450,486,523,561,615,658

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,11,12,14,15,17,19,21,22
10-min:, 12,14,17,19,22,24,26,28,30,33
15-min:, 14,17,21,23,27,29,32,35,38,41
30-min:, 19,23,28,32,38,42,46,51,57,61
60-min:, 23,28,35,41,49,55,62,69,79,87
2-hr:, 26,32,40,47,57,65,74,85,100,113
3-hr:, 29,35,44,51,62,71,81,92,109,123
6-hr:, 36,44,54,63,76,87,100,113,134,151
12-hr:, 45,54,67,78,94,108,124,141,168,190
24-hr:, 55,66,82,95,116,134,154,177,213,244
2-day:, 64,76,95,110,134,154,178,205,246,283
3-day:, 68,81,100,116,141,162,186,213,255,292
4-day:, 72,86,106,122,147,169,194,222,265,302
7-day:, 85,101,123,142,169,192,218,247,291,329
10-day:, 98,117,141,160,189,213,240,269,313,351
20-day:, 136,160,187,209,240,266,294,323,366,402
30-day:, 170,199,229,253,287,314,343,373,416,451
45-day:, 215,251,285,311,347,376,406,436,479,513
60-day:, 258,300,337,367,406,438,470,503,548,584

Date/time (GMT):  Thu Feb 29 23:11:24 2024
pyRunTime:  0.029388904571533203
