Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.33857229 Degree
Longitude: -81.52855975 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,16,17,18,20,21,23
10-min:, 13,16,19,21,24,26,28,29,31,33
15-min:, 16,19,23,26,30,32,34,37,39,41
30-min:, 22,26,32,36,42,46,50,53,58,62
60-min:, 26,32,40,46,54,60,66,72,80,87
2-hr:, 31,37,46,53,63,70,78,86,96,104
3-hr:, 32,39,49,56,66,74,83,91,103,112
6-hr:, 38,46,57,65,77,87,97,107,122,133
12-hr:, 45,54,66,75,89,101,112,125,142,156
24-hr:, 55,65,79,90,106,118,131,145,164,179
2-day:, 66,78,93,106,123,136,150,164,184,199
3-day:, 71,84,100,113,131,145,159,173,192,206
4-day:, 76,91,108,121,139,153,167,181,200,214
7-day:, 92,108,127,141,160,174,188,202,219,232
10-day:, 106,125,145,160,180,195,209,222,239,252
20-day:, 149,174,199,218,242,259,275,290,308,321
30-day:, 187,219,247,269,295,314,331,347,366,379
45-day:, 239,279,312,336,365,386,405,422,442,456
60-day:, 289,335,372,399,431,453,473,491,512,526

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,19,20,21,23,25
10-min:, 15,18,21,23,26,28,30,32,34,36
15-min:, 18,21,26,29,32,35,37,40,43,45
30-min:, 24,29,35,40,46,50,54,58,63,67
60-min:, 29,35,44,50,59,66,72,79,87,94
2-hr:, 33,41,51,58,68,76,85,93,104,113
3-hr:, 35,43,53,61,72,81,90,99,111,121
6-hr:, 42,50,62,71,84,94,105,116,131,143
12-hr:, 49,58,71,81,96,107,120,132,150,165
24-hr:, 59,70,85,96,113,126,140,154,174,189
2-day:, 70,83,99,112,130,145,159,174,195,210
3-day:, 75,90,107,120,139,153,168,183,203,218
4-day:, 81,96,114,128,147,162,176,191,211,226
7-day:, 98,115,135,150,170,185,199,214,232,246
10-day:, 112,132,153,169,190,205,220,234,253,266
20-day:, 157,183,210,229,254,272,289,305,324,338
30-day:, 197,230,260,282,309,329,347,364,385,399
45-day:, 251,292,326,351,382,404,424,442,463,477
60-day:, 302,350,388,416,450,474,495,514,535,550

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,13,14,15,17,18,19,20
10-min:, 12,15,17,19,22,23,25,26,28,29
15-min:, 15,18,21,24,27,29,31,33,35,37
30-min:, 20,24,29,33,38,42,45,48,52,55
60-min:, 24,29,37,42,49,55,60,65,72,77
2-hr:, 28,34,42,49,57,64,70,77,86,92
3-hr:, 30,36,45,51,60,67,75,82,91,99
6-hr:, 35,42,52,60,71,79,88,97,109,118
12-hr:, 42,50,61,70,82,92,103,113,127,139
24-hr:, 52,61,74,85,99,110,122,134,151,164
2-day:, 62,73,88,99,115,127,140,153,170,183
3-day:, 67,79,95,107,123,135,148,161,178,191
4-day:, 72,85,101,114,131,143,156,169,186,198
7-day:, 87,102,120,133,151,164,177,189,205,216
10-day:, 101,119,137,152,170,184,197,209,225,236
20-day:, 142,166,190,207,229,246,261,274,291,303
30-day:, 179,209,236,256,280,298,314,329,347,359
45-day:, 229,266,297,320,348,368,386,402,421,433
60-day:, 277,321,356,381,412,433,452,469,488,501

Date/time (GMT):  Thu Feb 29 23:11:26 2024
pyRunTime:  0.011066436767578125
