Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.08646624 Degree
Longitude: -75.56884914 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,12,14,16,17,18,20,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,35,37,39,42,44
30-min:, 24,29,36,41,47,52,57,61,67,72
60-min:, 31,37,46,53,63,71,78,86,96,105
2-hr:, 37,45,56,66,78,89,99,110,124,136
3-hr:, 40,49,61,72,86,98,110,123,141,156
6-hr:, 50,60,75,88,106,122,139,157,182,205
12-hr:, 60,72,90,108,132,154,178,205,244,279
24-hr:, 69,84,109,131,164,194,227,264,321,370
2-day:, 80,97,126,151,189,222,259,301,364,419
3-day:, 84,102,132,158,196,230,267,309,372,426
4-day:, 88,107,138,165,204,238,275,317,380,434
7-day:, 103,124,157,186,227,263,302,345,409,463
10-day:, 116,140,174,202,244,278,315,356,417,470
20-day:, 156,186,225,256,300,336,373,411,464,507
30-day:, 193,229,273,308,356,393,432,471,524,565
45-day:, 245,289,338,376,426,464,501,538,585,620
60-day:, 293,345,399,440,491,529,565,599,643,674

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,19,22,25,28,30,33,35,38,40
15-min:, 20,24,28,31,35,38,41,44,47,50
30-min:, 27,33,40,45,52,58,63,69,75,81
60-min:, 34,41,51,59,70,78,87,96,108,119
2-hr:, 42,50,63,74,88,99,111,124,141,156
3-hr:, 45,55,68,80,96,109,123,138,159,177
6-hr:, 56,67,84,99,119,137,156,177,208,235
12-hr:, 68,82,102,122,149,174,202,233,279,322
24-hr:, 76,93,120,144,180,211,246,286,347,401
2-day:, 88,107,139,166,207,243,283,329,398,458
3-day:, 92,112,145,173,215,251,291,337,406,465
4-day:, 97,118,151,180,222,259,300,345,413,473
7-day:, 112,136,172,202,247,285,327,374,443,503
10-day:, 126,152,189,219,264,301,340,385,450,509
20-day:, 168,200,242,275,322,360,400,441,499,546
30-day:, 207,245,292,329,380,420,461,502,559,604
45-day:, 260,307,359,399,452,492,531,570,621,659
60-day:, 309,364,421,463,518,558,596,632,679,713

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,11,13,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,26,27,29,30
15-min:, 16,19,23,25,28,31,33,34,36,38
30-min:, 22,26,32,37,42,46,50,54,58,62
60-min:, 27,33,41,48,56,63,69,75,83,90
2-hr:, 33,40,50,58,69,78,86,95,106,115
3-hr:, 36,44,55,64,76,86,96,106,120,131
6-hr:, 45,54,67,78,94,107,121,135,154,170
12-hr:, 54,64,80,95,116,134,153,173,201,225
24-hr:, 63,77,100,119,149,174,202,233,279,318
2-day:, 73,89,115,137,171,199,231,265,316,360
3-day:, 77,94,121,144,178,207,239,274,325,368
4-day:, 81,99,127,151,185,215,247,282,334,377
7-day:, 95,115,145,170,207,239,272,309,361,405
10-day:, 108,129,161,187,224,254,287,321,373,417
20-day:, 146,174,210,239,279,311,344,378,423,459
30-day:, 182,215,256,289,333,367,401,436,482,517
45-day:, 231,272,319,354,401,435,469,502,543,574
60-day:, 278,327,378,416,464,499,533,564,602,630

Date/time (GMT):  Thu Feb 29 23:11:28 2024
pyRunTime:  0.09046292304992676
