Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 39.24981594 Degree
Longitude: -76.04736197 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,21,22
10-min:, 14,17,20,22,25,27,29,31,33,35
15-min:, 18,21,25,28,32,34,37,39,42,44
30-min:, 24,29,36,41,47,52,56,61,66,71
60-min:, 30,37,46,53,63,70,78,85,95,103
2-hr:, 36,44,56,65,78,88,98,109,125,137
3-hr:, 39,48,61,71,85,96,108,121,139,154
6-hr:, 49,59,74,87,105,121,137,156,182,204
12-hr:, 59,71,90,107,131,153,177,203,244,278
24-hr:, 68,82,107,128,160,188,220,256,311,359
2-day:, 78,95,123,147,183,214,250,289,349,401
3-day:, 82,100,129,153,191,223,259,298,359,410
4-day:, 87,105,135,160,198,231,268,308,368,420
7-day:, 101,121,153,181,221,256,294,336,397,450
10-day:, 114,137,170,198,238,272,308,347,404,453
20-day:, 154,183,221,252,295,330,366,403,455,497
30-day:, 190,225,268,302,349,386,423,461,513,553
45-day:, 241,284,332,369,418,455,491,526,572,606
60-day:, 288,339,391,431,481,519,554,588,630,660

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,19,21,22,24,25
10-min:, 16,19,22,25,28,30,33,35,37,40
15-min:, 20,24,28,32,36,38,41,44,47,50
30-min:, 27,33,40,46,53,58,63,68,75,80
60-min:, 34,41,52,60,70,78,87,96,108,117
2-hr:, 41,50,63,72,86,98,110,122,140,155
3-hr:, 44,53,67,78,94,107,120,135,156,173
6-hr:, 54,66,83,97,117,134,153,174,205,231
12-hr:, 67,81,103,121,149,173,200,231,278,319
24-hr:, 74,90,117,140,174,204,238,277,335,386
2-day:, 85,104,134,160,199,233,271,314,379,435
3-day:, 90,109,141,167,207,242,280,323,388,444
4-day:, 94,114,147,174,215,250,289,333,398,454
7-day:, 109,132,167,196,239,276,317,362,429,486
10-day:, 123,147,183,213,256,292,331,372,434,487
20-day:, 164,195,236,269,315,352,390,430,486,531
30-day:, 202,240,285,321,370,410,449,490,545,588
45-day:, 255,301,352,391,442,481,519,557,606,643
60-day:, 303,356,412,453,507,546,583,619,664,697

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,16,17,18,19
10-min:, 13,15,18,20,22,24,26,27,29,30
15-min:, 16,19,23,25,28,30,32,34,36,37
30-min:, 22,26,32,36,42,46,49,53,57,61
60-min:, 27,33,41,47,56,62,68,74,82,89
2-hr:, 33,40,50,58,69,77,86,95,107,117
3-hr:, 35,43,55,63,75,85,95,105,119,131
6-hr:, 44,53,67,78,94,106,120,134,154,171
12-hr:, 53,64,80,94,115,132,151,172,201,225
24-hr:, 62,76,98,117,145,170,197,227,271,309
2-day:, 72,88,113,135,167,194,224,257,306,346
3-day:, 76,92,119,141,174,202,233,267,316,357
4-day:, 80,97,125,148,182,210,242,276,326,367
7-day:, 93,112,142,166,202,233,266,301,352,394
10-day:, 106,127,158,184,220,250,281,315,363,403
20-day:, 144,172,207,236,275,307,339,372,417,451
30-day:, 179,212,253,285,328,361,395,428,473,507
45-day:, 227,268,314,348,393,428,461,492,532,562
60-day:, 273,322,371,409,456,491,523,554,591,618

Date/time (GMT):  Thu Feb 29 23:11:30 2024
pyRunTime:  0.04337573051452637
