Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 38.26817691 Degree
Longitude: -77.15851654 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,15,17,18,19,21,22,24
10-min:, 15,18,21,23,26,29,31,33,36,38
15-min:, 18,22,27,30,33,36,39,42,45,47
30-min:, 25,31,38,43,50,55,60,65,71,76
60-min:, 32,39,48,56,66,74,82,91,102,111
2-hr:, 37,45,57,67,80,91,102,114,130,144
3-hr:, 40,49,62,72,87,99,112,125,145,160
6-hr:, 49,60,75,88,107,123,140,159,186,208
12-hr:, 59,72,91,107,132,154,177,204,243,278
24-hr:, 67,81,105,126,157,185,217,252,306,354
2-day:, 77,94,121,145,181,212,247,286,345,396
3-day:, 82,100,128,153,190,222,258,298,358,409
4-day:, 87,105,135,161,199,232,269,310,371,423
7-day:, 101,122,154,182,222,257,296,338,401,455
10-day:, 115,139,173,201,243,277,314,354,412,461
20-day:, 155,185,223,254,298,333,370,408,461,503
30-day:, 190,225,268,303,350,387,425,464,516,557
45-day:, 240,283,331,368,417,454,490,526,572,606
60-day:, 284,335,387,426,477,514,549,583,625,656

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,14,16,18,20,21,23,25,27
10-min:, 16,20,23,26,29,32,34,36,40,42
15-min:, 20,25,29,33,37,40,43,46,50,53
30-min:, 28,34,42,47,55,60,66,72,79,85
60-min:, 35,42,53,62,73,82,91,100,114,124
2-hr:, 41,50,63,74,88,100,113,126,145,161
3-hr:, 45,55,69,81,97,110,125,140,162,180
6-hr:, 56,67,85,99,120,138,157,178,210,236
12-hr:, 67,81,103,121,149,173,200,230,276,316
24-hr:, 76,92,119,142,177,208,243,282,342,394
2-day:, 87,105,136,163,202,236,274,318,383,440
3-day:, 92,112,144,171,212,247,286,330,396,454
4-day:, 97,118,151,179,222,258,298,343,410,468
7-day:, 111,134,170,200,244,282,324,370,439,497
10-day:, 127,152,189,220,265,302,342,386,449,502
20-day:, 168,200,241,275,322,359,399,440,497,543
30-day:, 205,242,288,325,375,415,455,497,553,598
45-day:, 256,302,354,393,445,484,523,561,611,648
60-day:, 302,355,410,452,505,544,582,618,664,697

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,15,16,17,18,20,21
10-min:, 13,16,19,21,24,26,27,29,31,33
15-min:, 17,20,24,27,30,32,35,37,39,41
30-min:, 23,28,34,39,44,49,53,57,62,66
60-min:, 29,35,44,50,59,66,73,80,89,96
2-hr:, 34,41,52,60,72,81,90,100,113,123
3-hr:, 36,44,56,65,77,87,98,109,124,136
6-hr:, 44,54,67,79,95,108,122,136,157,174
12-hr:, 53,64,81,95,116,133,152,172,202,227
24-hr:, 60,73,94,112,140,163,189,218,261,298
2-day:, 70,85,109,130,161,187,216,248,295,335
3-day:, 74,90,115,137,169,197,227,260,308,348
4-day:, 78,95,122,144,178,206,237,271,320,361
7-day:, 92,111,140,165,201,231,264,300,351,393
10-day:, 106,127,158,184,221,251,283,317,365,405
20-day:, 144,171,207,235,275,306,338,371,416,451
30-day:, 177,210,250,281,324,358,392,426,471,505
45-day:, 224,265,310,344,389,423,456,487,528,557
60-day:, 267,315,364,401,447,481,514,544,582,608

Date/time (GMT):  Thu Feb 29 23:11:32 2024
pyRunTime:  0.04116678237915039
