Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.70976727 Degree
Longitude: -77.09053578 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,11,13,15,17,18,19,21,22,24
10-min:, 15,18,21,24,27,29,31,33,35,37
15-min:, 19,23,27,30,34,37,39,42,44,47
30-min:, 26,31,38,43,50,55,60,65,70,75
60-min:, 33,39,48,57,66,75,83,91,101,110
2-hr:, 39,47,58,69,82,93,105,116,132,146
3-hr:, 42,51,63,75,89,102,115,128,147,162
6-hr:, 51,61,76,90,109,125,143,161,187,210
12-hr:, 61,73,91,109,134,156,179,205,242,275
24-hr:, 68,82,106,127,159,186,217,251,303,348
2-day:, 79,96,123,147,182,213,247,284,341,389
3-day:, 84,101,131,155,192,223,258,297,354,403
4-day:, 89,107,138,163,201,234,269,309,368,418
7-day:, 102,123,156,183,223,257,294,334,393,443
10-day:, 117,140,174,203,243,277,313,351,407,452
20-day:, 157,187,226,257,301,336,372,410,462,502
30-day:, 194,230,274,308,355,391,428,465,515,553
45-day:, 245,290,339,377,427,465,501,537,584,618
60-day:, 291,343,397,437,489,528,564,599,643,674

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,12,14,16,18,20,22,23,25,26
10-min:, 17,20,23,26,29,32,34,36,39,41
15-min:, 21,25,29,33,37,40,43,46,49,52
30-min:, 29,35,42,48,55,61,66,71,78,84
60-min:, 36,43,53,62,73,82,91,100,112,122
2-hr:, 43,52,64,76,91,103,116,129,146,162
3-hr:, 47,57,70,83,99,113,128,143,163,181
6-hr:, 58,69,85,101,122,141,160,180,209,235
12-hr:, 69,83,104,124,151,176,201,230,272,310
24-hr:, 75,92,118,141,175,205,238,275,331,380
2-day:, 87,106,136,162,201,234,270,312,374,427
3-day:, 92,112,144,170,210,244,282,324,388,442
4-day:, 97,118,151,179,220,255,294,337,401,456
7-day:, 112,135,171,200,244,281,321,365,431,487
10-day:, 127,153,190,220,264,301,340,382,443,493
20-day:, 168,201,243,277,324,362,400,441,497,542
30-day:, 207,246,292,329,378,418,457,497,551,593
45-day:, 260,307,360,400,453,493,532,571,622,659
60-day:, 308,362,419,461,516,556,595,632,679,714

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,13,15,16,17,18,20,21
10-min:, 14,16,19,21,24,26,28,29,31,32
15-min:, 17,21,24,27,30,33,35,37,39,41
30-min:, 24,28,34,39,45,49,54,57,62,66
60-min:, 29,36,44,51,60,67,74,80,89,96
2-hr:, 35,42,52,62,73,83,92,102,115,125
3-hr:, 38,45,56,67,79,90,101,112,126,139
6-hr:, 46,55,68,80,96,110,124,139,159,176
12-hr:, 54,65,81,97,117,135,154,174,202,227
24-hr:, 62,75,97,116,143,166,192,221,262,298
2-day:, 72,88,113,134,165,191,220,252,297,336
3-day:, 77,93,119,142,174,201,231,263,310,349
4-day:, 81,99,126,149,183,211,242,275,322,362
7-day:, 94,113,143,168,203,232,264,298,347,387
10-day:, 108,130,161,187,223,253,284,317,363,400
20-day:, 146,174,210,239,279,310,342,375,419,454
30-day:, 182,216,256,288,331,364,397,430,473,506
45-day:, 231,273,319,354,400,435,468,500,541,571
60-day:, 275,324,375,413,461,497,530,562,600,628

Date/time (GMT):  Thu Feb 29 23:11:35 2024
pyRunTime:  0.10150742530822754
