Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 37.71057129 Degree
Longitude: -76.88690272 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 10,12,13,15,17,19,20,21,23,24
10-min:, 16,18,21,24,27,30,32,34,36,38
15-min:, 19,23,27,31,34,37,40,43,46,48
30-min:, 27,32,38,44,51,56,61,66,73,78
60-min:, 33,40,49,58,68,76,85,93,104,114
2-hr:, 40,48,59,70,84,96,108,120,137,151
3-hr:, 43,52,65,77,92,105,119,133,153,170
6-hr:, 52,62,78,92,112,129,147,167,194,218
12-hr:, 62,74,93,111,136,160,184,211,250,285
24-hr:, 69,84,108,130,162,190,221,256,309,356
2-day:, 80,97,126,150,186,218,253,292,350,401
3-day:, 85,103,133,158,195,228,263,303,362,413
4-day:, 90,109,140,166,204,237,273,314,374,426
7-day:, 104,125,158,186,226,261,299,340,401,452
10-day:, 119,143,177,206,248,282,319,358,415,462
20-day:, 160,190,230,262,307,343,380,418,472,514
30-day:, 198,235,279,314,362,400,438,476,528,568
45-day:, 249,294,344,383,434,473,511,548,597,633
60-day:, 296,349,404,445,498,537,575,611,657,690

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 11,13,15,17,19,20,22,24,25,27
10-min:, 17,20,24,27,30,33,35,37,40,43
15-min:, 21,26,30,34,38,41,44,47,51,54
30-min:, 29,35,43,49,56,62,68,73,81,87
60-min:, 37,44,55,64,75,84,94,103,116,127
2-hr:, 44,53,66,78,93,106,119,133,152,168
3-hr:, 48,58,72,85,102,117,132,148,170,190
6-hr:, 59,70,88,104,126,145,165,187,218,246
12-hr:, 71,85,106,127,155,181,208,238,282,323
24-hr:, 78,94,122,146,181,212,246,284,343,394
2-day:, 90,109,140,167,207,242,280,324,389,445
3-day:, 95,115,148,175,216,252,291,334,401,457
4-day:, 100,121,155,183,226,262,301,345,412,469
7-day:, 115,138,174,205,249,287,329,374,442,499
10-day:, 130,156,194,226,271,308,349,392,454,506
20-day:, 173,206,249,283,332,371,411,453,511,557
30-day:, 212,252,299,337,388,428,469,511,567,611
45-day:, 265,313,367,408,462,504,545,585,638,678
60-day:, 314,369,427,471,527,568,608,647,696,732

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,18,19,20,21
10-min:, 14,17,19,22,24,26,28,30,32,33
15-min:, 18,21,25,28,31,34,36,38,40,42
30-min:, 24,29,35,40,46,50,55,59,64,68
60-min:, 30,36,45,52,61,68,75,83,92,99
2-hr:, 36,43,54,63,75,85,95,105,119,130
3-hr:, 39,47,58,68,81,93,104,116,132,145
6-hr:, 47,56,69,82,99,113,128,143,165,183
12-hr:, 55,66,82,98,119,138,158,179,208,234
24-hr:, 62,76,98,116,144,168,194,223,265,301
2-day:, 73,88,114,135,167,194,223,256,303,342
3-day:, 77,94,120,143,175,203,233,266,314,354
4-day:, 82,99,127,150,184,212,243,277,326,366
7-day:, 95,114,144,169,205,235,267,302,351,392
10-day:, 109,131,163,189,226,256,288,321,368,406
20-day:, 148,176,213,242,283,315,348,381,426,462
30-day:, 185,219,260,293,337,371,405,439,484,517
45-day:, 234,276,323,359,406,441,476,509,551,583
60-day:, 279,328,380,419,468,504,539,571,611,640

Date/time (GMT):  Thu Feb 29 23:11:37 2024
pyRunTime:  0.00796651840209961
