Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 41.43547951 Degree
Longitude: -75.60418146 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,9,11,12,14,15,17,19,21,23
10-min:, 12,14,17,19,21,23,25,28,31,33
15-min:, 15,18,21,23,26,29,32,34,38,42
30-min:, 20,24,29,32,37,41,46,50,57,62
60-min:, 24,29,36,41,48,54,61,68,79,88
2-hr:, 28,34,42,49,60,69,79,91,110,127
3-hr:, 31,37,46,54,65,76,88,101,123,143
6-hr:, 39,47,58,67,82,94,109,127,154,179
12-hr:, 49,58,72,84,102,119,138,161,198,231
24-hr:, 57,68,84,99,122,143,168,198,247,292
2-day:, 67,80,99,116,143,168,197,232,289,342
3-day:, 71,85,104,122,149,175,205,241,299,353
4-day:, 75,89,109,127,155,182,213,249,308,363
7-day:, 88,105,128,148,179,208,242,282,345,403
10-day:, 102,122,146,168,201,231,265,305,368,424
20-day:, 140,165,193,217,253,285,321,362,425,479
30-day:, 175,205,236,262,301,335,373,414,477,530
45-day:, 223,260,294,323,366,402,441,484,547,600
60-day:, 269,313,352,385,432,473,517,564,633,690

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,10,12,14,15,17,19,21,23,26
10-min:, 13,16,19,21,24,26,28,31,34,37
15-min:, 16,20,23,26,29,32,35,38,43,47
30-min:, 22,26,32,36,41,46,51,56,64,70
60-min:, 26,32,40,46,54,60,68,76,88,99
2-hr:, 31,38,47,55,66,76,88,102,123,143
3-hr:, 34,41,51,60,72,84,97,113,138,161
6-hr:, 44,52,64,74,90,104,121,141,172,201
12-hr:, 54,65,80,93,113,132,154,180,222,260
24-hr:, 63,76,93,109,134,157,183,215,267,315
2-day:, 74,88,109,127,156,182,214,251,311,367
3-day:, 78,93,114,133,162,189,221,259,321,377
4-day:, 82,98,120,139,169,197,229,268,330,388
7-day:, 97,116,140,162,195,226,262,304,371,432
10-day:, 111,133,159,182,217,249,285,327,393,453
20-day:, 151,178,208,233,271,305,343,386,452,510
30-day:, 187,219,252,279,321,357,396,440,506,563
45-day:, 237,276,312,343,388,426,467,512,578,635
60-day:, 285,332,372,407,457,500,545,595,668,729

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,8,10,11,12,14,15,16,18,20
10-min:, 11,13,15,17,19,21,22,24,27,29
15-min:, 13,16,19,21,24,26,28,30,33,36
30-min:, 18,21,26,29,33,37,40,44,49,53
60-min:, 22,26,32,37,43,48,54,60,68,75
2-hr:, 26,31,38,45,53,61,70,80,95,107
3-hr:, 28,34,42,49,59,68,77,88,106,121
6-hr:, 36,43,53,61,73,84,96,110,132,151
12-hr:, 44,53,65,75,91,105,121,139,167,192
24-hr:, 52,62,77,90,110,128,149,173,213,249
2-day:, 61,74,91,106,129,150,175,204,250,292
3-day:, 65,78,96,111,135,157,183,213,260,303
4-day:, 69,82,101,117,142,164,190,221,270,314
7-day:, 81,97,118,136,164,189,218,251,304,351
10-day:, 95,113,136,155,185,211,241,275,327,373
20-day:, 131,154,180,202,234,263,295,331,384,431
30-day:, 164,193,221,246,281,312,346,382,437,483
45-day:, 211,246,278,305,345,378,413,452,507,554
60-day:, 255,297,333,364,409,446,486,528,589,640

Date/time (GMT):  Thu Feb 29 23:11:39 2024
pyRunTime:  0.009540796279907227
