Point precipitation frequency estimates (millimeters)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation depth
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): None
Station Name: None
Latitude: 40.0379531 Degree
Longitude: -76.24722217 Degree
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 8,10,12,13,14,15,16,17,18,19
10-min:, 13,16,19,21,23,25,26,27,29,30
15-min:, 16,20,23,26,29,31,33,35,37,38
30-min:, 23,27,33,38,43,47,51,54,58,62
60-min:, 28,34,43,49,57,63,70,76,84,90
2-hr:, 34,41,51,60,72,81,91,101,116,128
3-hr:, 36,44,56,65,78,88,99,110,126,139
6-hr:, 45,55,69,81,98,112,127,144,167,187
12-hr:, 55,66,84,99,122,141,163,186,222,252
24-hr:, 64,77,98,116,143,166,192,221,264,302
2-day:, 73,89,113,133,163,188,215,245,290,327
3-day:, 78,94,119,140,171,198,226,258,304,344
4-day:, 82,99,125,148,180,208,238,271,319,360
7-day:, 96,116,145,169,205,236,269,305,358,402
10-day:, 110,131,162,188,224,254,286,320,369,409
20-day:, 149,177,213,241,281,312,344,377,422,458
30-day:, 185,218,257,288,330,363,395,429,473,507
45-day:, 233,275,318,352,395,428,459,490,528,557
60-day:, 279,328,377,413,460,494,527,557,596,623

PRECIPITATION FREQUENCY ESTIMATES AT UPPER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 9,11,13,14,16,17,18,19,20,21
10-min:, 15,18,21,23,25,27,29,31,32,34
15-min:, 18,22,26,29,32,34,37,39,41,42
30-min:, 25,30,37,42,48,52,56,60,65,69
60-min:, 31,38,48,55,64,70,77,84,93,100
2-hr:, 38,46,58,67,80,90,101,113,130,143
3-hr:, 41,50,63,73,87,98,110,123,141,155
6-hr:, 51,62,77,90,109,124,141,159,186,208
12-hr:, 62,75,95,112,136,157,181,207,246,279
24-hr:, 70,84,107,126,155,180,207,238,284,324
2-day:, 81,97,124,145,177,204,233,266,314,355
3-day:, 85,103,130,153,186,214,245,279,329,372
4-day:, 90,108,137,160,195,224,257,292,345,390
7-day:, 105,126,157,183,222,255,290,329,386,435
10-day:, 118,142,175,202,241,274,308,344,397,440
20-day:, 159,189,227,258,299,333,367,402,451,490
30-day:, 196,231,273,305,350,385,420,455,503,540
45-day:, 246,289,335,371,416,450,483,515,557,587
60-day:, 293,345,396,434,483,519,553,586,627,656

PRECIPITATION FREQUENCY ESTIMATES AT LOWER BOUND OF 90% CONFIDENCE INTERVAL
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 7,9,10,12,13,14,15,15,16,17
10-min:, 12,14,17,18,20,22,23,24,26,26
15-min:, 15,18,21,23,26,28,29,31,32,33
30-min:, 20,25,30,34,38,42,45,48,51,54
60-min:, 25,31,38,44,51,56,62,67,73,78
2-hr:, 30,37,46,53,64,72,80,88,100,109
3-hr:, 33,40,50,58,69,78,87,96,109,119
6-hr:, 41,49,62,72,87,99,111,124,143,158
12-hr:, 50,60,76,89,108,124,141,160,187,209
24-hr:, 59,71,90,106,130,150,172,195,230,259
2-day:, 68,82,104,122,149,170,194,219,255,284
3-day:, 72,87,110,129,156,179,204,231,268,300
4-day:, 76,91,115,135,164,188,214,242,282,315
7-day:, 89,107,134,156,188,215,244,274,318,354
10-day:, 102,122,151,174,207,234,262,291,332,364
20-day:, 140,167,200,226,263,291,320,349,388,418
30-day:, 174,206,243,272,310,340,370,400,438,467
45-day:, 222,261,302,334,375,405,434,462,497,522
60-day:, 266,312,359,393,437,469,499,527,561,586

Date/time (GMT):  Thu Feb 29 23:11:41 2024
pyRunTime:  0.010772705078125
